00001000 000010D2 _RtlEnterCriticalSection@4
0003498D 00034A71 _RtlQueryAtomInAtomTable@24
00034A89 00034AC2 _VerSetConditionMask@16
00034AC7 00034B9C _RtlVerifyVersionInfo@16
00034BA1 00034BCD _RtlpVerGetConditionMask@12
00034C16 00034C54 __wchartodigit
00034D91 00034DAB _wcstoul
00034DE2 00034EA5 _RtlValidSecurityDescriptor@4
00034EB9 00034F20 _RtlGetAce@12
00034F93 00034F9B _RtlInitializeSListHead@4
00034FA0 00034FB3 _RtlpInitializeSListHead@4
00034FF9 00035086 _RtlFindMessage@20
00035424 0003545C _wcscmp
000356EE 00035734 _wcscspn
00035A28 00035A5F _RtlSystemTimeToLocalTime@8
00035A64 00035B0C _RtlIpv4StringToAddressW@16
000361A7 00036250 _RtlCompactHeap@8
0003627A 000362ED _RtlpCoalesceHeap@4
00036477 00036500 _RtlpCheckDeviceName@12
00036771 00036829 _LdrpQueryImageFileKeyOption@24
0003684A 000368B5 __wtol
000368CC 00036901 _RtlpSerializeHeap@4
00036944 0003695E _LdrpUnloadShimEngine@0
00036B6F 00036BAA _RtlIpv4StringToAddressExW@16
00036BFA 00036C61 _RtlAddVectoredExceptionHandler@8
00036C66 00036CCE _RtlRemoveVectoredExceptionHandler@4
00036DA9 00036F09 @RtlpLowFragHeapAlloc@8
00036F63 00036FA3 @RtlpFreeUserBlock@8
000373F6 0003758D @RtlpLowFragHeapFree@8
00037592 000375DE @RtlpAllocateUserBlock@8
000375F1 00037724 @RtlpSubSegmentInitialize@24
0003790B 00037B4B @RtlpLowFragHeapAllocateFromZone@8
00037CB5 00037CE9 _RtlSetHeapInformation@16
00037D08 00037D4E _RtlRandomEx@4
00037D53 00037D9D _RtlpInitializeAffinityManager@4
00037DA2 00037E46 @RtlpCreateLowFragHeap@4
00037F09 0003801F _RtlpActivateLowFragmentationHeap@4
00038024 000380E6 _RtlpInitializeLowFragHeapManager@0
000380F4 00038106 _RtlAreAnyAccessesGranted@8
00038121 0003817B _RtlDeleteAce@8
00038180 000381CA _RtlpDeleteData@12
000383F4 000384B8 __ValidateEH3RN
000384F5 00038587 _LdrpGenericExceptionFilter@8
0003862D 0003870D _LdrpCorValidateImage@8
000387A4 000387F2 _LdrpCheckCorImage@16
00038844 000388A8 _RtlpQueryInformationActivationContextDetailedInformation@20
000388AD 0003891C _RtlpLocateActivationContextSectionForQuery@44
00038AE4 00038AFC _LdrpCorReplaceStartContext@4
00038B03 00039557 _LZNT1DecompressChunk@20
00039557 000395BE __trandisp1
000395BE 0003964A __trandisp2
0003964A 0003964F __rttospopde
0003964F 00039651 __rttospop
00039651 00039653 __rtnospop
00039653 00039654 __rttosnpop
00039654 0003965B __rtnospopde
0003965B 0003965D __rtzeropop
0003965D 00039662 __rtzeronpop
00039662 00039664 __rtonepop
00039664 00039669 __rtonenpop
00039669 00039694 __tosnan1
00039694 00039696 __nosnan2
00039696 000396BE __tosnan2
000396BE 000396FD __nan2
000396FD 000396FF __rtindfpop
000396FF 00039710 __rtindfnpop
00039710 0003971A __rttosnpopde
0003971A 00039721 __rtchsifneg
00039739 00039772 __fFEXP
00039794 00039796 __rtinfpopse
00039796 000397A6 __rtinfnpopse
000397A6 000397C4 __fFLN
00039867 00039869 __rtinfpop
00039869 00039879 __rtinfnpop
0003988A 000398CD __ffexpm1
0003993E 00039992 ___ascii_memicmp
00039992 0003A00B _TransformMD5@8
00046A5F 00046A6C _LdrAlternateResourcesEnabled@0
0004FAB3 0004FAC8 _LdrpRelocateStartContext@8
0004FACD 0004FC41 _LdrpFixSectionProtection@12
0004FC93 0004FCF5 _LdrpProcessImageProtectionParameter@8
0004FD4F 0004FD62 _RtlDoesFileExists_UStr@4
0004FD67 0004FDA5 _xUnProtectHandle@4
0004FDAA 0004FDE1 _CsrIdentifyAlertableThread@0
0004FDE6 0004FE2A _CsrSetPriorityClass@8
0004FE2F 0004FE35 _CsrGetProcessId@0
0004FE3A 0004FE68 _CsrCaptureTimeout@8
0004FE6D 0004FEB6 _CsrProbeForWrite@12
0004FEBB 0004FEEC _CsrProbeForRead@12
0004FEF1 0004FF41 _DbgUiConnectToDbg@0
0004FF46 0004FF53 _DbgUiGetThreadDebugObject@0
0004FF58 0004FF70 _DbgUiSetThreadDebugObject@4
0004FF75 0004FF97 _DbgUiWaitStateChange@8
0004FF9C 0004FFBC _DbgUiContinue@8
0004FFC1 0004FFDE _DbgUiStopDebugging@4
00050041 0005007D _DbgUiIssueRemoteBreakin@4
00050082 000500BF _DbgUiDebugActiveProcess@4
000500C4 000502A0 _DbgUiConvertStateChangeStructure@8
000502C9 00050349 _LdrpSetupHotpatch@4
0005034E 000503A9 _LdrpApplyHotPatch@8
000503AE 0005062B _LdrHotPatchRoutine@4
00050641 00050696 _LdrpRundownHotpatchList@4
0005069B 000506A1 _RtlGetUnloadEventTrace@0
000506A6 0005077A _LdrReadMemory@16
000507FD 000508CC _LdrGetModuleName@16
000508D1 00050913 _LdrQueryProcessPeb@8
00050918 00050982 _LdrQueryInLoadOrderModuleList@12
00050987 000509A0 _LdrQueryNextListEntry@12
000509A5 00050A23 _LdrQueryModuleInfoFromLdrEntry@20
00050A28 00050A47 _LdrQueryModuleInfoLocalLoaderLock@0
00050A4C 00050A61 _LdrQueryModuleInfoLocalLoaderUnlock@4
00050A66 00050BB1 _LdrQueryProcessModuleInformationEx@20
00050C01 00050C1C _LdrQueryProcessModuleInformation@12
00050C21 00050C70 _LdrSetAppCompatDllRedirectionCallback@12
00050C91 00050CA1 _RtlIsThreadWithinLoaderCallout@0
00050CA6 00050CD7 _LdrpInitializationFailure@4
00050CDC 00050D1E _LdrpInitializeProcessWrapperFilter@4
00050DE3 00050E8D _LdrpForkProcess@0
00050E92 00050ED7 _LdrInitShimEngineDynamic@4
00050EDC 00050F30 _GetNextCommaValue@8
00050F35 00050F7D _LdrFindAppCompatVariableInfo@8
00050F82 00050FA7 _LdrpCorUnloadImage@4
00050FAC 000510ED _LdrpInitializeApplicationVerifierPackage@16
0005127F 0005133A _LdrpTouchThreadStack@4
0005136B 0005140E _LdrpMungHeapImportsForTagging@4
000514CB 00051781 _RtlComputePrivatizedDllName_U@12
000517D3 000517DB _RtlWriteMemoryStream@16
000517E0 0005183D _RtlSeekMemoryStream@20
00051842 0005184A _RtlSetMemoryStreamSize@12
0005184F 00051857 _RtlLockMemoryStreamRegion@24
0005185C 000518CB _RtlCopyMemoryStreamTo@24
000518D0 000518D8 _RtlCommitMemoryStream@8
000518DD 000518E5 _RtlRevertMemoryStream@4
000518EA 000518EF _NtdllOkayToLockRoutine@4
000518F4 00051937 _RtlDumpResource@4
000519AD 000519BB _RtlEnableEarlyCriticalSectionEventCreation@0
000519C0 00051A2B _RtlpNotOwnerCriticalSection@4
00051A81 00051A8C _RtlNewSecurityObjectWithMultipleInheritance@36
00051A91 00051AB5 _RtlSetSecurityObjectEx@24
00051ABA 00051CB7 _RtlQuerySecurityObject@20
00051CBC 00051D2D _RtlNewInstanceSecurityObject@40
00051D32 00051E4B _RtlNewSecurityGrantedAccess@24
00051E50 00051E8B _RtlpInitializeAuditAce@24
00051E90 00051E9B _RtlConvertToAutoInheritSecurityObject@24
00051EA0 00052102 _RtlDefaultNpAcl@4
000521A2 0005239C _RtlConvertUiListToApiList@12
00052415 000524EA _RtlpQueryProcessDebugInformationRemote@4
000524EA 000526AC _RtlpChangeQueryDebugBufferTarget@12
000526B1 00052714 _RtlpCommitQueryDebugInfo@8
00052719 0005273B _RtlpDeCommitQueryDebugInfo@12
00052740 00052823 _RtlCreateQueryDebugBuffer@8
00052828 0005289C _RtlDestroyQueryDebugBuffer@4
000528A1 00052904 _RtlQueryProcessModuleInformation@12
00052909 00052A06 _RtlQueryProcessBackTraceInformation@4
00052A31 00052AAC _RtlpQueryProcessEnumHeapsRoutine@8
00052AB1 00052F47 _RtlQueryProcessHeapInformation@4
00052FDD 00053117 _RtlQueryProcessLockInformation@4
00053153 0005335B _RtlQueryProcessDebugInformation@12
00053360 00053389 _LdrpTagAllocateHeap@16
0005338E 000533A7 _LdrpTagAllocateHeap0@12
000533AC 000533C5 _LdrpTagAllocateHeap1@12
000533CA 000533E3 _LdrpTagAllocateHeap2@12
000533E8 00053401 _LdrpTagAllocateHeap3@12
00053406 0005341F _LdrpTagAllocateHeap4@12
00053424 0005343D _LdrpTagAllocateHeap5@12
00053442 0005345B _LdrpTagAllocateHeap6@12
00053460 00053479 _LdrpTagAllocateHeap7@12
0005347E 00053497 _LdrpTagAllocateHeap8@12
0005349C 000534B5 _LdrpTagAllocateHeap9@12
000534BA 000534D3 _LdrpTagAllocateHeap10@12
000534D8 000534F1 _LdrpTagAllocateHeap11@12
000534F6 0005350F _LdrpTagAllocateHeap12@12
00053514 0005352D _LdrpTagAllocateHeap13@12
00053532 0005354B _LdrpTagAllocateHeap14@12
00053550 00053569 _LdrpTagAllocateHeap15@12
0005356E 00053587 _LdrpTagAllocateHeap16@12
0005358C 000535A5 _LdrpTagAllocateHeap17@12
000535AA 000535C3 _LdrpTagAllocateHeap18@12
000535C8 000535E1 _LdrpTagAllocateHeap19@12
000535E6 000535FF _LdrpTagAllocateHeap20@12
00053604 0005361D _LdrpTagAllocateHeap21@12
00053622 0005363B _LdrpTagAllocateHeap22@12
00053640 00053659 _LdrpTagAllocateHeap23@12
0005365E 00053677 _LdrpTagAllocateHeap24@12
0005367C 00053695 _LdrpTagAllocateHeap25@12
0005369A 000536B3 _LdrpTagAllocateHeap26@12
000536B8 000536D1 _LdrpTagAllocateHeap27@12
000536D6 000536EF _LdrpTagAllocateHeap28@12
000536F4 0005370D _LdrpTagAllocateHeap29@12
00053712 0005372B _LdrpTagAllocateHeap30@12
00053730 00053749 _LdrpTagAllocateHeap31@12
0005374E 00053767 _LdrpTagAllocateHeap32@12
0005376C 00053785 _LdrpTagAllocateHeap33@12
0005378A 000537A3 _LdrpTagAllocateHeap34@12
000537A8 000537C1 _LdrpTagAllocateHeap35@12
000537C6 000537DF _LdrpTagAllocateHeap36@12
000537E4 000537FD _LdrpTagAllocateHeap37@12
00053802 0005381B _LdrpTagAllocateHeap38@12
00053820 00053839 _LdrpTagAllocateHeap39@12
0005383E 00053857 _LdrpTagAllocateHeap40@12
0005385C 00053875 _LdrpTagAllocateHeap41@12
0005387A 00053893 _LdrpTagAllocateHeap42@12
00053898 000538B1 _LdrpTagAllocateHeap43@12
000538B6 000538CF _LdrpTagAllocateHeap44@12
000538D4 000538ED _LdrpTagAllocateHeap45@12
000538F2 0005390B _LdrpTagAllocateHeap46@12
00053910 00053929 _LdrpTagAllocateHeap47@12
0005392E 00053947 _LdrpTagAllocateHeap48@12
0005394C 00053965 _LdrpTagAllocateHeap49@12
0005396A 00053983 _LdrpTagAllocateHeap50@12
00053988 000539A1 _LdrpTagAllocateHeap51@12
000539A6 000539BF _LdrpTagAllocateHeap52@12
000539C4 000539DD _LdrpTagAllocateHeap53@12
000539E2 000539FB _LdrpTagAllocateHeap54@12
00053A00 00053A19 _LdrpTagAllocateHeap55@12
00053A1E 00053A37 _LdrpTagAllocateHeap56@12
00053A3C 00053A55 _LdrpTagAllocateHeap57@12
00053A5A 00053A73 _LdrpTagAllocateHeap58@12
00053A78 00053A91 _LdrpTagAllocateHeap59@12
00053A96 00053AAF _LdrpTagAllocateHeap60@12
00053AB4 00053ACD _LdrpTagAllocateHeap61@12
00053AD2 00053AEB _LdrpTagAllocateHeap62@12
00053AF0 00053B09 _LdrpTagAllocateHeap63@12
00053B0E 00053C02 _LdrpDefineDllTag@8
00053D0D 00053E1D _AVrfpParseVerifierDllsString@4
00053E5F 00053EC3 _AVrfpMoveProviderToEndOfInitializationList@4
00053F0D 00053F38 _AVrfpIsVerifierProviderDll@4
00053F3D 00053F68 _AVrfpDumpProviderList@0
00053F87 000540B1 _AVrfpFindClosestThunkDuplicate@12
00054141 000541FD _AVrfpChainDuplicateVerificationLayers@0
00054259 000542E6 _AVrfDllUnloadNotification@4
00054327 000544D1 _AVrfpSnapDllImports@4
00054573 0005477A _AVrfpDetectVerifiedExports@8
000547AB 000547BE _AVrfpGetProcessName@0
000547C3 000547F9 _AVrfpEnableHandleVerifier@0
00054839 00054858 _AVrfpEnableHeapVerifier@0
0005485D 000548B0 _AVrfpEnableVerifierOptions@0
000548B5 00054A1C _RtlApplicationVerifierStop@40
00054C95 00054E69 _AVrfpDphDetectSnapRoutines@8
00054E97 00054EB2 _AVrfpDphDllHeapAlloc@12
00054EB7 00054ED5 _AVrfpDphDllHeapReAlloc@16
00054EDA 00054EE5 _AVrfpDphDllHeapFree@12
00054EEA 00054F42 _AVrfpDphDllLocalAlloc@8
00054F47 00054F7B _AVrfpDphDllLocalReAlloc@12
00054F80 00054FB9 _AVrfpDphDllLocalFree@4
00054FBE 00055016 _AVrfpDphDllGlobalAlloc@8
0005501B 0005504F _AVrfpDphDllGlobalReAlloc@12
00055054 0005508D _AVrfpDphDllGlobalFree@4
00055092 000550AC _AVrfpDphDllNewArray
000550B1 000550EE _AVrfpDphDllcalloc
000550F3 00055127 _AVrfpDphDllrealloc
0005512C 00055143 _AVrfpDphDllfree
00055148 0005517A _AVrfpDphDllHeapCreate@12
000551A9 0005539F _AVrfpLoadAndInitializeProvider@4
000555AF 00055648 _AVrfpDllLoadNotificationInternal@4
00055699 00055968 _AVrfpDphSnapImports@8
00055C65 00055E5B _AVrfPageHeapDllNotification@4
00055E95 00055EFF _AVrfpSnapAlreadyLoadedDlls@0
00055F53 00055FCB _AVrfDllLoadNotification@4
00055FD0 00056144 _AVrfInitializeVerifier@12
00056265 00056270 _RtlQueueApcWow64Thread@20
00056275 000562C1 _RtlZombifyActivationContext@4
000562C6 000562F1 _RtlIsActivationContextActive@4
000562F6 00056510 _RtlpCrackActivationContextStringSectionHeader@44
00056BAD 00056DD7 _RtlpQueryAssemblyInformationActivationContextDetailedInformation@20
00056E8D 00057088 _RtlpQueryFilesInAssemblyInformationActivationContextDetailedInformation@20
000571C7 00057388 _RtlpGetAssemblyStorageMapRootLocation@12
000574F9 00057554 _ImportTablepInsertModuleSorted@8
000575C5 0005779D _ImportTablepHashCanonicalLists@8
00057825 00057859 _ImportTablepFreeFunctionSorted@4
0005785E 0005789A _ImportTablepFreeModuleSorted@4
0005789F 00057A9B _RtlComputeImportTableHash@12
00057D41 00057DA6 ?LoadOle32Export@@YGPAXPAPAXQAD@Z
00057DC5 00057E18 ?RtlConvertVariantToProperty@@YGPAUtagSERIALIZEDPROPERTYVALUE@@PBUtagPROPVARIANT@@GPAU1@PAKKE2@Z
00057E63 00057EAD ?RtlConvertPropertyToVariant@@YGEPBUtagSERIALIZEDPROPERTYVALUE@@GPAUtagPROPVARIANT@@PAVPMemoryAllocator@@@Z
00057EFB 00057F45 ?PropertyLengthAsVariant@@YGKPBUtagSERIALIZEDPROPERTYVALUE@@KGE@Z
00057F91 00057F94 _RtlSetUnicodeCallouts@4
00057F94 0005807D ___report_gsfailure
00058082 0005815F _DbgPrintReturnControlC
00058171 000581B2 _DbgPrompt@12
000581B7 000581C2 _DbgQueryDebugFilterState@8
000581C7 000581D2 _DbgSetDebugFilterState@12
000581D7 00058246 _GetUILangID@0
0005824B 000582DB _LdrFindEntryForAddress@8
000582E0 00058525 _LdrEnumResources@20
0005852A 0005855B _LdrGetAlternateResourceModuleHandle@4
00058560 00058686 _LdrpGetFileVersion@12
0005873D 00058AC3 _LdrpCalcResourceChecksum@12
00058AD9 00058B7C _LdrpGetRegValueKey@24
00058B81 00058BC7 _LdrpCreateKey@12
00058BCC 00058C0E _LdrpOpenKey@12
00058C13 00058E30 _LdrpOpenFileVersionKey@24
00058F05 00058F56 _LdrpConvertVersionString@12
00058F5B 00059009 _LdrpSetAlternateResourceModuleHandle@8
0005900E 0005902B _LdrFindResourceEx_U@20
00059030 0005919D _LdrpGetResourceChecksum@8
00059291 00059579 _LdrpCompareResourceChecksum@32
00059621 000596F7 _LdrpVerifyAlternateResourceModule@16
000596FC 00059719 _LdrProcessRelocationBlock@16
0005971E 000598BD _RtlCustomCPToUnicodeN@24
00059902 00059A6C _RtlUnicodeToCustomCPN@24
00059AB1 0005A2DB _RtlUpcaseUnicodeToCustomCPN@24
0005A321 0005A33A _PfxInitialize@4
0005A33F 0005A3BE _PfxRemovePrefix@8
0005A3C3 0005A431 _ComputeNameLength@4
0005A436 0005A581 _CompareNamesCaseSensitive@8
0005A586 0005A664 _PfxInsertPrefix@12
0005A669 0005A703 _PfxFindPrefix@8
0005A708 0005A782 _RtlSelfRelativeToAbsoluteSD2@8
0005A787 0005A7CE _RtlSetInformationAcl@16
0005A7D3 0005A8E9 _RtlAddCompoundAce@24
0005A8EE 0005AA12 _RtlpAddKnownObjectAce@32
0005AA17 0005AA36 _RtlAddAccessDeniedAceEx@20
0005AA3B 0005AA6E _RtlAddAuditAccessAceEx@28
0005AA73 0005AABB _RtlAddAccessAllowedObjectAce@28
0005AAC0 0005AB09 _RtlAddAccessDeniedObjectAce@28
0005AB0E 0005AB69 _RtlAddAuditAccessObjectAce@36
0005AB6E 0005AB83 _RtlpDestroyLockAtomTable@4
0005AB88 0005AB9D _RtlpDestroyHandleTableForAtomTable@4
0005ABA2 0005AC61 _RtlDestroyAtomTable@4
0005AC79 0005AD2E _RtlEmptyAtomTable@8
0005AD41 0005ADE3 _RtlPinAtomInAtomTable@8
0005ADF9 0005AE15 _RtlInitializeRangeList@4
0005AE1A 0005AF53 _RtlpAddToMergedRange@12
0005AF58 0005AFAF _RtlpCreateRangeListEntry@28
0005AFB4 0005B00F _RtlpDeleteRangeListEntry@4
0005B014 0005B054 _RtlFreeRangeList@4
0005B059 0005B0AF _RtlGetFirstRange@12
0005B0B4 0005B10C _RtlGetLastRange@12
0005B111 0005B1BB _RtlGetNextRange@12
0005B1C0 0005B278 _RtlpCopyRangeListEntry@4
0005B27D 0005B2EA _RtlCopyRangeList@8
0005B2EF 0005B3CB _RtlpIsRangeAvailable@44
0005B3D0 0005B541 _RtlFindRange@48
0005B546 0005B584 _RtlpConvertToMergedRange@4
0005B589 0005B74E _RtlpAddIntersectingRanges@16
0005B753 0005B7BD _RtlIsRangeAvailable@40
0005B7C2 0005B878 _RtlpAddRange@12
0005B87D 0005B981 _RtlpDeleteFromMergedRange@8
0005B986 0005BA61 _RtlMergeRangeLists@16
0005BA66 0005BAEC _RtlAddRange@36
0005BAF1 0005BC29 _RtlDeleteRange@24
0005BC2E 0005BCDA _RtlDeleteOwnersRanges@8
0005BCDF 0005BD76 _RtlInvertRangeList@8
0005BD7B 0005BDCC _RtlpImageDirectoryEntryToData64@20
0005BDD1 0005BE60 _RtlCopySidAndAttributesArray@28
0005BE65 0005BE89 _RtlEqualLuid@8
0005BE8E 0005BEB8 _RtlCopyLuidAndAttributesArray@12
0005BEBD 0005BF1A _RtlGetSaclSecurityDescriptor@16
0005BF1F 0005C113 _RtlpCreateServerAcl@20
0005C118 0005C13E _RtlGetSecurityDescriptorRMControl@8
0005C143 0005C175 _RtlpGuidPresentInGuidList@12
0005C17A 0005C1A0 _RtlSetSecurityDescriptorRMControl@8
0005C1A5 0005C22A _RtlMapSecurityErrorToNtStatus@4
0005C290 0005C2C3 _RtlSetAttributesSecurityDescriptor@12
0005C2C8 0005C495 _RtlpComputeMergedAcl2@44
0005C49A 0005C542 _RtlpComputeMergedAcl@40
0005C547 0005C743 _RtlpCompareKnownObjectAces@16
0005C748 0005CDE2 _RtlpConvertAclToAutoInherit@36
0005CDE7 0005D205 _RtlpConvertToAutoInheritSecurityObject@24
0005D20A 0005D233 _RtlpHeapReportCorruption@4
0005D25F 0005D38C _RtlZeroHeap@8
0005D3C5 0005D3D9 _RtlpGetSizeOfBigBlock@4
0005D3DE 0005D461 _RtlpCheckBusyBlockTail@4
0005D4BF 0005D509 _GetUCBytes@12
0005D50E 0005D566 _RtlDowncaseUnicodeChar@4
0005D56B 0005D58B _RtlxUnicodeStringToOemSize@4
0005D590 0005D5B2 _RtlxOemStringToUnicodeSize@4
0005D5B7 0005D661 _RtlUpcaseUnicodeStringToAnsiString@12
0005D666 0005D735 _RtlUnicodeStringToCountedOemString@12
0005D73A 0005D809 _RtlUpcaseUnicodeStringToCountedOemString@12
0005D80E 0005D819 _RtlEqualComputerName@8
0005D81E 0005D8AC _RtlCompareString@12
0005D8B1 0005D8F5 _RtlUpperString@8
0005D8FA 0005D950 _RtlAppendAsciizToString@8
0005D955 0005D9A4 _RtlAppendStringToString@8
0005D9A9 0005DC55 _RtlFindSetBits@12
0005DC5A 0005DE9C _RtlFindClearRuns@16
0005DEA1 0005DED3 _RtlFindLongestRunClear@8
0005DED8 0005DF23 _RtlNumberOfClearBits@4
0005DF28 0005DF7A _RtlNumberOfSetBits@4
0005DF7F 0005DFFD _RtlAreBitsClear@12
0005E002 0005E0F7 _RtlFindNextForwardRunClear@12
0005E0FC 0005E1C7 _RtlFindLastBackwardRunClear@12
0005E1CC 0005E272 _RtlFindMostSignificantBit@8
0005E277 0005E31B _RtlFindLeastSignificantBit@8
0005E320 0005E34E _RtlFindSetBitsAndClear@12
0005E353 0005E47C _RtlAssert2@20
0005E561 0005E57D _RtlAssert@16
0005E582 0005E5BF _RtlpDeleteTimerQueueComplete@4
0005E5C4 0005E5C6 RtlDebugPrintTimes
0005E5C6 0005E5C7 _RtlDebugPrintTimes@0
0005E5CC 0005E674 _RtlpDeleteTimerQueue@4
0005E679 0005E77C _RtlDeleteTimerQueueEx@8
0005E781 0005E794 _RtlDeleteTimerQueue@4
0005E799 0005E7A4 _RtlSetTimer@28
0005E7A9 0005E7BF _RtlCancelTimer@8
0005E7C4 0005E7ED _RtlpStkIsPointerInDllRange@4
0005E7F2 0005E8A8 _RtlWalkFrameChain@12
0005E8B9 0005E956 _RtlpWalkFrameChainFuzzy@8
0005E969 0005EA64 _RtlCaptureStackContext@12
0005EA69 0005EB1D _RtlCaptureStackBackTrace@16
0005EB22 0005EB67 _RtlGetCallersAddress@8
0005EB6C 0005ED36 _RtlLargeIntegerToChar@16
0005ED49 0005EF23 _RtlLargeIntegerToUnicode@16
0005EF39 0005EFA4 _RtlInt64ToUnicodeString@16
0005EFA9 0005EFB3 _RtlGetCurrentPeb@0
0005EFB8 0005EFE6 _RtlCreateRegistryKey@8
0005EFEB 0005F006 _RtlpGetTimeZoneInfoHandle@8
0005F039 0005F15C _RtlQueryTimeZoneInformation@4
0005F161 0005F275 _RtlSetTimeZoneInformation@4
0005F27A 0005F379 _RtlProtectHeap@8
0005F3DD 0005F4F5 _RtlSetUserFlagsHeap@20
0005F52D 0005F657 _RtlQueryTagHeap@20
0005F691 0005F865 _RtlExtendHeap@16
0005F899 0005F923 _RtlGetProcessHeaps@8
0005F951 0005F9B2 _RtlEnumProcessHeaps@8
0005F9D9 0005FDDC _RtlWalkHeap@8
0005FDE1 0005FF0A _RtlpAllocateTags@8
0005FF0F 0005FFC8 _RtlpGetTagName@8
0006001D 000601AB _RtlpUpdateTagEntry@20
000601B0 00060236 _RtlpAllocateHeapUsageEntry@8
0006023B 0006025E _RtlpFreeHeapUsageEntry@8
00060263 000602AB _RtlQueryHeapInformation@20
000602B0 000602BB _RtlpAcquireHeapListLock@0
000602C0 000602CB _RtlpReleaseHeapListLock@0
000602D0 00060487 _RtlValidateHeap@12
000604F3 0006059B _RtlValidateProcessHeaps@0
000605A0 00060ACD _RtlUsageHeap@12
00060AF9 00060B3F _RtlGetCompressionWorkSpaceSize@12
00060B65 00060BBA _RtlCompressBuffer@32
00060BE1 00060C27 _RtlDecompressBuffer@24
00060C4D 00060C99 _RtlDecompressFragment@32
00060CC1 00060CC9 _RtlCompressWorkSpaceSizeNS@12
00060CCE 00060CD6 _RtlCompressBufferNS@32
00060CDB 00060CE3 _RtlDecompressBufferNS@20
00060CE8 00060CF0 _RtlDecompressFragmentNS@28
00060CF5 00060D32 _ChkSum@12
00060D37 00060DA4 _LdrVerifyMappedImageMatchesChecksum@8
00060DA9 00060DDF _RtlComputeCrc32@12
000611E5 0006137D _RtlCreateBootStatusDataFile@0
000613BD 00061449 _RtlSetCurrentEnvironment@8
00061461 00061496 _RtlpFreeStack@8
0006149B 000614C0 _RtlExitUserThread@4
000614C5 00061526 _RtlFreeUserThreadStack@8
0006152B 0006155B _RtlpSysVolAdminSid@4
00061560 00061589 _RtlpSysVolSystemSid@4
0006158E 00061662 _RtlpSysVolCreateSecurityDescriptor@8
00061667 000618BE _RtlpSysVolCheckOwnerAndSecurity@8
000618C3 000619AC _RtlpSysVolTakeOwnership@4
000619B1 00061B6B _RtlCreateSystemVolumeInformationFolder@4
00061BAB 00061C0D _RtlTimeToElapsedTimeFields@8
00061C12 00061C44 _RtlSecondsSince1980ToTime@8
00061C49 00061C7B _RtlSecondsSince1970ToTime@8
00061C80 00061CB7 _RtlLocalTimeToSystemTime@8
00061CBC 00061CDA _RtlSubtreeSuccessor@4
00061CDF 00061D17 _RtlRealPredecessor@4
00061D1C 00061D97 _RtlDeleteNoSplay@8
00061D9C 00061E20 _RtlGetElementGenericTable@8
00061E25 00061E6F _RtlEnumerateGenericTable@8
00061E74 00061E79 _MatchAll@12
00061E7E 00061EC6 _PromoteNode@4
00061ECB 00061F63 _RebalanceNode@4
00061F68 0006205A _DeleteNodeFromTree@8
0006205F 00062093 _RealPredecessor@4
00062098 00062171 _RtlInsertElementGenericTableFullAvl@24
00062176 0006218A _RtlIsGenericTableEmptyAvl@4
0006218F 0006225F _RtlGetElementGenericTableAvl@8
00062264 00062273 _RtlNumberGenericTableElementsAvl@4
00062278 000622CC _FindNodeOrParent@12
000622D1 000622FF _RtlInsertElementGenericTableAvl@16
00062304 00062357 _RtlDeleteElementGenericTableAvl@8
0006235C 00062389 _RtlLookupElementGenericTableFullAvl@16
0006238E 00062458 _RtlEnumerateGenericTableLikeADirectory@28
0006245D 00062479 _RtlLookupElementGenericTableAvl@8
0006247E 000624B5 _RtlRegisterSecureMemoryCacheCallback@4
000624BA 0006254A _RtlFlushSecureMemoryCache@8
0006254F 0006267D _RtlIsValidOemCharacter@4
00062682 00062722 _GetNextWchar@16
00062727 000627A2 _RtlComputeLfnChecksum@4
000627A7 00062923 _RtlIsNameLegalDOS8Dot3@12
00062928 00062D10 _RtlGenerate8dot3Name@16
00062D15 00062D22 _RtlGetLastNtStatus@0
00062D27 00062D43 _RtlSetLastWin32ErrorAndNtStatusFromNtStatus@4
00062D48 00062EB0 _RtlRemoteCall@28
00062EB5 00062EC6 _RtlInterlockedFlushSList@4
00062ECB 00062F92 _RtlInitStackTraceDataBaseEx@28
00062F97 00062FC2 _RtlInitializeStackTraceDataBase@12
00062FC7 00062FF0 _RtlpAcquireStackTraceDataBase@0
00062FF5 00062FFF _RtlpReleaseStackTraceDataBase@0
00063004 00063109 _RtlpExtendStackTraceDataBase@8
0006310E 0006313E _RtlpGetStackTraceAddress@4
00063143 00063164 _RtlpCaptureStackLimits@12
00063169 00063339 _RtlIpv6AddressToStringA@8
00063395 0006345F _RtlIpv6AddressToStringExA@20
0006347B 000634B1 _RtlIpv4AddressToStringA@8
000634C9 00063560 _RtlIpv4AddressToStringExA@16
0006356F 00063742 _RtlIpv6AddressToStringW@8
000637D7 000638A6 _RtlIpv6AddressToStringExW@20
000638CB 00063BE5 _RtlIpv6StringToAddressA@12
00063BEA 00063E22 _RtlIpv6StringToAddressExA@16
00063E27 00063FBB _RtlIpv4StringToAddressExA@16
00063FC0 000642B9 _RtlIpv6StringToAddressW@12
000642BE 0006451C _RtlIpv6StringToAddressExW@16
00064521 0006459C _RtlLargeIntegerDivide@20
000645A1 000646EB _RtlpWorkerThreadTimerCallback@8
000646F0 0006470A _RtlpExecuteLongIOWorkItem@12
00064768 00064792 _RtlRaiseStatus@4
