000010A0 000010A6 _memset
00026A92 00026AC0 ??0PendingArgsStack@@QAE@IPAVCompiler@@@Z
00026AE7 00026BD8 ?emitStackPopLargeStk@emitter@@QAEXPAE_NI@Z
00026BF8 00026C49 ?emitGCregDeadSet@emitter@@QAEXW4GCtype@@IPAE@Z
00026C49 00026C83 ?gcRegPtrAllocDsc@Compiler@@QAEPAUregPtrDsc@1@XZ
00026C83 00026CE3 ?emitGCregLiveSet@emitter@@QAEXW4GCtype@@IPAE_N@Z
00026DF5 00026E08 ?pasHasGCptrs@PendingArgsStack@@QAE_NXZ
00026ECC 00026EEE ?pasPop@PendingArgsStack@@QAEXI@Z
00026EEE 00027202 ?lookupCallPattern@@YIHIIII@Z
0002728B 000272AC ?gtNewSconNode@Compiler@@QAEPAUGenTree@@HPAUCORINFO_MODULE_STRUCT_@@@Z
000274FE 0002754B ?genGetZeroRegister@Compiler@@QAEIXZ
00027583 000275C2 ?eeGetArgType@Compiler@@QAEEPAUCORINFO_ARG_LIST_STRUCT_@@PAUCORINFO_SIG_INFO@@PA_N@Z
00027636 0002773F ?impIntrinsic@Compiler@@IAEPAUGenTree@@PAUCORINFO_CLASS_STRUCT_@@PAUCORINFO_METHOD_STRUCT_@@PAUCORINFO_SIG_INFO@@H_NPAW4CorInfoIntrinsics@@@Z
00027FD1 00027FF1 ?impIsPrimitive@Compiler@@IAE_NW4CorInfoType@@@Z
00028157 000281B7 ?genPushArgumentFlatFP@Compiler@@QAEIPAUGenTree@@@Z
00028209 00028221 ?gtNewDconNode@Compiler@@QAIPAUGenTree@@N@Z
00028221 000282B9 ?nraAllocNewPage@norls_allocator@@AAEPAXI@Z
000282C4 00028312 ?nraToss@norls_allocator@@AAEXAAUnraMarkDsc@@@Z
0002856A 0002858B ?lvaFieldOffsetCmp@Compiler@@SAHPBX0@Z
000285AB 000285CE ?gtNewLclLNode@Compiler@@QAIPAUGenTree@@IEI@Z
000287B1 000287D7 ??0JitInlineResult@@QAE@W4CorInfoInline@@PAUCORINFO_METHOD_STRUCT_@@1PBD@Z
000287D7 00028802 ?IsValueClassWithClsHnd@typeInfo@@QBEHXZ
00028802 00028825 ?impIsValueType@Compiler@@IAE_NPAVtypeInfo@@@Z
00028852 0002886D ?impSpillEvalStack@Compiler@@IAEXXZ
00028B2B 00028C80 ?optAssertionRemove@Compiler@@QAEXI@Z
00028CE0 00028E2F ?lvaCanPromoteStructType@Compiler@@QAEXPAUCORINFO_CLASS_STRUCT_@@PAUlvaStructPromotionInfo@1@_N@Z
00028E2F 00028E8C ?impCreateBlockOp@Compiler@@IAEPAUGenTree@@EPAU2@00_N@Z
00028E8C 00028F1E ?fgMorphOneAsgBlockOp@Compiler@@IAEPAUGenTree@@PAU2@@Z
00028F45 00028FFF ?lvaSetStruct@Compiler@@QAEXIPAUCORINFO_CLASS_STRUCT_@@_N@Z
00028FFF 0002902B ?lvaGetPromotionType@Compiler@@QAE?AW4lvaPromotionType@1@PAULclVarDsc@1@@Z
00029060 00029080 ?lvaCanPromoteStructVar@Compiler@@QAEXIPAUlvaStructPromotionInfo@1@@Z
00029125 000291E3 ?lvaPromoteStructVar@Compiler@@QAEXIPAUlvaStructPromotionInfo@1@@Z
00029299 000292AF ?lvaGetGcLayout@Compiler@@QAEPAEI@Z
00029330 0002939A ?impGetStructAddr@Compiler@@IAEPAUGenTree@@PAU2@PAUCORINFO_CLASS_STRUCT_@@I_N@Z
000294EE 00029523 ?emitStackPushN@emitter@@QAEXPAEI@Z
000297E4 00029937 ?fgMorphInitBlock@Compiler@@IAEPAUGenTree@@PAU2@@Z
00029B60 00029B9C ?genDefineTempLabel@Compiler@@IAEXPAUBasicBlock@@@Z
00029B9C 00029BC6 ?genCreateTempLabel@Compiler@@IAEPAUBasicBlock@@XZ
00029DC2 00029E0E ?gtHasRef@Compiler@@QAE_NPAUGenTree@@H_N@Z
0002A224 0002A238 ?IsValueClass@typeInfo@@QBEHXZ
0002A264 0002A276 ?gtNewNothingNode@Compiler@@QAEPAUGenTree@@XZ
0002A64D 0002A697 ?genCodeForQmarkWithCMOV@Compiler@@IAE_NPAUGenTree@@II@Z
0002A697 0002A6CC ?SpillTempsFlatFP@Compiler@@QAEXI@Z
0002A6D7 0002A6E0 ?IsEmpty@FlatFPStateX87@@QAE_NXZ
0002A6E0 0002A714 ?genDyingVars@Compiler@@IAEX_KPAUGenTree@@@Z
0002A714 0002A91D ?genCodeForQmark@Compiler@@IAEXPAUGenTree@@II@Z
0002A91D 0002A967 ?saveLiveness@Compiler@@QAEXPAUgenLivenessSet@1@@Z
0002A967 0002AA18 ?genQMarkRegVarTransition@Compiler@@QAEXPAUGenTree@@@Z
0002AA18 0002AA3E ?genQMarkBeforeThenFlatFP@Compiler@@QAEXPAUQmarkStateFlatFP@1@_KPAUGenTree@@@Z
0002AB5B 0002AB6E __alloca_probe_16
0002AB6E 0002AB94 __chkstk
0002AC06 0002AC1D ?gtMarkColonCond@Compiler@@SG?AW4fgWalkResult@1@PAPAUGenTree@@PAX@Z
0002ACB7 0002ACD1 ?genIsEnregisteredIntVariable@Compiler@@QAEIPAUGenTree@@@Z
0002ACD1 0002AD1E ?restoreLiveness@Compiler@@QAEXPAUgenLivenessSet@1@@Z
0002AD1E 0002AD94 ?genQMarkAfterThenBlockFlatFP@Compiler@@QAEXPAUQmarkStateFlatFP@1@_KPAUGenTree@@@Z
0002AD94 0002ADCB ?unspillLiveness@Compiler@@QAEXPAUgenLivenessSet@1@@Z
0002ADCB 0002ADEF ?genQMarkAfterElseBlockFlatFP@Compiler@@QAEXPAUQmarkStateFlatFP@1@@Z
0002B17D 0002B1C2 ?encodeSigned@@YGIPAEH@Z
0002B674 0002B693 ?lvaGetActualType@Compiler@@QAEEI@Z
0002B6CA 0002B6E5 ?impILConsumesAddr@Compiler@@IAE_NPBEPAUCORINFO_METHOD_STRUCT_@@PAUCORINFO_MODULE_STRUCT_@@@Z
0002B9EE 0002BA2A ?IsPrimitiveType@typeInfo@@QBEHXZ
0002BA2A 0002BC5E ?impImportAndPushBox@Compiler@@IAEXHPAUCORINFO_CLASS_STRUCT_@@@Z
0002BF91 0002BFDB ?genFlagsEqualToVar@Compiler@@IAEXPAUGenTree@@I@Z
0002C0D6 0002C104 ?inst_SET@Compiler@@QAEXW4emitJumpKind@@I@Z
0002C1E5 0002C2BF ?impInlineFetchLocal@Compiler@@IAEII@Z
0002C54E 0002C595 ?genFlagsEqualToReg@Compiler@@IAEXPAUGenTree@@I@Z
0002C7BD 0002C969 ?fgMorphCast@Compiler@@IAEPAUGenTree@@PAU2@@Z
0002C9E6 0002CA3E ?fgInsertStmtAtEnd@Compiler@@IAEPAUGenTree@@PAUBasicBlock@@PAU2@@Z
0002CA3E 0002CA6A ?fgMarkBackwardJump@Compiler@@IAEXPAUBasicBlock@@0@Z
0002CCE2 0002CD8C ?optNarrowTree@Compiler@@IAE_NPAUGenTree@@EE_N@Z
0002CEA3 0002CF06 ?optFindNaturalLoops@Compiler@@IAEXXZ
0002CFA7 0002D0AE ?optMarkLoopBlocks@Compiler@@IAEXPAUBasicBlock@@0_N@Z
0002D0BB 0002D0EC ?fgMarkLoopHead@Compiler@@QAEXPAUBasicBlock@@@Z
0002D19C 0002D1B9 ?CountSharedStaticHelper@Compiler@@SG?AW4fgWalkResult@1@PAPAUGenTree@@PAX@Z
0002D1C5 0002D404 ?optRecordLoop@Compiler@@IAEXPAUBasicBlock@@000E@Z
0002D52F 0002D55F ?optOptimizeInducIndexChecks@Compiler@@IAEXIQAUarraySizes@1@@Z
0002D6E4 0002D702 ?IsTreeAlwaysHoistable@Compiler@@SG_NPAUGenTree@@@Z
0002D702 0002D732 ?optHoistLoopHelpersCB@Compiler@@CG?AW4fgWalkResult@1@PAUGenTree@@PAX@Z
0002D732 0002D777 ?gtNodeHasSideEffects@Compiler@@QAE_NPAUGenTree@@@Z
0002D777 0002D7FB ?optHoistLoopCodeCB@Compiler@@CG?AW4fgWalkResult@1@PAUGenTree@@PAX@Z
0002D7FB 0002D943 ?optHoistSharedStaticHelpers@Compiler@@AAEHIIIPAUBasicBlock@@@Z
0002D943 0002DA42 ?optFindHoistCandidate@Compiler@@AAEHIIIPAUBasicBlock@@PAPAUGenTree@@@Z
0002DAFC 0002DB6D ?optIsVarAssgCB@Compiler@@CG?AW4fgWalkResult@1@PAPAUGenTree@@PAX@Z
0002DB6D 0002DC90 ?optIsSetAssgLoop@Compiler@@IAEHI_KW4varRefKinds@@@Z
0002DD04 0002DD86 ?optIsVarAssigned@Compiler@@IAE_NPAUBasicBlock@@0PAUGenTree@@J@Z
0002DD86 0002DDA1 ?lvaVarAddrTaken@Compiler@@QAE_NI@Z
0002DE3D 0002DE5D ?lpIsReversed@LoopDsc@Compiler@@QAE_NXZ
0002DE5D 0002DE84 ?lpTestOper@LoopDsc@Compiler@@QAEEXZ
0002DE84 0002DE9E ?lpLimit@LoopDsc@Compiler@@QAEPAUGenTree@@XZ
0002DED0 0002DEE3 ?SwapRelop@GenTree@@SGEE@Z
0002DEE3 0002DF06 ?optAvoidIncDec@Compiler@@IAE_NI@Z
0002DF47 0002DFEF ?genIncRegBy@Compiler@@IAEXIJPAUGenTree@@E_N@Z
0002E170 0002E18C ?optLoopHoistJoin@Compiler@@AAEXPAPAUoptLoopHoistNode@@0@Z
0002E273 0002E2F6 ?optHoistCandidateFound@Compiler@@AAEXIPAUGenTree@@@Z
0002E342 0002E45E ?fgCreateLoopPreHeader@Compiler@@QAEXI@Z
0002E45E 0002E494 ?fgUpdateEHTable@Compiler@@QAEXPAUBasicBlock@@00@Z
0002E5D6 0002E621 ?countOfOutEdges@BasicBlock@@QAEIXZ
0002E621 0002E658 ?fgConnectFallThrough@Compiler@@QAEPAUBasicBlock@@PAU2@0@Z
0002E680 0002E6AD ?fgCloseRegions@Compiler@@QAEXPAUBasicBlock@@0I_N@Z
0002E6AD 0002E759 ?fgNewBBinRegion@Compiler@@QAEPAUBasicBlock@@EIIPAU2@@Z
0002E759 0002E775 ?bbFindInnermostHandlerRegionContainingTryRegion@Compiler@@QAEII@Z
0002E775 0002E7BC ?lvaGrabTempWithImplicitUse@Compiler@@QAEI_N@Z
0002EA9C 0002EAB8 ?gtNewCastNode@Compiler@@QAEPAUGenTree@@EPAU2@E@Z
0002EAB8 0002EAF4 ?rsUselessRegs@Compiler@@QAEIXZ
0002EC9E 0002ECCF ?gtNewIndexRef@Compiler@@QAEPAUGenTree@@EPAU2@0@Z
0002EDD0 0002EE0D ?fgSetRngChkTarget@Compiler@@IAEXPAUGenTree@@_N@Z
0002EE7F 0002EEA2 ?IsScaleIndexShf@GenTree@@QAEIXZ
0002EEA2 0002EEDD ?IsScaledIndex@GenTree@@QAEIXZ
0002EF6E 0002F096 ?gtNewRngChkNode@Compiler@@QAEPAUGenTree@@PAU2@00EI_N@Z
0002F096 0002F174 ?fgMoveOpsLeft@Compiler@@IAEXPAUGenTree@@@Z
0002F174 0002F1AB ?genIsAddrMode@Compiler@@IAEPAUGenTree@@PAU2@PAPAU2@@Z
0002F604 0002F6A6 ?emitIns_R_ARX@emitter@@QAEXEW4emitAttr@@W4emitRegs@@11IH@Z
0002F6A6 0002F7F8 ?optRngChkIndex@Compiler@@IAEHPAUGenTree@@@Z
0002F818 0002F831 ?genCSEevalRegs@Compiler@@IAEIPAUGenTree@@@Z
0002F87D 0002F8B0 ?genJumpToThrowHlpBlk@Compiler@@IAEXW4emitJumpKind@@W4addCodeKind@1@PAUGenTree@@@Z
0002F8B0 0002F90C ?genRangeCheck@Compiler@@IAEXPAUGenTree@@00JIW4KeepReg@1@@Z
0002FAAF 0002FAD6 ?fgFindExcptnTarget@Compiler@@IAEPAUAddCodeDsc@1@W4addCodeKind@1@I@Z
0002FAD6 0002FB19 ?fgAddCodeRef@Compiler@@IAEPAUBasicBlock@@PAU2@IW4addCodeKind@1@I@Z
0002FCE8 0002FD0A ?CheckIsInTryRegion@EHblkDsc@Compiler@@QAE_NPAUBasicBlock@@@Z
0002FD38 0002FDEC ?impImportLeave@Compiler@@IAEXPAUBasicBlock@@@Z
0002FE61 0002FE8C ?fgSetTryEnd@Compiler@@IAEXPAUEHblkDsc@1@PAUBasicBlock@@1@Z
0002FE8C 0002FEBD ?verInitEHTree@Compiler@@QAEXI@Z
0002FEBD 0002FEC8 ?makeBlockHot@BasicBlock@@QAEXXZ
0002FEC8 0002FF2D ?verInsertEhNodeInTree@Compiler@@QAEXPAPAUEHNodeDsc@1@PAU21@@Z
0002FF2D 0002FFBE ?verInsertEhNode@Compiler@@QAEXPAUCORINFO_EH_CLAUSE@@PAUEHblkDsc@1@@Z
0003008B 00030123 ?impVerifyEHBlock@Compiler@@IAEXPAUBasicBlock@@@Z
0003034F 00030395 ?fgGetHandlerLiveVars@Compiler@@QAE_KPAUBasicBlock@@@Z
000304BB 000305B3 ?fgFindInsertPoint@Compiler@@QAEPAUBasicBlock@@I_NPAU2@111I@Z
00030749 00030797 ?bbFindInnermostCommonTryRegion@Compiler@@QAEIPAUBasicBlock@@0@Z
00030A1B 00030A8D ?fgGetNestingLevel@Compiler@@QAEIPAUBasicBlock@@PAI@Z
00030B26 00030C6F ?fgGetStaticsCCtorHelper@Compiler@@QAEPAUGenTree@@PAUCORINFO_CLASS_STRUCT_@@W4CorInfoHelpFunc@@PAU2@@Z
00030CA1 00030CF1 ?fgGetStaticsBlock@Compiler@@QAEPAUGenTree@@PAUCORINFO_FIELD_STRUCT_@@@Z
00030D55 00030DC7 ?genRegCountForLiveIntEnregVars@Compiler@@IAEIPAUGenTree@@@Z
00031329 00031342 ?emitDataGenData@emitter@@QAEXIPAUBasicBlock@@@Z
00031342 000313DF ?genTableSwitch@Compiler@@IAEXIIPAPAUBasicBlock@@_NHPAU2@H@Z
000313DF 00031449 ?emitIns_IJ@emitter@@QAEXW4emitAttr@@W4emitRegs@@II@Z
00031449 0003147B ?genTableSwitchFlatFP@Compiler@@QAEXIIPAPAUBasicBlock@@_N@Z
0003147B 000314BF ?genCodeForSwitch@Compiler@@IAEXPAUGenTree@@@Z
000315D0 000315F3 ?fgThrowHlpBlkStkLevel@Compiler@@IAEIPAUBasicBlock@@@Z
00032092 000320E0 ?optUnmarkCSE@Compiler@@IAEXPAUGenTree@@@Z
00032A5C 00032A98 ?rsLockReg@Compiler@@QAEXIPAI@Z
00032A98 00032AC3 ?rsUnlockReg@Compiler@@QAEXII@Z
00032B92 00032BDD ?siEndScope@Compiler@@IAEXPAUsiScope@1@@Z
00032BDD 00032BF4 ?siCloseAllOpenScopes@Compiler@@QAEXXZ
00032E0F 00032EB6 ?optAssertionIsSubrange@Compiler@@QAE_NIE_K@Z
0003329C 000332D4 ?fgGetCodeEstimate@Compiler@@QAEIPAUBasicBlock@@@Z
000336CB 000336FE ?fgGetSharedCCtor@Compiler@@QAEPAUGenTree@@PAUCORINFO_CLASS_STRUCT_@@@Z
000337AF 000337D0 ?gtClearColonCond@Compiler@@SG?AW4fgWalkResult@1@PAPAUGenTree@@PAX@Z
00033917 000339A2 ?gtCanOptimizeTypeEquality@Compiler@@IAEHPAUGenTree@@@Z
00033AE9 00033B20 ?fgUpdateRefCntForExtract@Compiler@@QAEXPAUGenTree@@0@Z
00033BE6 00033C43 ?optReachWithoutCall@Compiler@@IAE_NPAUBasicBlock@@0@Z
00033C87 00033CA4 ?fgLoopCallTest@Compiler@@QAEXPAUBasicBlock@@0@Z
00033CC6 00033D11 ?fgLoopCallMark@Compiler@@QAEXXZ
00033D53 00033D74 ?gceByrefPrefixI@@YGPAEPAUregPtrDsc@Compiler@@PAE@Z
00033F3A 00034025 ?emitIns_ARX_R@emitter@@QAEXEW4emitAttr@@W4emitRegs@@11IH@Z
000341E5 00034222 ?lvaGetFieldLocal@Compiler@@QAEIPAULclVarDsc@1@I@Z
000343C0 00034410 ?impPushCatchArgOnStack@Compiler@@IAEPAUBasicBlock@@PAU2@PAUCORINFO_CLASS_STRUCT_@@@Z
0003445C 00034493 ?IsInHandlerRegion@EHblkDsc@Compiler@@QAE_NPAUBasicBlock@@PAV2@@Z
00034714 0003473C ?fgMoveBlocksAfter@Compiler@@QAEXPAUBasicBlock@@00@Z
0003482F 00034873 ?gtNewIconEmbScpHndNode@Compiler@@QAEPAUGenTree@@PAUCORINFO_MODULE_STRUCT_@@IPAX@Z
00034912 00034A37 ?genRegTrashable@Compiler@@IAE_NIPAUGenTree@@@Z
00034ACE 00034AF4 ?ebdIsSameTry@Compiler@@QAE_NPAUEHblkDsc@1@0@Z
00034B3E 00034BA3 ?verInsertEhNodeParent@Compiler@@QAEXPAPAUEHNodeDsc@1@PAU21@@Z
00034E27 00034E47 ?impSpillValueClasses@Compiler@@IAEXXZ
00034EAD 00034EF1 ?gtNewIconEmbMethHndNode@Compiler@@QAEPAUGenTree@@PAUCORINFO_METHOD_STRUCT_@@IPAX@Z
00035289 000352B4 ?inst_RV_SH@Compiler@@QAEXEII@Z
0003542C 0003549C ?optIsRangeCheckRemovable@Compiler@@IAE_NPAUGenTree@@@Z
000354D7 00035523 ?optValidRangeCheckIndex@Compiler@@KG?AW4fgWalkResult@1@PAPAUGenTree@@PAX@Z
00035587 00035654 ?emitIns_I_ARX@emitter@@QAEXEW4emitAttr@@HW4emitRegs@@1IH@Z
00035697 000356E3 ?optFindLocalInit@Compiler@@IAEPAUGenTree@@PAUBasicBlock@@PAU2@@Z
000356F5 00035728 ?lvaIncRefCnts@Compiler@@QAEXPAUGenTree@@@Z
00035728 00035740 ?lvaIncRefCntsCB@Compiler@@SG?AW4fgWalkResult@1@PAPAUGenTree@@PAX@Z
0003586C 000358A5 ?optGetArrayRefScaleAndIndex@Compiler@@IAEJPAUGenTree@@PAPAU2@@Z
00035AA7 00035AD5 ?FlatFPIsSameAsFloat@Compiler@@QAE_NN@Z
00035BB3 00035BD5 ?CheckIsInHandlerRegion@EHblkDsc@Compiler@@QAE_NPAUBasicBlock@@@Z
00035E50 00035E6B ?inst_IV_handle@Compiler@@QAEXEJI@Z
00035E8D 00035EA3 ?optLoopHoistListHasTree@Compiler@@AAE_NPAPAUoptLoopHoistNode@@PAUGenTree@@@Z
00035EC5 00035EF5 ?optLoopHoistListAddNode@Compiler@@AAEXPAPAUoptLoopHoistNode@@PAUGenTree@@@Z
000360C9 00036127 ?fgEhAllowsMoveBlock@Compiler@@QAE_NPAUBasicBlock@@0@Z
0003631D 0003637B ?fgInsertStmtAtBeg@Compiler@@IAEPAUGenTree@@PAUBasicBlock@@PAU2@@Z
0003676A 000367B9 ?fgEnsureFirstBBisScratch@Compiler@@QAEXXZ
000367DB 0003681F ?fgInitThisClass@Compiler@@QAEPAUGenTree@@XZ
0003684A 00036896 ?fgInsertStmtNearEnd@Compiler@@IAEPAUGenTree@@PAUBasicBlock@@PAU2@@Z
00036903 00036919 ?genMarkTreeInRegFlatFP@Compiler@@QAEXPAUGenTree@@I@Z
0003694B 00036965 ?Push@FlatFPStateX87@@QAEXI@Z
0003696F 00036988 ?genCodeForTreeFlatFP_Special@Compiler@@QAEXPAUGenTree@@@Z
00036F61 00036F8C ?AreEqual@FlatFPStateX87@@SG_NPAU1@0@Z
000374E8 000375B2 ?emitIns_I_ARR@emitter@@QAEXEW4emitAttr@@HW4emitRegs@@1H@Z
00037662 000376E4 ?fgReplaceSwitchJumpTarget@Compiler@@QAEXPAUBasicBlock@@00@Z
00037909 00037931 ?tmpListNxt@Compiler@@QAEPAUTempDsc@1@PAU21@@Z
00037980 000379A3 ?tmpFindNum@Compiler@@QAEPAUTempDsc@1@H@Z
000379BC 000379D5 ?emitTmpSizeChanged@emitter@@IAEXI@Z
000379D5 00037A74 ?tmpGetTemp@Compiler@@QAEPAUTempDsc@1@E@Z
00037AC7 00037AF2 ?inst_ST_RV@Compiler@@QAEXEPAUTempDsc@1@IIE@Z
00037B45 00037B88 ?rsGetSpillInfo@Compiler@@QAEPAUSpillDsc@1@PAUGenTree@@IPAPAU21@1@Z
00037B88 00037BC0 ?rsGetSpillTempWord@Compiler@@QAEPAUTempDsc@1@IPAUSpillDsc@1@0@Z
00037BC0 00037BF2 ?inst_RV_ST@Compiler@@QAEXEIPAUTempDsc@1@IEW4emitAttr@@@Z
00037BF2 00037C06 ?rsAddrSpillOper@@YGXPAUGenTree@@@Z
00037C06 00037D01 ?rsSpillReg@Compiler@@QAEXI@Z
00037D01 00037D15 ?rsAddrUnspillOper@@YGXPAUGenTree@@@Z
00037D15 00037D76 ?rsUnspillReg@Compiler@@QAEXPAUGenTree@@IW4KeepReg@1@@Z
00037D76 00037E18 ?rsUnspillOneReg@Compiler@@QAEIPAUGenTree@@IW4KeepReg@1@I@Z
00037EB7 00037EF2 ?rsSpillRegs@Compiler@@QAEXI@Z
00037F5C 00037F9F ?genRestAddressable@Compiler@@IAEIPAUGenTree@@II@Z
00037FBA 00038066 ?fgOrderBlockOps@Compiler@@SGXPAUGenTree@@IIIPAPAU2@PAI@Z
0003826A 000382AE ?gtNewIconEmbClsHndNode@Compiler@@QAEPAUGenTree@@PAUCORINFO_CLASS_STRUCT_@@IPAX@Z
00038364 0003840B ?genMakeAddrOrFPstk@Compiler@@IAEPAUGenTree@@PAU2@PAI_N@Z
00038BD9 00038C10 ?genCodeForTreeFlatFP@Compiler@@QAEXPAUGenTree@@@Z
00038C10 00038C31 ?genCodeForTreeFlt@Compiler@@IAEXPAUGenTree@@_N@Z
00038C31 00038C49 ?RegFreeFlatFP@Compiler@@QAEIXZ
00038C49 00038C7B ?PickRegFlatFP@Compiler@@QAEI_N@Z
00038C7B 00038CAC ?genCodeForTreeFlatFP_SmpOp@Compiler@@QAEXPAUGenTree@@@Z
00038CAC 00038CF0 ?SetUsedRegFlatFP@Compiler@@QAEXPAUGenTree@@_N@Z
00038CF0 00038D0E ?FlatFPX87_MoveToTOS@Compiler@@QAEXPAUFlatFPStateX87@@I_N@Z
00038D30 00038D4E ?genCodeForTreeFlatFP_DONE@Compiler@@QAEXPAUGenTree@@I@Z
00038DF9 00038F1C ?fgOptimizeDelegateConstructor@Compiler@@IAEXPAUGenTree@@PAPAUCORINFO_METHOD_STRUCT_@@@Z
00038F1C 00038F46 ?eeFindMethod@Compiler@@QAEPAUCORINFO_METHOD_STRUCT_@@IPAUCORINFO_MODULE_STRUCT_@@PAU2@@Z
00038FD4 00039046 ?impMethodTokenToMethodPointer@Compiler@@IAEPAUGenTree@@PAUCORINFO_MODULE_STRUCT_@@IPAUCORINFO_METHOD_STRUCT_@@1@Z
00039255 000392A3 ?optUnmarkCSEs@Compiler@@KG?AW4fgWalkResult@1@PAPAUGenTree@@PAX@Z
000393F6 0003942F ?eeGetEEInfo@Compiler@@QAEPAUCORINFO_EE_INFO@@XZ
00039513 00039599 ?emitStackPushLargeStk@emitter@@QAEXPAEW4GCtype@@I@Z
0003963A 00039678 ?pasPush@PendingArgsStack@@QAEXW4GCtype@@@Z
0003990D 00039921 ?IsInFilterRegion@EHblkDsc@Compiler@@QAE_NPAUBasicBlock@@PAV2@@Z
00039AAE 00039B18 ?impAssignStructPtr@Compiler@@IAEPAUGenTree@@PAU2@0PAUCORINFO_CLASS_STRUCT_@@IPAPAU2@PAUBasicBlock@@@Z
00039B18 00039B6B ?impAssignStruct@Compiler@@IAEPAUGenTree@@PAU2@0PAUCORINFO_CLASS_STRUCT_@@IPAPAU2@PAUBasicBlock@@@Z
00039C9E 00039CB5 ?gtNewStructReturn@Compiler@@QAIPAUGenTree@@PAU2@@Z
00039D59 00039E5C ?fgMorphCopyBlock@Compiler@@IAEPAUGenTree@@PAU2@@Z
00039E5C 00039EF0 ?impGetCpobjHandle@Compiler@@IAEPAUGenTree@@PAUCORINFO_CLASS_STRUCT_@@@Z
0003A5C3 0003A5E6 ?inst_AT_IV@Compiler@@QAEXEW4emitAttr@@PAUGenTree@@JI@Z
0003A824 0003A85D ?fgSetHndEnd@Compiler@@IAEXPAUEHblkDsc@1@PAUBasicBlock@@1@Z
0003A85D 0003AA78 ?genEvalCSELength@Compiler@@IAEIPAUGenTree@@00@Z
0003AB28 0003AB8E ?optParseArrayRef@Compiler@@IAEPAPAUGenTree@@PAU2@PAPAU2@1@Z
0003AB8E 0003AC2F ?optRemoveRangeCheck@Compiler@@IAEXPAUGenTree@@0_N@Z
0003AC2F 0003AC5B ?optIsTrackedLocal@Compiler@@IAEPAULclVarDsc@1@PAUGenTree@@@Z
0003ACFB 0003AD30 ?optIsVarAssgLoop@Compiler@@IAE_NIJ@Z
0003AE14 0003AE8A ?fgSkipRmvdBlocks@Compiler@@IAEXPAUEHblkDsc@1@@Z
0003B0E7 0003B1CA ?emitIns_S@emitter@@QAEXEW4emitAttr@@HH@Z
0003B75F 0003B77F ?tmpRlsTemp@Compiler@@QAEXPAUTempDsc@1@@Z
0003B8EE 0003BB0D ?genCodeForTreeLng@Compiler@@IAEXPAUGenTree@@I@Z
0003BB0D 0003BB34 ?genRegPairMask@@YGII@Z
0003BB5D 0003BB8B ?rsFindRegPairNo@Compiler@@QAEII@Z
0003BB8B 0003BC1C ?rsMarkRegPairUsed@Compiler@@QAEXPAUGenTree@@@Z
0003BC80 0003BD43 ?genComputeRegPair@Compiler@@IAEXPAUGenTree@@IIW4KeepReg@1@_N@Z
0003BD43 0003BD6F ?genReleaseRegPair@Compiler@@IAEXPAUGenTree@@@Z
0003BD6F 0003BDA3 ?genRecoverRegPair@Compiler@@IAEXPAUGenTree@@IW4KeepReg@1@@Z
0003C056 0003C073 __allshr
0003C073 0003C091 ?gtNewLconNode@Compiler@@QAIPAUGenTree@@_J@Z
0003C0E1 0003C112 ?rsTrackIsLclVarLng@Compiler@@QAE_NW4regValKind@1@@Z
0003C112 0003C158 ?rsTrackRegLclVarLng@Compiler@@QAEXII_N@Z
0003C16A 0003C1AD ?rsTrashLclLong@Compiler@@QAEXI@Z
0003C1AD 0003C1F2 ?rsPickRegPair@Compiler@@QAEII@Z
0003C341 0003C46A ?rsLclIsInRegPair@Compiler@@QAEII@Z
0003C4E5 0003C4FE ?gtNewIndCallNode@Compiler@@QAEPAUGenTree@@PAU2@E0@Z
0003C7C3 0003C82D ?impImportIndirectCall@Compiler@@IAEPAUGenTree@@PAUCORINFO_SIG_INFO@@@Z
0003C878 0003C8A3 ?eeGetSig@Compiler@@QAEXIPAUCORINFO_MODULE_STRUCT_@@PAUCORINFO_METHOD_STRUCT_@@PAUCORINFO_SIG_INFO@@@Z
0003C8EE 0003C96D ?instEmit_indCall@Compiler@@QAEXPAUGenTree@@II@Z
0003C9B8 0003CA00 ?genMakeAddressableFlatFP@Compiler@@QAEPAUGenTree@@PAU2@PAI1_N@Z
0003CA00 0003CA20 ?genDoneAddressableFlatFP@Compiler@@QAEXPAUGenTree@@IIW4KeepReg@1@@Z
0003CA2B 0003CA8F ?genKeepAddressableFlatFP@Compiler@@QAEXPAUGenTree@@PAI1@Z
0003CA8F 0003CB48 ?genSetupForOpFlatFP@Compiler@@QAEXPAUGenTree@@0_N111@Z
0003CB48 0003CBDC ?genCodeForTreeFlatFP_Asg@Compiler@@QAEXPAUGenTree@@@Z
0003CBDC 0003CC48 ?genMovFlatFP@Compiler@@QAEXPAUGenTree@@I0I@Z
0003CC48 0003CC90 ?genLoadFlatFP@Compiler@@QAEXPAUGenTree@@I@Z
0003CC90 0003CCD9 ?genCodeForTreeFlatFP_Leaf@Compiler@@QAEXPAUGenTree@@@Z
0003CD32 0003CE40 ?raEnregisterVarsPrePassFlatFP@Compiler@@QAEXXZ
0003CE48 0003CEBE ?raEnregisterVarsPostPassFlatFP@Compiler@@QAEXXZ
0003CEBE 0003CF11 ?raSetRegLclBirthDeath@Compiler@@QAEXPAUGenTree@@_K_N@Z
