00014F25 00014F90 _smm_16@8
000798F6 00079990 _jinit_c_prep_controller@8
0007A091 0007A1AD _jinit_downsampler@4
0007A680 0007A7CF _jinit_color_converter@4
0007AD0E 0007ADD2 _jinit_d_main_controller@8
0007B2D6 0007B377 _jinit_d_coef_controller@8
0007BDA7 0007BE43 _jinit_huff_decoder@4
0007C396 0007C45C _jinit_inverse_dct@4
0007C664 0007C6CE _jinit_d_post_controller@8
0007CB5E 0007CD07 _jinit_upsampler@4
0007D0F2 0007D220 _jinit_color_deconverter@4
0007D94B 0007D9BB _jinit_merged_upsampler@4
0007E228 0007E30E _jinit_1pass_quantizer@4
0007F1D8 0007F2CC _jinit_2pass_quantizer@4
0007F2D1 0007F5CD _jpeg_fdct_islow@4
0007F5D2 0007F7B4 _jpeg_fdct_ifast@4
0007F7B9 0007F9C6 _jpeg_fdct_float@4
0007F9CB 0007FCB6 _jpeg_idct_4x4@20
0007FCBB 0007FE5E _jpeg_idct_2x2@20
0007FE63 0007FEA2 _jpeg_idct_1x1@20
0007FEA7 00080365 _jpeg_idct_islow@20
0008036A 00080724 _jpeg_idct_ifast@20
00080729 00080B00 _jpeg_idct_float@20
00080B05 00080B4A ??0CVideoProperties@@QAE@PAUIUnknown@@PAJ@Z
00080B4F 00080B63 ?IsPageDirty@CBasePropertyPage@@UAGJXZ
00080B68 00080B9A ?CreateInstance@CVideoProperties@@SGPAVCUnknown@@PAUIUnknown@@PAJ@Z
00080B9F 00080CA2 ?SetDrawSwitches@CVideoProperties@@AAEXXZ
00080CA7 00080DBB ?GetDrawSwitches@CVideoProperties@@AAEXXZ
00080DC0 00080DFC ?OnConnect@CVideoProperties@@UAEJPAUIUnknown@@@Z
00080E01 00080E22 ?OnDisconnect@CModexProperties@@UAEJXZ
00080E27 00080E36 ?OnDeactivate@CVideoProperties@@UAEJXZ
00080E3B 00080EA5 ?OnApplyChanges@CVideoProperties@@UAEJXZ
00080EAA 00080F86 ?DisplayBitDepths@CVideoProperties@@AAEXK@Z
00080F8B 000810F2 ?DisplayFourCCCodes@CVideoProperties@@AAEXXZ
000810F7 000812F7 ?DisplaySurfaceCapabilities@CVideoProperties@@AAEXU_DDSCAPS@@@Z
000812FC 00081330 ??0CQualityProperties@@QAE@PAUIUnknown@@PAJ@Z
00081335 00081364 ?CreateInstance@CQualityProperties@@SGPAVCUnknown@@PAUIUnknown@@PAJ@Z
00081369 000813DE ?OnConnect@CQualityProperties@@UAEJPAUIUnknown@@@Z
000813E3 000814EB ?SetEditFieldData@CQualityProperties@@AAEXXZ
000814F0 00081530 ??0CPerformanceProperties@@QAE@PAUIUnknown@@PAJ@Z
00081535 00081564 ?CreateInstance@CPerformanceProperties@@SGPAVCUnknown@@PAUIUnknown@@PAJ@Z
00081569 000815BA ?OnConnect@CPerformanceProperties@@UAEJPAUIUnknown@@@Z
000815BF 00081632 ?OnActivate@CPerformanceProperties@@UAEJXZ
00081637 000816B4 ?OnApplyChanges@CPerformanceProperties@@UAEJXZ
000816B9 0008177A ?OnReceiveMessage@CPerformanceProperties@@UAEHPAUHWND__@@IIJ@Z
0008177F 00082691 ?DisplayCapabilities@CVideoProperties@@AAEXPAU_DDCAPS_DX7@@@Z
00082696 0008269E ?OnActivate@CQualityProperties@@UAEJXZ
000826A3 000826C4 ??_GCPerformanceProperties@@UAEPAXI@Z
000826C9 000827F0 ?UpdateListBox@CVideoProperties@@AAEXK@Z
000827F5 0008287D ?OnReceiveMessage@CVideoProperties@@UAEHPAUHWND__@@IIJ@Z
00082882 00082916 ?OnActivate@CVideoProperties@@UAEJXZ
0008291B 00082964 ??0CModexProperties@@QAE@PAUIUnknown@@PAJ@Z
00082969 0008299B ?CreateInstance@CModexProperties@@SGPAVCUnknown@@PAUIUnknown@@PAJ@Z
000829A0 00082A0B ?LoadProperties@CModexProperties@@QAEJXZ
00082A10 00082A69 ?UpdateVariables@CModexProperties@@QAEJXZ
00082A6E 00082B9F ?DisplayProperties@CModexProperties@@QAEJXZ
00082BA4 00082C36 ?SaveProperties@CModexProperties@@QAEJXZ
00082C3B 00082CAC ?OnReceiveMessage@CModexProperties@@UAEHPAUHWND__@@IIJ@Z
00082CB1 00082CE3 ?OnConnect@CModexProperties@@UAEJPAUIUnknown@@@Z
00082CE8 00082D03 ?OnActivate@CModexProperties@@UAEJXZ
00082D08 00082D10 ?OnApplyChanges@CModexProperties@@UAEJXZ
00082D15 00082D1D ??_ECVideoProperties@@W3AEPAXI@Z
00082D22 00082D50 ?GetListMediaType@CColour@@AAEPAU_AMMediaType@@H@Z
00082D55 00082D79 ??0CRGB8ToRGB16Convertor@@QAE@PAUtagVIDEOINFO@@0@Z
00082D7E 00082DAC ?Commit@CRGB8ToRGB16Convertor@@UAEJXZ
00082DB1 00082DD1 ?Decommit@CRGB8ToRGB16Convertor@@UAEJXZ
00082DD6 00082E7B ?TransformAligned@CRGB8ToRGB16Convertor@@QAEJPAE0@Z
00082E80 00082EA0 ??0CRGB8ToRGB565Convertor@@QAE@PAUtagVIDEOINFO@@0@Z
00082EA5 00082EC1 ?CreateInstance@CRGB8ToRGB565Convertor@@SGPAVCConvertor@@PAUtagVIDEOINFO@@0@Z
00082EC6 00082F6E ?Commit@CRGB8ToRGB565Convertor@@UAEJXZ
00082F73 00082F93 ??0CRGB8ToRGB555Convertor@@QAE@PAUtagVIDEOINFO@@0@Z
00082F98 00082FB4 ?CreateInstance@CRGB8ToRGB555Convertor@@SGPAVCConvertor@@PAUtagVIDEOINFO@@0@Z
00082FB9 00083061 ?Commit@CRGB8ToRGB555Convertor@@UAEJXZ
00083066 00083086 ??0CRGB8ToRGB24Convertor@@QAE@PAUtagVIDEOINFO@@0@Z
0008308B 000830A7 ?CreateInstance@CRGB8ToRGB24Convertor@@SGPAVCConvertor@@PAUtagVIDEOINFO@@0@Z
000830AC 000831C1 ?TransformAligned@CRGB8ToRGB24Convertor@@QAEJPAE0@Z
000831C6 0008323D ?Transform@CRGB8ToRGB16Convertor@@UAEJPAE0@Z
00083242 00083269 ??_ECRGB8ToRGB16Convertor@@UAEPAXI@Z
0008326E 00083304 ?Transform@CRGB8ToRGB24Convertor@@UAEJPAE0@Z
00083309 00083329 ??0CRGB565ToRGB24Convertor@@QAE@PAUtagVIDEOINFO@@0@Z
0008332E 0008334A ?CreateInstance@CRGB565ToRGB24Convertor@@SGPAVCConvertor@@PAUtagVIDEOINFO@@0@Z
0008334F 0008336F ??0CRGB555ToRGB24Convertor@@QAE@PAUtagVIDEOINFO@@0@Z
00083374 00083390 ?CreateInstance@CRGB555ToRGB24Convertor@@SGPAVCConvertor@@PAUtagVIDEOINFO@@0@Z
00083395 0008340C ?Transform@CRGB555ToRGB24Convertor@@UAEJPAE0@Z
00083411 00083488 ?Transform@CRGB565ToRGB24Convertor@@UAEJPAE0@Z
0008348D 000834AD ??0CRGB565ToRGB8Convertor@@QAE@PAUtagVIDEOINFO@@0@Z
000834B2 000834CE ?CreateInstance@CRGB565ToRGB8Convertor@@SGPAVCConvertor@@PAUtagVIDEOINFO@@0@Z
000834D3 00083663 ?TransformAligned@CRGB565ToRGB8Convertor@@QAEJPAE0@Z
00083668 00083688 ??0CRGB565ToRGB555Convertor@@QAE@PAUtagVIDEOINFO@@0@Z
0008368D 000836A9 ?CreateInstance@CRGB565ToRGB555Convertor@@SGPAVCConvertor@@PAUtagVIDEOINFO@@0@Z
000836AE 0008371D ?Transform@CRGB565ToRGB555Convertor@@UAEJPAE0@Z
00083722 00083742 ??0CRGB555ToRGB565Convertor@@QAE@PAUtagVIDEOINFO@@0@Z
00083747 00083763 ?CreateInstance@CRGB555ToRGB565Convertor@@SGPAVCConvertor@@PAUtagVIDEOINFO@@0@Z
00083768 000837D7 ?Transform@CRGB555ToRGB565Convertor@@UAEJPAE0@Z
000837DC 000837FC ??0CRGB565ToRGB32Convertor@@QAE@PAUtagVIDEOINFO@@0@Z
00083801 0008381D ?CreateInstance@CRGB565ToRGB32Convertor@@SGPAVCConvertor@@PAUtagVIDEOINFO@@0@Z
00083822 00083917 ?Transform@CRGB565ToRGB32Convertor@@UAEJPAE0@Z
0008391C 0008393C ??0CRGB555ToRGB32Convertor@@QAE@PAUtagVIDEOINFO@@0@Z
00083941 0008395D ?CreateInstance@CRGB555ToRGB32Convertor@@SGPAVCConvertor@@PAUtagVIDEOINFO@@0@Z
00083962 00083A57 ?Transform@CRGB555ToRGB32Convertor@@UAEJPAE0@Z
00083A5C 00083A7C ??0CRGB555ToRGB8Convertor@@QAE@PAUtagVIDEOINFO@@0@Z
00083A81 00083A9D ?CreateInstance@CRGB555ToRGB8Convertor@@SGPAVCConvertor@@PAUtagVIDEOINFO@@0@Z
00083AA2 00083C22 ?TransformAligned@CRGB555ToRGB8Convertor@@QAEJPAE0@Z
00083C27 00083D03 ?Transform@CRGB565ToRGB8Convertor@@UAEJPAE0@Z
00083D08 00083DE4 ?Transform@CRGB555ToRGB8Convertor@@UAEJPAE0@Z
00083DE9 00083E14 ??0CRGB24ToRGB16Convertor@@QAE@PAUtagVIDEOINFO@@0@Z
00083E19 00083E6A ?Commit@CRGB24ToRGB16Convertor@@UAEJXZ
00083E6F 00083EB3 ?Decommit@CRGB24ToRGB16Convertor@@UAEJXZ
00083EB8 00083F49 ?Transform@CRGB24ToRGB16Convertor@@UAEJPAE0@Z
00083F4E 00083F6E ??0CRGB24ToRGB565Convertor@@QAE@PAUtagVIDEOINFO@@0@Z
00083F73 00083F8F ?CreateInstance@CRGB24ToRGB565Convertor@@SGPAVCConvertor@@PAUtagVIDEOINFO@@0@Z
00083F94 00084006 ?Commit@CRGB24ToRGB565Convertor@@UAEJXZ
0008400B 0008402B ??0CRGB24ToRGB555Convertor@@QAE@PAUtagVIDEOINFO@@0@Z
00084030 0008404C ?CreateInstance@CRGB24ToRGB555Convertor@@SGPAVCConvertor@@PAUtagVIDEOINFO@@0@Z
00084051 000840B2 ?Commit@CRGB24ToRGB555Convertor@@UAEJXZ
000840B7 000840D7 ??0CRGB24ToRGB32Convertor@@QAE@PAUtagVIDEOINFO@@0@Z
000840DC 000841A6 ?Transform@CRGB24ToRGB32Convertor@@UAEJPAE0@Z
000841AB 000841CB ??0CRGB24ToRGB8Convertor@@QAE@PAUtagVIDEOINFO@@0@Z
000841D0 000841EC ?CreateInstance@CRGB24ToRGB8Convertor@@SGPAVCConvertor@@PAUtagVIDEOINFO@@0@Z
000841F1 00084361 ?TransformAligned@CRGB24ToRGB8Convertor@@QAEJPAE0@Z
00084366 0008438D ??_ECRGB24ToRGB16Convertor@@UAEPAXI@Z
00084392 000843B1 ?CreateInstance@CRGB24ToRGB32Convertor@@SGPAVCConvertor@@PAUtagVIDEOINFO@@0@Z
000843B6 0008446D ?Transform@CRGB24ToRGB8Convertor@@UAEJPAE0@Z
00084472 00084492 ??0CRGB32ToRGB8Convertor@@QAE@PAUtagVIDEOINFO@@0@Z
00084497 000844B3 ?CreateInstance@CRGB32ToRGB8Convertor@@SGPAVCConvertor@@PAUtagVIDEOINFO@@0@Z
000844B8 00084630 ?TransformAligned@CRGB32ToRGB8Convertor@@QAEJPAE0@Z
00084635 00084655 ??0CRGB32ToRGB24Convertor@@QAE@PAUtagVIDEOINFO@@0@Z
0008465A 000846C6 ?Transform@CRGB32ToRGB24Convertor@@UAEJPAE0@Z
000846CB 000846EB ??0CRGB32ToRGB565Convertor@@QAE@PAUtagVIDEOINFO@@0@Z
000846F0 0008476E ?Transform@CRGB32ToRGB565Convertor@@UAEJPAE0@Z
00084773 00084793 ??0CRGB32ToRGB555Convertor@@QAE@PAUtagVIDEOINFO@@0@Z
00084798 00084816 ?Transform@CRGB32ToRGB555Convertor@@UAEJPAE0@Z
0008481B 000848DD ?Transform@CRGB32ToRGB8Convertor@@UAEJPAE0@Z
000848E2 00084901 ?CreateInstance@CRGB32ToRGB24Convertor@@SGPAVCConvertor@@PAUtagVIDEOINFO@@0@Z
00084906 00084925 ?CreateInstance@CRGB32ToRGB565Convertor@@SGPAVCConvertor@@PAUtagVIDEOINFO@@0@Z
0008492A 00084949 ?CreateInstance@CRGB32ToRGB555Convertor@@SGPAVCConvertor@@PAUtagVIDEOINFO@@0@Z
0008494E 000849F7 ?InitDitherMap@@YGXXZ
00084A3D 00084A5D ??0CDirectDrawConvertor@@QAE@PAUtagVIDEOINFO@@0@Z
00084A62 00084A7E ?CreateInstance@CDirectDrawConvertor@@SGPAVCConvertor@@PAUtagVIDEOINFO@@0@Z
00084A83 00084AF1 ?Transform@CDirectDrawConvertor@@UAEJPAE0@Z
00084AF6 00084B16 ??0CMemoryCopyAlphaConvertor@@QAE@PAUtagVIDEOINFO@@0@Z
00084B1B 00084B37 ?CreateInstance@CMemoryCopyAlphaConvertor@@SGPAVCConvertor@@PAUtagVIDEOINFO@@0@Z
00084B3C 00084C04 ?Transform@CMemoryCopyAlphaConvertor@@UAEJPAE0@Z
00084C09 00084C2B ??_GCConvertor@@UAEPAXI@Z
00084C30 00084C6A ??0CDither@@QAE@PAGPAUIUnknown@@@Z
00084C6F 00084CA3 ?CheckInputType@CDither@@UAEJPBVCMediaType@@@Z
00084CA8 00084DA6 ?CheckTransform@CDither@@UAEJPBVCMediaType@@0@Z
00084DAB 00084F08 ?GetMediaType@CDither@@UAEJHPAVCMediaType@@@Z
00084F4D 00084FDA ?DecideBufferSize@CDither@@UAEJPAUIMemAllocator@@PAU_AllocatorProperties@@@Z
00084FDF 00085023 ?SetOutputPinMediaType@CDither@@AAEXPBVCMediaType@@@Z
00085028 000852AB ?DitherDeviceInit@CDither@@AAEHPAUtagBITMAPINFOHEADER@@@Z
000852B0 00085447 ?Dither8@CDither@@AAEXPAE0@Z
0008544C 00085474 ?CreateInstance@CDither@@SGPAVCUnknown@@PAUIUnknown@@PAJ@Z
00085479 0008549A ??_ECDither@@UAEPAXI@Z
0008549F 000854DF ?SetInputPinMediaType@CDither@@AAEJPBVCMediaType@@@Z
000854E4 000855D7 ?Transform@CDither@@UAEJPAUIMediaSample@@0@Z
000855DC 00085601 ?SetMediaType@CDither@@UAEJW4_PinDirection@@PBVCMediaType@@@Z
00085606 00085634 ?IsDirectDrawAvailable@CVideoAllocator@@QAEHXZ
00085639 0008566D ?NoDirectDraw@CVideoAllocator@@QAEXH@Z
00085672 000856B9 ?DrawVideoImageBegin@CRenderer@@UAGJXZ
000856BE 00085705 ?DrawVideoImageEnd@CRenderer@@UAGJXZ
0008570A 000857E4 ?DrawVideoImageDraw@CRenderer@@UAGJPAUHDC__@@PAUtagRECT@@1@Z
000857E9 00085823 ?GetCurrentMonitor@CRenderer@@QAEHXZ
00085828 000858CD ?IsWindowOnWrongMonitor@CRenderer@@QAEHPAH@Z
000858D2 000859B0 ?NonDelegatingQueryInterface@CRenderer@@UAGJABU_GUID@@PAPAX@Z
000859B5 00085A21 ?GetPages@CRenderer@@UAGJPAUtagCAUUID@@@Z
00085A26 00085AA1 ?SetDirectMediaType@CRenderer@@QAEJPBVCMediaType@@@Z
00085AA6 00085ADC ?SetOverlayMediaType@CRenderer@@QAEJPBVCMediaType@@@Z
00085AE1 00085B22 ?ResetForDfc@CRenderer@@QAEJXZ
00085B27 00085BD7 ?BreakConnect@CRenderer@@UAEJXZ
00085BDC 00085C10 ?EndFlush@CRenderer@@UAEJXZ
00085C15 00085C66 ?EndOfStream@CRenderer@@UAEJXZ
00085C6B 00085C9C ?NotifyEndOfStream@CRenderer@@QAEJPAX@Z
00085CA1 00085D6A ?CompleteConnect@CRenderer@@UAEJPAUIPin@@@Z
00085D6F 00085DBE ?CheckMediaTypeWorker@CRenderer@@QAEJPBVCMediaType@@@Z
00085DC3 00085DF9 ?LockedDDrawSampleOutstanding@CRenderer@@QAEHXZ
00085DFE 00085E4B ?CheckMediaType@CRenderer@@UAEJPBVCMediaType@@@Z
00085E50 00085EAE ?FrameStep@CRenderer@@QAEXXZ
00085EB3 00085EF2 ?CancelStep@CRenderer@@QAEXXZ
00085EF7 00085F29 ?IsFrameStepEnabled@CRenderer@@QAE_NXZ
00085F2E 00085FED ?Receive@CRenderer@@UAEJPAUIMediaSample@@@Z
00085FF2 00086044 ?AutoShowWindow@CRenderer@@QAEXXZ
00086049 000860F0 ?CompleteStateChange@CRenderer@@UAEJW4_FilterState@@@Z
000860F5 0008612B ?Inactive@CRenderer@@UAEJXZ
00086130 0008616E ?Stop@CRenderer@@UAGJXZ
00086173 00086201 ?Pause@CRenderer@@UAGJXZ
00086206 00086278 ?Run@CRenderer@@UAGJ_J@Z
0008627D 00086283 ?GetPin@CRenderer@@UAEPAVCBasePin@@H@Z
00086288 000862DA ?DoRenderSample@CRenderer@@UAEJPAUIMediaSample@@@Z
000862DF 00086344 ?OnTimer@CRenderer@@QAEHI@Z
00086349 00086482 ?OnPaint@CRenderer@@QAEHH@Z
00086487 000865DF ?ReceiveConnection@CVideoInputPin@@UAGJPAUIPin@@PBU_AMMediaType@@@Z
000865E4 0008665E ?GetAllocator@CVideoInputPin@@UAGJPAPAUIMemAllocator@@@Z
00086663 000866F7 ?NotifyAllocator@CVideoInputPin@@UAGJPAUIMemAllocator@@H@Z
000866FC 00086769 ?NonDelegatingQueryInterface@CVideoInputPin@@UAGJABU_GUID@@PAPAX@Z
0008676E 000867E1 ?DynamicQueryAccept@CVideoInputPin@@UAGJPBU_AMMediaType@@@Z
000867E6 000867FD ?NotifyEndOfStream@CVideoInputPin@@UAGJPAX@Z
00086802 00086837 ?DynamicDisconnect@CVideoInputPin@@UAGJXZ
0008683C 0008685F ??0CDrawVideo@@QAE@PAVCRenderer@@PAVCBaseWindow@@@Z
00086864 0008693E ?ScaleSourceRect@CDrawVideo@@UAE?AUtagRECT@@PBU2@@Z
00086943 00086951 ?PrepareRender@CRenderer@@UAEXXZ
00086956 00086AB3 ?Set@CRenderer@@UAGJABU_GUID@@KPAXK1K@Z
00086AB8 00086B37 ?QuerySupported@CRenderer@@UAGJABU_GUID@@KPAK@Z
00086B3C 00086C30 ??1CRenderer@@UAE@XZ
00086C35 00086C3D ??_ECRenderer@@W7AEPAXI@Z
00086C42 00086C4F ?QueryInterface@CModexRenderer@@WOI@AGJABU_GUID@@PAPAX@Z
00086C54 00086C61 ?AddRef@CRenderer@@WOI@AGKXZ
00086C66 00086C73 ?Release@CModexRenderer@@WOI@AGKXZ
00086C78 00086C85 ?QueryInterface@CRenderer@@WOM@AGJABU_GUID@@PAPAX@Z
00086C8A 00086C97 ?AddRef@CRenderer@@WOM@AGKXZ
00086C9C 00086CA9 ?Release@CRenderer@@WOM@AGKXZ
00086CAE 00086CBB ?QueryInterface@CRenderer@@WBGI@AGJABU_GUID@@PAPAX@Z
00086CC0 00086CCD ?AddRef@CRenderer@@WBGI@AGKXZ
00086CD2 00086CDF ?Release@CRenderer@@WBGI@AGKXZ
00086CE4 00086CF1 ?QueryInterface@CRenderer@@WBGM@AGJABU_GUID@@PAPAX@Z
00086CF6 00086D03 ?AddRef@CRenderer@@WBGM@AGKXZ
00086D08 00086D15 ?Release@CRenderer@@WBGM@AGKXZ
00086D1A 00086E06 ?SetMediaType@CRenderer@@UAEJPBVCMediaType@@@Z
00086E0B 00086E5A ?BeginFlush@CRenderer@@UAEJXZ
00086E5F 00086EC7 ??0CVideoInputPin@@QAE@PAVCRenderer@@PAVCCritSec@@PAJPBG@Z
00086ECC 000870A5 ??0CRenderer@@QAE@PAGPAUIUnknown@@PAJ@Z
000870AA 000870CB ??_ECRenderer@@UAEPAXI@Z
000870D0 00087104 ?CreateInstance@CRenderer@@SGPAVCUnknown@@PAUIUnknown@@PAJ@Z
00087109 00087111 ?CRenderer_CreateInstance@@YGPAVCUnknown@@PAUIUnknown@@PAJ@Z
00087116 00087144 ?OnWindowCompletion@@YGXPAUHWND__@@@Z
00087149 0008715D ?OnExitSizeMove@@YGXPAUtagCWPSTRUCT@@@Z
00087162 000871B1 ?RemoveGlobalHook@@YGJPAUHWND__@@PAUHHOOK__@@@Z
000871B6 00087234 ?GetNextOverlayCookie@@YGJPADPAJ@Z
00087239 00087258 ?RemoveCurrentCookie@@YGXJ@Z
0008725D 000872C9 ?GetColourFromCookie@@YGKPADJ@Z
000872CE 000872F6 ?GetPaletteIndex@@YGKK@Z
000872FB 0008735E ?OnWindowPosChanging@@YGXPAUtagCWPSTRUCT@@@Z
00087363 000873A2 ?GlobalHookProc@@YGJHIJ@Z
000873A7 00087403 ?InstallGlobalHook@@YGPAUHHOOK__@@PAUHWND__@@@Z
00087408 00087425 ??1CAggDirectDraw@@UAE@XZ
0008742A 00087447 ??1CAggDrawSurface@@UAE@XZ
0008744C 0008745E ??1CVideoAllocator@@UAE@XZ
00087463 00087492 ?Free@CVideoAllocator@@EAEXXZ
00087497 000874E6 ?IsSurfaceFormat@CVideoAllocator@@QAEHPBVCMediaType@@@Z
000874EB 00087526 ?IsSamplePending@CVideoAllocator@@QAEHXZ
0008752B 0008757C ?StartStreaming@CVideoAllocator@@QAEJXZ
00087581 0008759C ?QueryAcceptOnPeer@CVideoAllocator@@AAEJPAVCMediaType@@@Z
000875A1 00087645 ?OnReceive@CVideoAllocator@@QAEJPAUIMediaSample@@@Z
0008764A 000876B6 ?Decommit@CVideoAllocator@@UAGJXZ
000876BB 00087764 ?ReleaseBuffer@CVideoAllocator@@UAGJPAUIMediaSample@@@Z
00087769 00087939 ?FindSpeedyType@CVideoAllocator@@AAEHPAUIPin@@@Z
0008793E 0008796C ?GetDirectDrawStatus@CVideoAllocator@@QAEHXZ
00087971 0008799E ?ResetDirectDrawStatus@CVideoAllocator@@QAEXXZ
000879A3 00087A0B ?QueryInterface@CVideoSample@@UAGJABU_GUID@@PAPAX@Z
00087A10 00087A55 ?SetDirectInfo@CVideoSample@@QAEXPAUIDirectDrawSurface@@PAUIDirectDraw@@JPAE@Z
00087A5A 00087A61 ?GetDirectBuffer@CVideoSample@@QAEPAEXZ
00087A66 00087A97 ?GetPointer@CVideoSample@@UAGJPAPAE@Z
00087A9C 00087AAE ?SetDrawStatus@CVideoSample@@QAEXH@Z
00087AB3 00087ABA ?GetDrawStatus@CVideoSample@@QAEHXZ
00087ABF 00087AF2 ?SetActualDataLength@CVideoSample@@UAGJJ@Z
00087AF7 00087B1A ?GetSize@CVideoSample@@UAGJXZ
00087B1F 00087B24 ??_ECAggDrawSurface@@W3AEPAXI@Z
00087B29 00087B4A ??_GCAggDrawSurface@@UAEPAXI@Z
00087B4F 00087B54 ??_ECAggDirectDraw@@W3AEPAXI@Z
00087B59 00087B7A ??_GCAggDirectDraw@@UAEPAXI@Z
00087B7F 00087BB0 ??0CAggDrawSurface@@QAE@PAGPAUIUnknown@@@Z
00087BB5 00087C2B ??0CVideoAllocator@@QAE@PAVCRenderer@@PAVCDirectDraw@@PAVCCritSec@@PAJ@Z
00087C30 00087C51 ??_ECVideoAllocator@@UAEPAXI@Z
00087C56 00087C8F ?InitDirectAccess@CVideoAllocator@@AAEJPAVCMediaType@@@Z
00087C94 00087D25 ?UpdateImage@CVideoAllocator@@AAEHPAPAUIMediaSample@@PAVCMediaType@@@Z
00087D2A 00087E3A ?MatchWindowSize@CVideoAllocator@@AAEHPAPAUIMediaSample@@K@Z
00087E3F 00087E94 ?StopUsingDirectDraw@CVideoAllocator@@AAEHPAPAUIMediaSample@@K@Z
00087E99 00087F29 ?PrepareDirectDraw@CVideoAllocator@@AAEHPAUIMediaSample@@KH@Z
00087F2E 00087F5F ??0CAggDirectDraw@@QAE@PAGPAUIUnknown@@@Z
00087F64 00087FA8 ?Alloc@CVideoAllocator@@EAEJXZ
00087FAD 00088201 ?GetBuffer@CVideoAllocator@@UAGJPAPAUIMediaSample@@PA_J1K@Z
00088206 0008826F ??0CVideoSample@@QAE@PAVCImageAllocator@@PAGPAJPAEJ@Z
00088274 00088295 ??_GCVideoSample@@UAEPAXI@Z
0008829A 000882BD ??1CVideoSample@@UAE@XZ
000882C2 0008836C ?OneMonitorCallback@@YGHPAUHMONITOR__@@PAUHDC__@@PAUtagRECT@@J@Z
00088371 000883D4 ?OneMonitorFromWindow@@YGPAUHMONITOR__@@PAUHWND__@@@Z
000883D9 000884D6 _DeviceFromWindow@12
000884DB 0008850E ?NonDelegatingQueryInterface@CDirectDraw@@UAGJABU_GUID@@PAPAX@Z
00088513 00088546 ?ResetRectangles@CDirectDraw@@AAEXXZ
0008854B 0008863C ?CheckWindowLock@CDirectDraw@@AAEHXZ
00088641 000886AD ?CheckEmptyClip@CDirectDraw@@QAEHH@Z
000886B2 000886D4 ?CheckComplexClip@CDirectDraw@@QAEHXZ
000886D9 0008886B ?AlignRectangles@CDirectDraw@@AAEHPAUtagRECT@@0@Z
00088870 000888BA ?CheckOffScreenStretch@CDirectDraw@@AAEHPAUtagRECT@@0@Z
000888BF 000889B6 ?CheckStretch@CDirectDraw@@AAEHPAUtagRECT@@0@Z
000889BB 000889D6 ?GetDirectDrawSurface@CDirectDraw@@AAEPAUIDirectDrawSurface@@XZ
000889DB 00088A1A ?WaitForScanLine@CDirectDraw@@QAEXXZ
00088A1F 00088A60 ?WaitForFlipStatus@CDirectDraw@@QAEXXZ
00088A65 00088AA1 ?PrepareBackBuffer@CDirectDraw@@QAEHXZ
00088AA6 00088B89 ?GetRealKeyColour@CDirectDraw@@AAEKXZ
00088B8E 00088BB2 ?OnColourKeyFailure@CDirectDraw@@AAEXXZ
00088BB7 00088BDB ?SetSurfaceSize@CDirectDraw@@AAEXPAUtagVIDEOINFO@@@Z
00088BE0 00088D64 ?InitDrawFormat@CDirectDraw@@AAEHPAUIDirectDrawSurface@@@Z
00088D69 00088DC2 ?LoadDirectDraw@CDirectDraw@@AAEHXZ
00088DC7 00088DF1 ?SetSurfacePending@CDirectDraw@@QAEXH@Z
00088DF6 00088E30 ?SetTargetRect@CDirectDraw@@QAEXPAUtagRECT@@@Z
00088E35 00088E6F ?SetSourceRect@CDirectDraw@@QAEXPAUtagRECT@@@Z
00088E74 00088EE8 ?InitOnScreenSurface@CDirectDraw@@AAEHPAVCMediaType@@@Z
00088EED 00088F3F ?CheckCreateOverlay@CDirectDraw@@AAEHXZ
00088F44 00088F63 ?InitialiseColourKey@CDirectDraw@@AAEHPAUIDirectDrawSurface@@@Z
00088F68 00089006 ?InitialiseClipper@CDirectDraw@@AAEHPAUIDirectDrawSurface@@@Z
0008900B 000890AE ?DrawColourKey@CDirectDraw@@AAEXK@Z
000890B3 00089114 ?BlankDestination@CDirectDraw@@AAEXXZ
00089119 00089227 ?FillBlankAreas@CDirectDraw@@AAEHXZ
0008922C 00089270 ?SyncOnFill@CDirectDraw@@QAEHXZ
00089275 00089297 ?AvailableWhenPaused@CDirectDraw@@QAEHXZ
0008929C 00089301 ?StartRefreshTimer@CDirectDraw@@QAEXXZ
00089306 00089358 ?StopRefreshTimer@CDirectDraw@@QAEXXZ
0008935D 000893B1 ?StartUpdateTimer@CDirectDraw@@QAEXXZ
000893B6 000893F9 ?StopUpdateTimer@CDirectDraw@@QAEXXZ
000893FE 00089498 ?GetMaxIdealImageSize@CDirectDraw@@QAEJPAJ0@Z
0008949D 0008952A ?GetMinIdealImageSize@CDirectDraw@@QAEJPAJ0@Z
0008952F 00089581 ?GetSwitches@CDirectDraw@@UAGJPAK@Z
00089586 000895DD ?SetSwitches@CDirectDraw@@UAGJK@Z
000895E2 00089646 ?GetCaps@CDirectDraw@@UAGJPAU_DDCAPS_DX7@@@Z
0008964B 000896B2 ?GetEmulatedCaps@CDirectDraw@@UAGJPAU_DDCAPS_DX7@@@Z
000896B7 00089731 ?GetSurfaceDesc@CDirectDraw@@UAGJPAU_DDSURFACEDESC@@@Z
00089736 000897A2 ?GetFourCCCodes@CDirectDraw@@UAGJPAK0@Z
