00004B65 00004B6A ??4_Lockit@std@@QAEAAV01@ABV01@@Z
0001432D 00014358 ?optional_objref@CObjectPathParser@@AAEHXZ
0001435D 000143C4 ?ns_or_class@CObjectPathParser@@AAEHXZ
000143C9 000143FE ?ns_or_server@CObjectPathParser@@AAEHXZ
00014403 00014490 ?begin_parse@CObjectPathParser@@AAEHXZ
00014495 00014753 ?Parse@CObjectPathParser@@QAEHPBGPAPAUParsedObjectPath@@@Z
00014758 00014797 ??0CGenLexer@@QAE@PAULexEl@@PAVCGenLexSource@@@Z
0001479C 000147AE ??1CGenLexer@@QAE@XZ
000147B3 00014925 ?NextToken@CGenLexer@@QAEHXZ
0001492A 00014941 ??0CAutoEvent@@QAE@XZ
00014946 0001494F ??1CAutoEvent@@QAE@XZ
00014954 00014968 ?Wait@CAutoEvent@@QAEKK@Z
0001496D 00014976 ?Signal@CAutoEvent@@QAEHXZ
0001497B 00014986 ??0CWinMsgEvent@@QAE@ABV0@@Z
0001498B 00014994 ??0CWinMsgEvent@@QAE@XZ
00014999 000149D3 ?WindowsDispatch@CWinMsgEvent@@CGXXZ
000149D8 000149F5 ?_Max@?$_Tree@IU?$pair@$$CBIPAVCWinMsgEvent@@@std@@U_Kfn@?$multimap@IPAVCWinMsgEvent@@U?$less@I@std@@V?$allocator@PAVCWinMsgEvent@@@3@@2@U?$less@I@2@V?$allocator@PAVCWinMsgEvent@@@2@@std@@KGPAU_Node@12@PAU312@@Z
000149FA 00014A16 ?_Min@?$_Tree@IU?$pair@$$CBIPAVCWinMsgEvent@@@std@@U_Kfn@?$multimap@IPAVCWinMsgEvent@@U?$less@I@std@@V?$allocator@PAVCWinMsgEvent@@@3@@2@U?$less@I@2@V?$allocator@PAVCWinMsgEvent@@@2@@std@@KGPAU_Node@12@PAU312@@Z
00014A1B 00014A66 ?_Rrotate@?$_Tree@IU?$pair@$$CBIPAVCWinMsgEvent@@@std@@U_Kfn@?$multimap@IPAVCWinMsgEvent@@U?$less@I@std@@V?$allocator@PAVCWinMsgEvent@@@3@@2@U?$less@I@2@V?$allocator@PAVCWinMsgEvent@@@2@@std@@IAEXPAU_Node@12@@Z
00014A6B 00014AA6 ?_Dec@iterator@?$_Tree@IU?$pair@$$CBIPAVCWinMsgEvent@@@std@@U_Kfn@?$multimap@IPAVCWinMsgEvent@@U?$less@I@std@@V?$allocator@PAVCWinMsgEvent@@@3@@2@U?$less@I@2@V?$allocator@PAVCWinMsgEvent@@@2@@std@@QAEXXZ
00014AAB 00014AC6 ??0CLockWrapper@@QAE@AAVCCritSec@@@Z
00014ACB 00014AD4 ??1CLockWrapper@@QAE@XZ
00014AD9 00014B50 ?DestroyMsgWindow@CWinMsgEvent@@CGXXZ
00014B55 00014B86 ?_Inc@iterator@?$_Tree@IU?$pair@$$CBIPAVCWinMsgEvent@@@std@@U_Kfn@?$multimap@IPAVCWinMsgEvent@@U?$less@I@std@@V?$allocator@PAVCWinMsgEvent@@@3@@2@U?$less@I@2@V?$allocator@PAVCWinMsgEvent@@@2@@std@@QAEXXZ
00014B8B 00014BD4 ?_Lrotate@?$_Tree@IU?$pair@$$CBIPAVCWinMsgEvent@@@std@@U_Kfn@?$multimap@IPAVCWinMsgEvent@@U?$less@I@std@@V?$allocator@PAVCWinMsgEvent@@@3@@2@U?$less@I@2@V?$allocator@PAVCWinMsgEvent@@@2@@std@@IAEXPAU_Node@12@@Z
00014BD9 00014C0B ?_Lbound@?$_Tree@IU?$pair@$$CBIPAVCWinMsgEvent@@@std@@U_Kfn@?$multimap@IPAVCWinMsgEvent@@U?$less@I@std@@V?$allocator@PAVCWinMsgEvent@@@3@@2@U?$less@I@2@V?$allocator@PAVCWinMsgEvent@@@2@@std@@IBEPAU_Node@12@ABI@Z
00014C10 00014C2D ??$_Construct@U?$pair@QBXPAJ@std@@U12@@std@@YGXPAU?$pair@QBXPAJ@0@ABU10@@Z
00014C32 00014EB6 ?erase@?$_Tree@IU?$pair@$$CBIPAVCWinMsgEvent@@@std@@U_Kfn@?$multimap@IPAVCWinMsgEvent@@U?$less@I@std@@V?$allocator@PAVCWinMsgEvent@@@3@@2@U?$less@I@2@V?$allocator@PAVCWinMsgEvent@@@2@@std@@QAE?AViterator@12@V312@@Z
00014EBB 00014EF6 ?_Erase@?$_Tree@IU?$pair@$$CBIPAVCWinMsgEvent@@@std@@U_Kfn@?$multimap@IPAVCWinMsgEvent@@U?$less@I@std@@V?$allocator@PAVCWinMsgEvent@@@3@@2@U?$less@I@2@V?$allocator@PAVCWinMsgEvent@@@2@@std@@IAEXPAU_Node@12@@Z
00014EFB 00014F74 ?erase@?$_Tree@IU?$pair@$$CBIPAVCWinMsgEvent@@@std@@U_Kfn@?$multimap@IPAVCWinMsgEvent@@U?$less@I@std@@V?$allocator@PAVCWinMsgEvent@@@3@@2@U?$less@I@2@V?$allocator@PAVCWinMsgEvent@@@2@@std@@QAE?AViterator@12@V312@0@Z
00014F79 00014FB5 ?find@?$_Tree@IU?$pair@$$CBIPAVCWinMsgEvent@@@std@@U_Kfn@?$multimap@IPAVCWinMsgEvent@@U?$less@I@std@@V?$allocator@PAVCWinMsgEvent@@@3@@2@U?$less@I@2@V?$allocator@PAVCWinMsgEvent@@@2@@std@@QAE?AViterator@12@ABI@Z
00014FBA 00015044 ?_Init@?$_Tree@IU?$pair@$$CBIPAVCWinMsgEvent@@@std@@U_Kfn@?$multimap@IPAVCWinMsgEvent@@U?$less@I@std@@V?$allocator@PAVCWinMsgEvent@@@3@@2@U?$less@I@2@V?$allocator@PAVCWinMsgEvent@@@2@@std@@IAEXXZ
00015049 00015196 ?_Insert@?$_Tree@IU?$pair@$$CBIPAVCWinMsgEvent@@@std@@U_Kfn@?$multimap@IPAVCWinMsgEvent@@U?$less@I@std@@V?$allocator@PAVCWinMsgEvent@@@3@@2@U?$less@I@2@V?$allocator@PAVCWinMsgEvent@@@2@@std@@IAE?AViterator@12@PAU_Node@12@0ABU?$pair@$$CBIPAVCWinMsgEvent@@@2@@Z
0001519B 00015231 ?UnRegisterAllMessages@CWinMsgEvent@@IAEXXZ
00015236 000152AD ??1?$_Tree@IU?$pair@$$CBIPAVCWinMsgEvent@@@std@@U_Kfn@?$multimap@IPAVCWinMsgEvent@@U?$less@I@std@@V?$allocator@PAVCWinMsgEvent@@@3@@2@U?$less@I@2@V?$allocator@PAVCWinMsgEvent@@@2@@std@@QAE@XZ
000152B2 00015345 ?insert@?$_Tree@IU?$pair@$$CBIPAVCWinMsgEvent@@@std@@U_Kfn@?$multimap@IPAVCWinMsgEvent@@U?$less@I@std@@V?$allocator@PAVCWinMsgEvent@@@3@@2@U?$less@I@2@V?$allocator@PAVCWinMsgEvent@@@2@@std@@QAE?AU?$pair@Viterator@?$_Tree@IU?$pair@$$CBIPAVCWinMsgEvent@@@std@@U_Kfn@?$multimap@IPAVCWinMsgEvent@@U?$less@I@std@@V?$allocator@PAVCWinMsgEvent@@@3@@2@U?$less@I@2@V?$allocator@PAVCWinMsgEvent@@@2@@std@@_N@2@ABU?$pair@$$CBIPAVCWinMsgEvent@@@2@@Z
0001534A 0001536D ??1?$multimap@IPAVCWinMsgEvent@@U?$less@I@std@@V?$allocator@PAVCWinMsgEvent@@@3@@std@@QAE@XZ
00015372 00015429 ?UnRegisterMessage@CWinMsgEvent@@IAE_NI@Z
0001542E 00015520 ?MsgWndProc@CWinMsgEvent@@CGJPAUHWND__@@IIJ@Z
00015525 00015554 ??0?$multimap@IPAVCWinMsgEvent@@U?$less@I@std@@V?$allocator@PAVCWinMsgEvent@@@3@@std@@QAE@ABU?$less@I@1@ABV?$allocator@PAVCWinMsgEvent@@@1@@Z
00015559 00015585 ?CtrlHandlerRoutine@CWinMsgEvent@@CGHK@Z
0001558A 00015614 ?CreateMsgWindow@CWinMsgEvent@@CGPAUHWND__@@XZ
00015619 0001565D ??1CWinMsgEvent@@QAE@XZ
00015662 00015690 ?dwThreadProc@CWinMsgEvent@@CGKPAX@Z
00015695 00015716 ?CreateMsgProvider@CWinMsgEvent@@CGXXZ
0001571B 000157FE ?RegisterForMessage@CWinMsgEvent@@IAEXI@Z
00015803 00015829 ??2@YAPAXI@Z
0001582E 00015841 ??3@YAXPAX@Z
00015846 000158B4 ___security_init_cookie
000158B9 000158CF @__security_check_cookie@4
000158D4 000159CC ___report_gsfailure
000159D1 000159E0 ?_com_issue_error@@YGXJ@Z
000159E9 00015A1E ??0_com_error@@QAE@JPAUIErrorInfo@@_N@Z
00015A23 00015A49 ?_com_raise_error@@YGXJPAUIErrorInfo@@@Z
00015A4F 00015A81 ??0_com_error@@QAE@ABV0@@Z
00015A86 00015AAE ??1_com_error@@UAE@XZ
00015AB3 00015AD4 ??_G_com_error@@UAEPAXI@Z
00015AD9 00015B8B __CRT_INIT@12
00015B90 00015C2F __DllMainCRTStartup@12
00015C34 00015C3A ___CxxFrameHandler
00015C48 00015C67 __EH_prolog
00015C6C 00015CBA ??_Etype_info@@UAEPAXI@Z
00015CBF 00015D17 ?__ArrayUnwind@@YGXPAXIHP6EX0@Z@Z
00015D22 00015D82 ??_M@YGXPAXIHP6EX0@Z@Z
00015D88 00015D8E __purecall
00015D93 00015DBF __onexit
00015DC4 00015DDB _atexit
00015DE0 00015DE6 __CxxThrowException@8
00015DEC 00015DF2 _malloc
00015DF8 00015DFE _free
00015E10 00015E4D __chkstk
00015E52 00015E58 __initterm
00015E5D 00015E81 _DllMain@12
00015E86 00015E8C ??1type_info@@UAE@XZ
00015E92 00015E98 ?terminate@@YAXXZ
00015EA0 00015EDB __SEH_prolog
00015EDB 00015EEC __SEH_epilog
00015EF2 00015EF8 __except_handler3
00015EFE 00015F04 ___dllonexit
00015F09 00015F34 ??0SQL_LEVEL_1_TOKEN@@QAE@XZ
00015F39 00015FE5 ??4SQL_LEVEL_1_TOKEN@@QAEAAU0@AAU0@@Z
00015FEA 0001601E ??1SQL_LEVEL_1_TOKEN@@QAE@XZ
00016023 00016031 ??1?$auto_ptr@VCGenLexer@@@wmilib@@QAE@XZ
00016036 0001603F ??1?$auto_ptr@PAG@wmilib@@QAE@XZ
00016044 00016088 ?StringCopyWorkerW@@YGJPAGIPBG@Z
00016090 00016152 ?wbem_wcsicmp@@YGHPBG0@Z
0001618C 000162FF ?Next@SQL1_Parser@@AAEHXZ
00016304 00016356 ?class_name@SQL1_Parser@@AAEHXZ
0001635B 000164DD ?typed_constant@SQL1_Parser@@AAEHXZ
000164E2 00016516 ?equiv_operator@SQL1_Parser@@AAEHXZ
0001651B 0001656C ?is_operator@SQL1_Parser@@AAEHXZ
00016571 000165E1 ?comp_operator@SQL1_Parser@@AAEHXZ
000165E6 00016699 ??0SQL_LEVEL_1_RPN_EXPRESSION@@QAE@XZ
0001669E 000166EC ??_ESQL_LEVEL_1_TOKEN@@QAEPAXI@Z
000166F1 00016738 ??1SQL_LEVEL_1_RPN_EXPRESSION@@QAE@XZ
0001673D 0001675E ??_GSQL_LEVEL_1_TOKEN@@QAEPAXI@Z
00016763 0001680C ?AddProperty@SQL_LEVEL_1_RPN_EXPRESSION@@QAEXPAG@Z
00016812 0001684D ??0SQL_LEVEL_1_TOKEN@@QAE@AAU0@@Z
00016852 0001686F ?StringCchCopyW@@YGJPAGIPBG@Z
00016874 00016882 ??1?$auto_ptr@USQL_LEVEL_1_TOKEN@@@wmilib@@QAE@XZ
00016887 00016896 ??1?$auto_buffer@USQL_LEVEL_1_TOKEN@@@wmilib@@QAE@XZ
0001689B 00016901 ?property_name@SQL1_Parser@@AAEHXZ
00016906 0001699F ?trailing_prop_expr2@SQL1_Parser@@AAEHXZ
000169A4 00016A0E ?trailing_const_expr@SQL1_Parser@@AAEHXZ
00016A13 00016A33 ?rel_operator@SQL1_Parser@@AAEHXZ
00016A38 00016B1A ?AddToken@SQL_LEVEL_1_RPN_EXPRESSION@@QAEXAAUSQL_LEVEL_1_TOKEN@@@Z
00016B20 00016B2E ??1?$auto_ptr@USQL_LEVEL_1_RPN_EXPRESSION@@@wmilib@@QAE@XZ
00016B33 00016BFD ?Init@SQL1_Parser@@AAEXPAVCGenLexSource@@@Z
00016C02 00016C40 ?Cleanup@SQL1_Parser@@AAEXXZ
00016C45 00016C94 ?prop_list@SQL1_Parser@@AAEHXZ
00016C99 00016D22 ?trailing_prop_expr@SQL1_Parser@@AAEHXZ
00016D27 00016E0F ?unknown_func_expr@SQL1_Parser@@AAEHXZ
00016E14 00016E4D ?trailing_or_null@SQL1_Parser@@AAEHXZ
00016E52 00016E90 ?AddToken@SQL_LEVEL_1_RPN_EXPRESSION@@QAEXPAUSQL_LEVEL_1_TOKEN@@@Z
00016EAD 00016EC4 ??0SQL1_Parser@@QAE@PAVCGenLexSource@@@Z
00016EC9 00016ECE ??1SQL1_Parser@@QAE@XZ
00016ED3 00016F42 ?term2@SQL1_Parser@@AAEHXZ
00016F48 00016FAE ?leading_ident_expr@SQL1_Parser@@AAEHXZ
00016FB3 00017097 ?finalize@SQL1_Parser@@AAEHXZ
0001709C 000170B4 ?term@SQL1_Parser@@AAEHXZ
000170B9 00017128 ?expr2@SQL1_Parser@@AAEHXZ
0001712E 00017146 ?expr@SQL1_Parser@@AAEHXZ
0001714B 00017278 ?simple_expr@SQL1_Parser@@AAEHXZ
0001727D 000172B8 ?opt_where@SQL1_Parser@@AAEHXZ
000172BD 00017315 ?parse@SQL1_Parser@@AAEHXZ
0001731A 00017351 ?Parse@SQL1_Parser@@QAEHPAPAUSQL_LEVEL_1_RPN_EXPRESSION@@@Z
00017356 0001738F ?WbemCoImpersonateClient@@YGJXZ
00017394 000173CD ?WbemCoRevertToSelf@@YGJXZ
000173D2 000173D8 _GetUserNameExW@12
000173DD 000173E0 ?SetCHStringResourceHandle@@YGXPAUHINSTANCE__@@@Z
000173E5 000173EB ?afxGetEmptyCHString@@YGABVCHString@@XZ
000173F0 00017429 ?_mbstowcsz@@YGHPAGPBDI@Z
0001742E 00017442 ?GetData@CHString@@IBEPAUCHStringData@@XZ
00017447 0001744F ?Init@CHString@@IAEXXZ
00017454 000174A9 ?AllocBuffer@CHString@@IAEXH@Z
000174AF 000174F5 ?ConcatCopy@CHString@@IAEXHPBGH0@Z
000174FA 00017533 ?Release@CHString@@IAEXXZ
00017538 00017560 ?Release@CHString@@KGXPAUCHStringData@@@Z
00017565 00017570 ??0CHString@@QAE@XZ
00017575 000175B0 ??0CHString@@QAE@GH@Z
000175B5 000175E6 ??0CHString@@QAE@PBGH@Z
000175EB 00017625 ??0CHString@@QAE@PBG@Z
0001762A 0001765C ??1CHString@@QAE@XZ
00017661 00017677 ?Compare@CHString@@QBEHPBG@Z
0001767C 000176F9 ?GetBuffer@CHString@@QAEPAGH@Z
000176FE 00017729 ?GetBufferSetLength@CHString@@QAEPAGH@Z
0001772E 0001777F ?FreeExtra@CHString@@QAEXXZ
00017784 000177A0 ?LockBuffer@CHString@@QAEPAGXZ
000177A5 000177BE ?UnlockBuffer@CHString@@QAEXXZ
000177C3 000177EA ?Find@CHString@@QBEHG@Z
000177EF 00017816 ?FindOneOf@CHString@@QBEHPBG@Z
0001781B 00017842 ?ReverseFind@CHString@@QBEHG@Z
00017847 0001786E ?Find@CHString@@QBEHPBG@Z
00017873 00017874 ??1CHeap_Exception@@QAE@XZ
00017879 0001787F ??1auto_va_list@@QAE@XZ
00017884 000178B1 ?AllocSysString@CHString@@QBEPAGXZ
000178B6 000178D7 ??_GCHString@@QAEPAXI@Z
000178DC 000178E1 ?LoadStringW@CHString@@QAEHI@Z
000178E6 000178EB ?LoadStringW@CHString@@IAEHIPAGI@Z
000178F0 00017932 ?AllocCopy@CHString@@IBEXAAV1@HHH@Z
00017937 000179C8 ?ConcatInPlace@CHString@@IAEXHPBG@Z
000179CD 00017A10 ?CopyBeforeWrite@CHString@@IAEXXZ
00017A15 00017A4A ?AllocBeforeWrite@CHString@@IAEXH@Z
00017A4F 00017A6E ?SetAt@CHString@@QAEXHG@Z
00017A73 00017A95 ??YCHString@@QAEABV0@PBG@Z
00017A9A 00017AB4 ??YCHString@@QAEABV0@G@Z
00017AB9 00017ADC ??YCHString@@QAEABV0@ABV0@@Z
00017AE1 00017B17 ?ReleaseBuffer@CHString@@QAEXH@Z
00017B1C 00017B31 ?MakeUpper@CHString@@QAEXXZ
00017B36 00017B4B ?MakeLower@CHString@@QAEXXZ
00017B50 00017B65 ?MakeReverse@CHString@@QAEXXZ
00017B6A 00017BBD ?TrimRight@CHString@@QAEXXZ
00017BC2 00017C19 ?TrimLeft@CHString@@QAEXXZ
00017C1E 00017C56 ??$SafeExecute@V?$ScopeGuardImpl1@P6GPAXPAX@ZPAG@@@ScopeGuardImplBase@@KGXAAV?$ScopeGuardImpl1@P6GPAXPAX@ZPAG@@@Z
00017C61 00017CB4 ?AssignCopy@CHString@@IAEXHPBG@Z
00017CB9 00017F62 ?FormatV@CHString@@QAEXPBGPAD@Z
00017F67 00017FBB ??0CHString@@QAE@PBD@Z
00017FC0 0001802A ??4CHString@@QAEABV0@ABV0@@Z
0001802F 00018051 ??4CHString@@QAEABV0@PBG@Z
00018056 000180AC ??4CHString@@QAEABV0@PBD@Z
000180B1 000180CB ??4CHString@@QAEABV0@G@Z
000180D0 000180E6 ?Format@CHString@@QAAXPBGZZ
000180EB 000180F4 ??1?$ScopeGuardImpl1@P6GPAXPAX@ZPAD@@QAE@XZ
000180F9 00018135 ?MakeGuard@?$ScopeGuardImpl1@P6GPAXPAX@ZPAG@@SG?AV1@_NP6GPAXPAX@ZPAG@Z
0001813A 0001817A ??0CHString@@QAE@ABV0@@Z
0001817F 000181A4 ?Empty@CHString@@QAEXXZ
000181A9 00018217 ??H@YG?AVCHString@@ABV0@0@Z
0001821C 00018289 ??H@YG?AVCHString@@ABV0@PBG@Z
0001828E 000182FB ??H@YG?AVCHString@@PBGABV0@@Z
00018300 00018366 ??H@YG?AVCHString@@ABV0@G@Z
0001836B 000183D1 ??H@YG?AVCHString@@GABV0@@Z
000183D6 00018465 ?Mid@CHString@@QBE?AV1@HH@Z
0001846A 000184E9 ?Right@CHString@@QBE?AV1@H@Z
000184EE 00018564 ?Left@CHString@@QBE?AV1@H@Z
00018569 000185AC ?SpanIncluding@CHString@@QBE?AV1@PBG@Z
000185B1 000185F4 ?SpanExcluding@CHString@@QBE?AV1@PBG@Z
000185F9 00018630 ??$MakeGuard@P6GPAXPAX@ZPAG@@YG?AV?$ScopeGuardImpl1@P6GPAXPAX@ZPAG@@P6GPAXPAX@ZPAG@Z
00018635 00018673 ?Mid@CHString@@QBE?AV1@H@Z
00018678 000187B6 ?FormatMessageW@CHString@@QAAXPBGZZ
0001880A 0001881A ??0CHStringArray@@QAE@XZ
00018846 0001885F ??1CHStringArray@@QAE@XZ
00018864 000189A5 ?SetSize@CHStringArray@@QAEXHH@Z
000189AB 000189E1 ?Append@CHStringArray@@QAEHABV1@@Z
000189E6 00018A0E ?Copy@CHStringArray@@QAEXABV1@@Z
00018A13 00018A42 ?SetAtGrow@CHStringArray@@QAEXHPBG@Z
00018A47 00018AC5 ?InsertAt@CHStringArray@@QAEXHPBGH@Z
00018ACA 00018B19 ?RemoveAt@CHStringArray@@QAEXHH@Z
00018B1E 00018BB2 ?InsertAt@CHStringArray@@QAEXHPAV1@@Z
00018DE2 00018E9D ?GetLocalOffsetForDate@WBEMTime@@SGJPBU_SYSTEMTIME@@@Z
00018EA2 00018ED2 ??4WBEMTime@@QAEABV0@ABU_FILETIME@@@Z
00018ED7 00018F14 ??4WBEMTime@@QAEABV0@ABJ@Z
00018F19 00018F71 ??GWBEMTimeSpan@@QBE?AV0@ABV0@@Z
00018F76 00018FF1 ?Gettime_t@WBEMTime@@QBEHPAJ@Z
00018FF6 00019024 ?GetFILETIME@WBEMTime@@QBEHPAU_FILETIME@@@Z
00019029 000190AD ??0WBEMTimeSpan@@QAE@HHHHHHH@Z
000190B2 0001914A ??4WBEMTimeSpan@@QAEABV0@QAG@Z
0001914F 00019173 ??4WBEMTimeSpan@@QAEABV0@ABU_FILETIME@@@Z
00019178 000191AD ??4WBEMTimeSpan@@QAEABV0@ABJ@Z
000191B2 00019200 ??HWBEMTimeSpan@@QBE?AV0@ABV0@@Z
00019205 00019247 ??YWBEMTimeSpan@@QAEABV0@ABV0@@Z
0001924C 00019298 ??ZWBEMTimeSpan@@QAEABV0@ABV0@@Z
0001929D 00019354 ?GetBSTR@WBEMTimeSpan@@QBEPAGXZ
00019359 0001938A ?Gettime_t@WBEMTimeSpan@@QBEHPAJ@Z
0001938F 000193B5 ?GetFILETIME@WBEMTimeSpan@@QBEHPAU_FILETIME@@@Z
000193BA 000193D1 ?length@_bstr_t@@QBEIXZ
000193D6 000193F6 ?GetLocalOffsetForDate@WBEMTime@@SGJPBUtm@@@Z
000193FB 0001941D ?GetLocalOffsetForDate@WBEMTime@@SGJPBU_FILETIME@@@Z
00019422 00019456 ??4WBEMTime@@QAEABV0@ABU_SYSTEMTIME@@@Z
0001945B 0001948E ??4WBEMTime@@QAEABV0@ABUtm@@@Z
00019493 000194D2 ?GetSYSTEMTIME@WBEMTime@@QBEHPAU_SYSTEMTIME@@@Z
000194D7 00019629 ?GetDMTF@WBEMTime@@QBEPAGH@Z
0001962E 00019645 ??0WBEMTimeSpan@@QAE@ABU_FILETIME@@@Z
0001964A 00019661 ??0WBEMTimeSpan@@QAE@ABJ@Z
00019666 0001969C ?GetLocalOffsetForDate@WBEMTime@@SGJABJ@Z
000196A1 000196A9 ?GetBSTR@WBEMTime@@QBEPAGXZ
000196AE 00019710 ?GetDMTFNonNtfs@WBEMTime@@QBEPAGXZ
00019715 00019744 ?GetStructtm@WBEMTime@@QBEHPAUtm@@@Z
00019749 000199C7 ?SetDMTF@WBEMTime@@QAEHQAG@Z
000199CC 00019A24 ??4WBEMTime@@QAEABV0@QAG@Z
00019A29 00019A37 ??1CSmartBuffer@@QAE@XZ
00019A3C 00019B87 ?SetSize@CHPtrArray@@QAEXHH@Z
00019B8D 00019BCE ?Append@CHPtrArray@@QAEHABV1@@Z
00019BD3 00019C07 ?Copy@CHPtrArray@@QAEXABV1@@Z
00019C0C 00019C77 ?FreeExtra@CHPtrArray@@QAEXXZ
00019C7D 00019CA7 ?SetAtGrow@CHPtrArray@@QAEXHPAX@Z
00019CAC 00019D2A ?InsertAt@CHPtrArray@@QAEXHPAXH@Z
00019D2F 00019D5F ?RemoveAt@CHPtrArray@@QAEXHH@Z
00019D64 00019D6E ?RemoveAll@CHPtrArray@@QAEXXZ
00019D73 00019D87 ?SetAt@CHPtrArray@@QAEXHPAX@Z
00019D8C 00019DA5 ?Add@CHPtrArray@@QAEHPAX@Z
00019DAA 00019DBB ??ACHPtrArray@@QBEPAXH@Z
00019DC0 00019DD1 ??ACHPtrArray@@QAEAAPAXH@Z
00019DD6 00019E1E ?InsertAt@CHPtrArray@@QAEXHPAV1@@Z
00019E23 00019E3E ??8@YGHABVCHString@@0@Z
00019E43 00019E5C ??8@YGHABVCHString@@PBG@Z
00019E61 00019E9E ?StringCopyWorkerA@@YGJPADIPBD@Z
00019EA3 00019EF1 ?StringVPrintfWorkerW@@YGJPAGIPBGPAD@Z
00019EF6 00019F2F ?StringLengthWorkerW@@YGJPBGIPAI@Z
00019F34 00019F39 ?RewindSubKeys@CRegistry@@QAEXXZ
00019F3E 00019F57 ?CloseSubKey@CRegistry@@AAEXXZ
00019F5C 00019F94 ?NextSubKey@CRegistry@@QAEKXZ
00019F99 00019FD1 ??0CRegistrySearch@@QAE@XZ
00019FD6 0001A00C ??1CRegistrySearch@@QAE@XZ
0001A011 0001A05C ?FreeSearchList@CRegistrySearch@@QAEHHAAVCHPtrArray@@@Z
0001A061 0001A09B ?GetPlatformID@CRegistry@@CGKXZ
0001A0A0 0001A18D ?myRegCreateKeyEx@CRegistry@@AAEJPAUHKEY__@@PBGKPAGKKPAU_SECURITY_ATTRIBUTES@@PAPAU2@PAK@Z
0001A192 0001A3C7 ?myRegSetValueEx@CRegistry@@AAEJPAUHKEY__@@PBGKKPBEK@Z
0001A3CD 0001A5D7 ?myRegQueryValueEx@CRegistry@@AAEJPAUHKEY__@@PBGPAK2PAE2@Z
0001A5DD 0001A64B ?myRegDeleteValue@CRegistry@@AAEJPAUHKEY__@@PBG@Z
0001A650 0001A6BE ?myRegDeleteKey@CRegistry@@AAEJPAUHKEY__@@PBG@Z
0001A6C3 0001A744 ?myRegOpenKeyEx@CRegistry@@AAEJPAUHKEY__@@PBGKKPAPAU2@@Z
0001A749 0001A863 ?myRegQueryInfoKey@CRegistry@@AAEJPAUHKEY__@@PAGPAK22222222PAU_FILETIME@@@Z
0001A868 0001A891 ?StringCchPrintfW@@YAJPAGIPBGZZ
0001A896 0001A8CA ?StringCatWorkerW@@YGJPAGIPBG@Z
0001A8CF 0001A90E ?SetDefaultValues@CRegistry@@AAEXXZ
0001A913 0001A93C ?DeleteKey@CRegistry@@QAEJPAVCHString@@@Z
0001A941 0001A955 ?DeleteValue@CRegistry@@QAEJPBG@Z
0001A95A 0001A979 ?GetCurrentRawKeyValue@CRegistry@@AAEKPAUHKEY__@@PBGPAXPAK3@Z
0001A97E 0001ABB9 ?GetCurrentKeyValue@CRegistry@@QAEKPAUHKEY__@@PBGAAVCHString@@@Z
0001ABBF 0001ABD6 ?GetCurrentKeyValue@CRegistry@@QAEKPBGAAVCHString@@@Z
0001ABDB 0001ACC1 ?GetCurrentKeyValue@CRegistry@@QAEKPAUHKEY__@@PBGAAVCHStringArray@@@Z
0001ACD9 0001ACF0 ?GetCurrentKeyValue@CRegistry@@QAEKPBGAAVCHStringArray@@@Z
0001ACF5 0001ADB3 ?GetCurrentKeyValue@CRegistry@@QAEKPAUHKEY__@@PBGAAK@Z
0001ADB9 0001ADD0 ?GetCurrentKeyValue@CRegistry@@QAEKPBGAAK@Z
0001ADD5 0001ADF8 ?GetCurrentBinaryKeyValue@CRegistry@@QAEKPBGPAEPAK@Z
0001ADFD 0001AE20 ?GetCurrentBinaryKeyValue@CRegistry@@QAEKPAUHKEY__@@PBGPAEPAK@Z
0001AE25 0001AE68 ?Close@CRegistry@@QAEXXZ
0001AE6D 0001AE7F ?PrepareToReOpen@CRegistry@@AAEXXZ
0001AE84 0001AEB9 ?SetCurrentKeyValue@CRegistry@@QAEKPAUHKEY__@@PBGAAVCHString@@@Z
0001AEBE 0001AEDB ?SetCurrentKeyValue@CRegistry@@QAEKPAUHKEY__@@PBGAAK@Z
0001AEE0 0001B02E ?SetCurrentKeyValue@CRegistry@@QAEKPAUHKEY__@@PBGAAVCHStringArray@@@Z
0001B034 0001B069 ?SetCurrentKeyValueExpand@CRegistry@@QAEKPAUHKEY__@@PBGAAVCHString@@@Z
0001B06E 0001B079 ?DeleteCurrentKeyValue@CRegistry@@QAEKPAUHKEY__@@PBG@Z
0001B07E 0001B116 ?myRegEnumKey@CRegistry@@AAEJPAUHKEY__@@KPAGK@Z
0001B11B 0001B20F ?myRegEnumValue@CRegistry@@AAEJPAUHKEY__@@KPAGPAK22PAE2@Z
0001B214 0001B257 ??0CRegistry@@QAE@XZ
0001B25C 0001B28F ??1CRegistry@@QAE@XZ
0001B294 0001B3A8 ?EnumerateAndGetValues@CRegistry@@QAEJAAKAAPAGAAPAE@Z
0001B3AE 0001B452 ?OpenCurrentUser@CRegistry@@QAEKPBGK@Z
0001B457 0001B4EE ?Open@CRegistry@@QAEJPAUHKEY__@@PBGK@Z
0001B4F3 0001B59E ?CreateOpen@CRegistry@@QAEJPAUHKEY__@@PBGPAGKKPAU_SECURITY_ATTRIBUTES@@PAK@Z
0001B5A3 0001B5BE ?OpenAndEnumerateSubKeys@CRegistry@@QAEJPAUHKEY__@@PBGK@Z
