000017B4 000017C8 __EH_epilog3
0035E87C 0035E8BB ??$Clear@V?$CTable@V?$CURIProviderTableTraits@UIRtlXMLDSIGTransformer@Rtl@XMLDSIG@Windows@@@@@HashTable@BUCL@@@?$CDeque@VCBucket@?$CTable@V?$CURIProviderTableTraits@UIRtlXMLDSIGTransformer@Rtl@XMLDSIG@Windows@@@@@HashTable@BUCL@@$0BA@@BUCL@@QAEXPBV?$CTable@V?$CURIProviderTableTraits@UIRtlXMLDSIGTransformer@Rtl@XMLDSIG@Windows@@@@@HashTable@1@P8231@BEXPAVCBucket@231@@Z@Z
0035E8BB 0035E8C6 ?GetCanonicalizer@CRtlXMLDSIGCanonicalizerFactoryTearoff@@UBEJPBU_LUTF8_STRING@@PAV?$Auto@PAUIRtlXMLDSIGCanonicalizer@Rtl@XMLDSIG@Windows@@@Windows@@PAK@Z
0035E8C6 0035E921 ?GetObject@?$CRtlXMLDSIGObjectFactoryTearoff@VCRtlXMLDSIGCanonicalizerFactory@@UIRtlXMLDSIGCanonicalizer@Rtl@XMLDSIG@Windows@@@@QBEJPBU_LUTF8_STRING@@PAV?$Auto@PAUIRtlXMLDSIGCanonicalizer@Rtl@XMLDSIG@Windows@@@Windows@@PAK@Z
0035E921 0035E9BE ?GetObject@?$CRtlXMLDSIGObjectFactory@UIRtlXMLDSIGCanonicalizer@Rtl@XMLDSIG@Windows@@@@QAEJPBU_LUTF8_STRING@@PAV?$Auto@PAUIRtlXMLDSIGCanonicalizer@Rtl@XMLDSIG@Windows@@@Windows@@PAK@Z
0035E9BE 0035E9CC ?Current@?$CConstDequeIterator@VCBucket@?$CTable@V?$CURIProviderTableTraits@UIRtlXMLDSIGDigester@Rtl@XMLDSIG@Windows@@@@@HashTable@BUCL@@$0BA@@BUCL@@QBEPAVCBucket@?$CTable@V?$CURIProviderTableTraits@UIRtlXMLDSIGDigester@Rtl@XMLDSIG@Windows@@@@@HashTable@2@XZ
0035E9CC 0035E9D7 ?GetDigester@CRtlXMLDSIGDigesterFactoryTearoff@@UBEJPBU_LUTF8_STRING@@PAV?$Auto@PAUIRtlXMLDSIGDigester@Rtl@XMLDSIG@Windows@@@Windows@@PAK@Z
0035E9D7 0035EA32 ?GetObject@?$CRtlXMLDSIGObjectFactoryTearoff@VCRtlXMLDSIGDigesterFactory@@UIRtlXMLDSIGDigester@Rtl@XMLDSIG@Windows@@@@QBEJPBU_LUTF8_STRING@@PAV?$Auto@PAUIRtlXMLDSIGDigester@Rtl@XMLDSIG@Windows@@@Windows@@PAK@Z
0035EA32 0035EACF ?GetObject@?$CRtlXMLDSIGObjectFactory@UIRtlXMLDSIGDigester@Rtl@XMLDSIG@Windows@@@@QAEJPBU_LUTF8_STRING@@PAV?$Auto@PAUIRtlXMLDSIGDigester@Rtl@XMLDSIG@Windows@@@Windows@@PAK@Z
0035EACF 0035EB2E ??$Find@PBU_LUTF8_STRING@@@?$CTable@V?$CURIProviderTableTraits@UIRtlXMLDSIGTransformer@Rtl@XMLDSIG@Windows@@@@@HashTable@BUCL@@QAEJAAPBU_LUTF8_STRING@@AAPAPAUIRtlXMLDSIGTransformer@Rtl@XMLDSIG@Windows@@@Z
0035EB2E 0035EBA6 ??$Find@PBU_LUTF8_STRING@@@CBucketChain@?$CTable@V?$CURIProviderTableTraits@UIRtlXMLDSIGTransformer@Rtl@XMLDSIG@Windows@@@@@HashTable@BUCL@@QAE?AVCCallDisposition@Rtl@3@AAPBU_LUTF8_STRING@@_KAAPAPAUIRtlXMLDSIGTransformer@5XMLDSIG@Windows@@@Z
0035EBA6 0035EBBD ?DeallocateBucket@?$CTable@V?$CURIProviderTableTraits@UIRtlXMLDSIGCanonicalizer@Rtl@XMLDSIG@Windows@@@@@HashTable@BUCL@@ABEXPAVCBucket@123@@Z
0035EBBD 0035EBC8 ?GetCryptographicServiceProvider@CRtlXMLDSIGCryptographicServiceProviderFactoryTearoff@@UBEJPBU_LUTF8_STRING@@PAV?$Auto@PAUIRtlXMLDSIGCryptographicServiceProvider@Rtl@XMLDSIG@Windows@@@Windows@@PAK@Z
0035EBC8 0035EC23 ?GetObject@?$CRtlXMLDSIGObjectFactoryTearoff@VCRtlXMLDSIGCryptographicServiceProviderFactory@@UIRtlXMLDSIGCryptographicServiceProvider@Rtl@XMLDSIG@Windows@@@@QBEJPBU_LUTF8_STRING@@PAV?$Auto@PAUIRtlXMLDSIGCryptographicServiceProvider@Rtl@XMLDSIG@Windows@@@Windows@@PAK@Z
0035EC23 0035EC41 ??1CSignedInfo@@QAE@XZ
0035EC41 0035EC6A ??1CSignature@@QAE@XZ
0035EC6A 0035EC9B ??0CSignedInfo@@QAE@XZ
0035ECBC 0035ECC0 ?GetBlockSize@CSignedInfo@@UBEKXZ
0035ECC0 0035ED15 ??0CSignature@@QAE@XZ
0035ED4C 0035ED50 ?GetBlockSize@CSignature@@UBEKXZ
0035ED50 0035EEC9 ?EmbedSignatureBlock@CRtlXMLDSIGSession@@IAEJPAUIRtlMicrodom@Rtl@Microdom@Windows@@ABVCSignature@@UElement@345@PAV?$Auto@PAUIRtlMicrodom@Rtl@Microdom@Windows@@@5@@Z
0035EEC9 0035F0D0 ?GetCanonicalizedSignedInfoStream@CRtlXMLDSIGSession@@IAEJPAUIRtlMicrodom@Rtl@Microdom@Windows@@UElement@345@PAV?$Auto@PAVCRtlBufferedStream@DsigBufferedStream@@@5@PAK@Z
0035F0D0 0035F23F ?ComputeSignatureValue@CRtlXMLDSIGSession@@IAEJPAUIRtlMicrodom@Rtl@Microdom@Windows@@UElement@345@PBUKeyInfo@3XMLDSIG@5@PAV?$Auto@U_LBLOB@@@5@PAK@Z
0035F23F 0035F670 ?ApplyTransforms@CRtlXMLDSIGSession@@IAEJPAUIRtlMicrodom@Rtl@Microdom@Windows@@UElement@345@ABU?$Vector@UNode@Rtl@Microdom@Windows@@@5@PAV?$Auto@PAVCRtlBufferedStream@DsigBufferedStream@@@5@PAK4@Z
0035F670 0035F95A ?ComputeReferenceDigest@CRtlXMLDSIGSession@@IAEJPAUIRtlMicrodom@Rtl@Microdom@Windows@@UElement@345@PAV?$Auto@U_LBLOB@@@5@PAK@Z
0035F95A 0035FAC0 ?ComputeDigestsOfReferences@CRtlXMLDSIGSession@@IAEJPAUIRtlMicrodom@Rtl@Microdom@Windows@@UElement@345@PAV?$CVector@V?$Auto@U_LBLOB@@@Windows@@@3BUCL@@PAUSignatureGenerationResult@3XMLDSIG@5@@Z
0035FAC0 0035FDB6 ?Sign@CRtlXMLDSIGSession@@UAEJPAUIRtlMicrodom@Rtl@Microdom@Windows@@UElement@345@PBUSignatureParameters@3XMLDSIG@5@PAUIRtlWOFOStream@35@PAUSignatureGenerationResult@385@@Z
0035FDB6 0035FF59 ?VerifyReference@CRtlXMLDSIGSession@@IAEJPAUIRtlMicrodom@Rtl@Microdom@Windows@@UElement@345@PAK@Z
0035FF59 003602B6 ?VerifySignature@CRtlXMLDSIGSession@@UAEJPAUIRtlMicrodom@Rtl@Microdom@Windows@@UElement@345@PAUSignatureVerificationResult@3XMLDSIG@5@@Z
003602B6 003602E0 _RtlCaptureStackBackTrace@16
003602E0 003602FF ?DestructiveMove@?$CVector@V?$CDefaultObjectTraits@V?$Auto@PAV?$CIndex@V?$Auto@PAV?$CIndex@V?$Auto@PAV?$CIndex@V?$Auto@U_LBLOB@@@Windows@@$0M@$0M@@DsigBufferedStream@@@Windows@@$0M@$0BI@@DsigBufferedStream@@@Windows@@$0M@$0CE@@DsigBufferedStream@@@Windows@@@BUCL@@VCByteAllocator@2@VCCallDisposition@Rtl@2@@BUCL@@AAEXPAV?$Auto@PAV?$CIndex@V?$Auto@PAV?$CIndex@V?$Auto@PAV?$CIndex@V?$Auto@U_LBLOB@@@Windows@@$0M@$0M@@DsigBufferedStream@@@Windows@@$0M@$0BI@@DsigBufferedStream@@@Windows@@$0M@$0CE@@DsigBufferedStream@@@Windows@@0@Z
003602FF 0036031A ?IsFull@?$CIndex@V?$Auto@U_LBLOB@@@Windows@@$0M@$0M@@DsigBufferedStream@@QBE_NXZ
0036031A 00360346 ?BytesInBuffer@?$CIndex@V?$Auto@U_LBLOB@@@Windows@@$0M@$0M@@DsigBufferedStream@@QBE_KXZ
00360346 00360364 ?ConstructElements@?$CVector@V?$CDefaultObjectTraits@V?$Auto@PAV?$CIndex@V?$Auto@PAV?$CIndex@V?$Auto@PAV?$CIndex@V?$Auto@U_LBLOB@@@Windows@@$0M@$0M@@DsigBufferedStream@@@Windows@@$0M@$0BI@@DsigBufferedStream@@@Windows@@$0M@$0CE@@DsigBufferedStream@@@Windows@@@BUCL@@VCByteAllocator@2@VCCallDisposition@Rtl@2@@BUCL@@AAEXPAV?$Auto@PAV?$CIndex@V?$Auto@PAV?$CIndex@V?$Auto@PAV?$CIndex@V?$Auto@U_LBLOB@@@Windows@@$0M@$0M@@DsigBufferedStream@@@Windows@@$0M@$0BI@@DsigBufferedStream@@@Windows@@$0M@$0CE@@DsigBufferedStream@@@Windows@@0@Z
00360364 00360392 ?MoveElements@?$CVector@V?$CDefaultObjectTraits@V?$Auto@PAV?$CIndex@V?$Auto@PAV?$CIndex@V?$Auto@PAV?$CIndex@V?$Auto@U_LBLOB@@@Windows@@$0M@$0M@@DsigBufferedStream@@@Windows@@$0M@$0BI@@DsigBufferedStream@@@Windows@@$0M@$0CE@@DsigBufferedStream@@@Windows@@@BUCL@@VCByteAllocator@2@VCCallDisposition@Rtl@2@@BUCL@@AAEXPAV?$Auto@PAV?$CIndex@V?$Auto@PAV?$CIndex@V?$Auto@PAV?$CIndex@V?$Auto@U_LBLOB@@@Windows@@$0M@$0M@@DsigBufferedStream@@@Windows@@$0M@$0BI@@DsigBufferedStream@@@Windows@@$0M@$0CE@@DsigBufferedStream@@@Windows@@0K@Z
00360392 003603AB ?IsFull@?$CIndex@V?$Auto@PAV?$CIndex@V?$Auto@U_LBLOB@@@Windows@@$0M@$0M@@DsigBufferedStream@@@Windows@@$0M@$0BI@@DsigBufferedStream@@QBE_NXZ
003603AB 003603DF ?BytesInBuffer@?$CIndex@V?$Auto@PAV?$CIndex@V?$Auto@U_LBLOB@@@Windows@@$0M@$0M@@DsigBufferedStream@@@Windows@@$0M@$0BI@@DsigBufferedStream@@QBE_KXZ
003603DF 003603F5 ?IsFull@?$CIndex@V?$Auto@PAV?$CIndex@V?$Auto@PAV?$CIndex@V?$Auto@U_LBLOB@@@Windows@@$0M@$0M@@DsigBufferedStream@@@Windows@@$0M@$0BI@@DsigBufferedStream@@@Windows@@$0M@$0CE@@DsigBufferedStream@@QBE_NXZ
003603F5 00360440 ?BytesInBuffer@?$CIndex@V?$Auto@PAV?$CIndex@V?$Auto@PAV?$CIndex@V?$Auto@U_LBLOB@@@Windows@@$0M@$0M@@DsigBufferedStream@@@Windows@@$0M@$0BI@@DsigBufferedStream@@@Windows@@$0M@$0CE@@DsigBufferedStream@@QBE_KXZ
00360440 00360456 ?IsFull@?$CIndex@V?$Auto@PAV?$CIndex@V?$Auto@PAV?$CIndex@V?$Auto@PAV?$CIndex@V?$Auto@U_LBLOB@@@Windows@@$0M@$0M@@DsigBufferedStream@@@Windows@@$0M@$0BI@@DsigBufferedStream@@@Windows@@$0M@$0CE@@DsigBufferedStream@@@Windows@@$0BA@$0DA@@DsigBufferedStream@@QBE_NXZ
00360456 003604A4 ?BytesInBuffer@?$CIndex@V?$Auto@PAV?$CIndex@V?$Auto@PAV?$CIndex@V?$Auto@PAV?$CIndex@V?$Auto@U_LBLOB@@@Windows@@$0M@$0M@@DsigBufferedStream@@@Windows@@$0M@$0BI@@DsigBufferedStream@@@Windows@@$0M@$0CE@@DsigBufferedStream@@@Windows@@$0BA@$0DA@@DsigBufferedStream@@QBE_KXZ
003604A4 00360540 ?Read@CROFOStream@DsigBufferedStream@@QAEJKPAXPAK@Z
00360540 00360600 ?Allocate@?$CIndex@V?$Auto@U_LBLOB@@@Windows@@$0M@$0M@@DsigBufferedStream@@QAEJ_K@Z
00360600 0036079C ?Populate@?$CIndex@V?$Auto@U_LBLOB@@@Windows@@$0M@$0M@@DsigBufferedStream@@QAEJ_KPA_KAAVCROFOStream@2@@Z
0036079C 003609E1 ?WriteAt@?$CIndex@V?$Auto@U_LBLOB@@@Windows@@$0M@$0M@@DsigBufferedStream@@QAEJ_KKPBXPAKAAVCROFOStream@2@@Z
003609E1 00360B7D ?ReadAt@?$CIndex@V?$Auto@U_LBLOB@@@Windows@@$0M@$0M@@DsigBufferedStream@@QAEJ_KKPAXPAKAAVCROFOStream@2@@Z
00360B7D 00360BA0 ?Allocate@?$Auto@PAV?$CIndex@V?$Auto@PAV?$CIndex@V?$Auto@PAV?$CIndex@V?$Auto@U_LBLOB@@@Windows@@$0M@$0M@@DsigBufferedStream@@@Windows@@$0M@$0BI@@DsigBufferedStream@@@Windows@@$0M@$0CE@@DsigBufferedStream@@@Windows@@QAEPAV?$CIndex@V?$Auto@PAV?$CIndex@V?$Auto@PAV?$CIndex@V?$Auto@U_LBLOB@@@Windows@@$0M@$0M@@DsigBufferedStream@@@Windows@@$0M@$0BI@@DsigBufferedStream@@@Windows@@$0M@$0CE@@DsigBufferedStream@@XZ
00360BA0 00360C19 ?Reserve@?$CVector@V?$CDefaultObjectTraits@V?$Auto@PAV?$CIndex@V?$Auto@U_LBLOB@@@Windows@@$0M@$0M@@DsigBufferedStream@@@Windows@@@BUCL@@VCByteAllocator@2@VCCallDisposition@Rtl@2@@BUCL@@QAE?AVCCallDisposition@Rtl@2@K@Z
00360C19 00360C78 ?Resize@?$CVector@V?$CDefaultObjectTraits@V?$Auto@PAV?$CIndex@V?$Auto@U_LBLOB@@@Windows@@$0M@$0M@@DsigBufferedStream@@@Windows@@@BUCL@@VCByteAllocator@2@VCCallDisposition@Rtl@2@@BUCL@@QAE?AVCCallDisposition@Rtl@2@K@Z
00360C78 00360D3C ?Allocate@?$CIndex@V?$Auto@PAV?$CIndex@V?$Auto@U_LBLOB@@@Windows@@$0M@$0M@@DsigBufferedStream@@@Windows@@$0M@$0BI@@DsigBufferedStream@@QAEJ_K@Z
00360D3C 00360EC3 ?Populate@?$CIndex@V?$Auto@PAV?$CIndex@V?$Auto@U_LBLOB@@@Windows@@$0M@$0M@@DsigBufferedStream@@@Windows@@$0M@$0BI@@DsigBufferedStream@@QAEJ_KPA_KAAVCROFOStream@2@@Z
00360EC3 0036100E ?ReadAt@?$CIndex@V?$Auto@PAV?$CIndex@V?$Auto@U_LBLOB@@@Windows@@$0M@$0M@@DsigBufferedStream@@@Windows@@$0M@$0BI@@DsigBufferedStream@@QAEJ_KKPAXPAKAAVCROFOStream@2@@Z
0036100E 003611BB ?WriteAt@?$CIndex@V?$Auto@PAV?$CIndex@V?$Auto@U_LBLOB@@@Windows@@$0M@$0M@@DsigBufferedStream@@@Windows@@$0M@$0BI@@DsigBufferedStream@@QAEJ_KKPBXPAKAAVCROFOStream@2@@Z
003611BB 00361234 ?Reserve@?$CVector@V?$CDefaultObjectTraits@V?$Auto@PAV?$CIndex@V?$Auto@PAV?$CIndex@V?$Auto@U_LBLOB@@@Windows@@$0M@$0M@@DsigBufferedStream@@@Windows@@$0M@$0BI@@DsigBufferedStream@@@Windows@@@BUCL@@VCByteAllocator@2@VCCallDisposition@Rtl@2@@BUCL@@QAE?AVCCallDisposition@Rtl@2@K@Z
00361234 00361293 ?Resize@?$CVector@V?$CDefaultObjectTraits@V?$Auto@PAV?$CIndex@V?$Auto@PAV?$CIndex@V?$Auto@U_LBLOB@@@Windows@@$0M@$0M@@DsigBufferedStream@@@Windows@@$0M@$0BI@@DsigBufferedStream@@@Windows@@@BUCL@@VCByteAllocator@2@VCCallDisposition@Rtl@2@@BUCL@@QAE?AVCCallDisposition@Rtl@2@K@Z
00361293 00361361 ?Allocate@?$CIndex@V?$Auto@PAV?$CIndex@V?$Auto@PAV?$CIndex@V?$Auto@U_LBLOB@@@Windows@@$0M@$0M@@DsigBufferedStream@@@Windows@@$0M@$0BI@@DsigBufferedStream@@@Windows@@$0M@$0CE@@DsigBufferedStream@@QAEJ_K@Z
00361361 003614F4 ?Populate@?$CIndex@V?$Auto@PAV?$CIndex@V?$Auto@PAV?$CIndex@V?$Auto@U_LBLOB@@@Windows@@$0M@$0M@@DsigBufferedStream@@@Windows@@$0M@$0BI@@DsigBufferedStream@@@Windows@@$0M@$0CE@@DsigBufferedStream@@QAEJ_KPA_KAAVCROFOStream@2@@Z
003614F4 0036163A ?ReadAt@?$CIndex@V?$Auto@PAV?$CIndex@V?$Auto@PAV?$CIndex@V?$Auto@U_LBLOB@@@Windows@@$0M@$0M@@DsigBufferedStream@@@Windows@@$0M@$0BI@@DsigBufferedStream@@@Windows@@$0M@$0CE@@DsigBufferedStream@@QAEJ_KKPAXPAKAAVCROFOStream@2@@Z
0036163A 003617C9 ?WriteAt@?$CIndex@V?$Auto@PAV?$CIndex@V?$Auto@PAV?$CIndex@V?$Auto@U_LBLOB@@@Windows@@$0M@$0M@@DsigBufferedStream@@@Windows@@$0M@$0BI@@DsigBufferedStream@@@Windows@@$0M@$0CE@@DsigBufferedStream@@QAEJ_KKPBXPAKAAVCROFOStream@2@@Z
003617C9 00361842 ?Reserve@?$CVector@V?$CDefaultObjectTraits@V?$Auto@PAV?$CIndex@V?$Auto@PAV?$CIndex@V?$Auto@PAV?$CIndex@V?$Auto@U_LBLOB@@@Windows@@$0M@$0M@@DsigBufferedStream@@@Windows@@$0M@$0BI@@DsigBufferedStream@@@Windows@@$0M@$0CE@@DsigBufferedStream@@@Windows@@@BUCL@@VCByteAllocator@2@VCCallDisposition@Rtl@2@@BUCL@@QAE?AVCCallDisposition@Rtl@2@K@Z
00361842 003618A1 ?Resize@?$CVector@V?$CDefaultObjectTraits@V?$Auto@PAV?$CIndex@V?$Auto@PAV?$CIndex@V?$Auto@PAV?$CIndex@V?$Auto@U_LBLOB@@@Windows@@$0M@$0M@@DsigBufferedStream@@@Windows@@$0M@$0BI@@DsigBufferedStream@@@Windows@@$0M@$0CE@@DsigBufferedStream@@@Windows@@@BUCL@@VCByteAllocator@2@VCCallDisposition@Rtl@2@@BUCL@@QAE?AVCCallDisposition@Rtl@2@K@Z
003618A1 00361972 ?Allocate@?$CIndex@V?$Auto@PAV?$CIndex@V?$Auto@PAV?$CIndex@V?$Auto@PAV?$CIndex@V?$Auto@U_LBLOB@@@Windows@@$0M@$0M@@DsigBufferedStream@@@Windows@@$0M@$0BI@@DsigBufferedStream@@@Windows@@$0M@$0CE@@DsigBufferedStream@@@Windows@@$0BA@$0DA@@DsigBufferedStream@@QAEJ_K@Z
00361972 00361AF3 ?Populate@?$CIndex@V?$Auto@PAV?$CIndex@V?$Auto@PAV?$CIndex@V?$Auto@PAV?$CIndex@V?$Auto@U_LBLOB@@@Windows@@$0M@$0M@@DsigBufferedStream@@@Windows@@$0M@$0BI@@DsigBufferedStream@@@Windows@@$0M@$0CE@@DsigBufferedStream@@@Windows@@$0BA@$0DA@@DsigBufferedStream@@QAEJ_KPA_KAAVCROFOStream@2@@Z
00361AF3 00361C3B ?ReadAt@?$CIndex@V?$Auto@PAV?$CIndex@V?$Auto@PAV?$CIndex@V?$Auto@PAV?$CIndex@V?$Auto@U_LBLOB@@@Windows@@$0M@$0M@@DsigBufferedStream@@@Windows@@$0M@$0BI@@DsigBufferedStream@@@Windows@@$0M@$0CE@@DsigBufferedStream@@@Windows@@$0BA@$0DA@@DsigBufferedStream@@QAEJ_KKPAXPAKAAVCROFOStream@2@@Z
00361C3B 00361DC5 ?WriteAt@?$CIndex@V?$Auto@PAV?$CIndex@V?$Auto@PAV?$CIndex@V?$Auto@PAV?$CIndex@V?$Auto@U_LBLOB@@@Windows@@$0M@$0M@@DsigBufferedStream@@@Windows@@$0M@$0BI@@DsigBufferedStream@@@Windows@@$0M@$0CE@@DsigBufferedStream@@@Windows@@$0BA@$0DA@@DsigBufferedStream@@QAEJ_KKPBXPAKAAVCROFOStream@2@@Z
00361DC5 00361EE1 ?AddIndirection@CBufferedStream@DsigBufferedStream@@AAEJXZ
00361EE1 00362144 ?ReadAt@CBufferedStream@DsigBufferedStream@@QAEJ_KKPAXPAK@Z
00362144 003623CE ?WriteAt@CBufferedStream@DsigBufferedStream@@QAEJ_KKPBXPAK@Z
003623CE 003623EB ?QueryInformation@Rtl@Isolation@Windows@@YIJU_REFERENCE_IDENTITY@123@AAU_IDENTITY_BUILTIN_ATTRIBUTES@123@@Z
003623EB 00362405 ?AreEqual@Rtl@Isolation@Windows@@YGJKABU_REFERENCE_IDENTITY_LIST@123@0AAE@Z
00362405 0036242D ?IsValid@?$CTsObjectTraits@U_REFERENCE_APPID@Rtl@Isolation@Windows@@VCRefAppId@@VCRefAppIdCD@@VCRefAppIdTraits@@@Rtl@Provider@TypeSafeHandle@Windows@@SG_NU_REFERENCE_APPID@2Isolation@5@@Z
0036242D 00362441 @RtlIsReferenceAppIdHandleValid@8
00362441 0036245B ?IsValid@Rtl@Isolation@Windows@@YI_NU_REFERENCE_APPID@123@@Z
0036245B 0036247E ??1?$CBaseAppIdCD@V?$CGenericIdentityList@U_REFERENCE_IDENTITY@Rtl@Isolation@Windows@@U_REFERENCE_IDENTITY_LIST@234@@Rtl@Isolation@Windows@@@@QAE@XZ
0036247E 0036252C ?Duplicate@?$CTsObjectTraits@U_REFERENCE_APPID@Rtl@Isolation@Windows@@VCRefAppId@@VCRefAppIdCD@@VCRefAppIdTraits@@@Rtl@Provider@TypeSafeHandle@Windows@@SGJU_REFERENCE_APPID@2Isolation@5@PAU6275@@Z
0036252C 003625C1 ?Attach@?$CTypeSafeHandlePointer@VCRefAppIdTraits@@@Rtl@Provider@TypeSafeHandle@Windows@@QAEJU_REFERENCE_APPID@2Isolation@5@@Z
003625C1 003626DE ??$Parse@U_LUNICODE_STRING@@@?$CBaseAppIdCD@V?$CGenericIdentityList@U_REFERENCE_IDENTITY@Rtl@Isolation@Windows@@U_REFERENCE_IDENTITY_LIST@234@@Rtl@Isolation@Windows@@@@QAEJPBU_LUNICODE_STRING@@@Z
003626DE 00362849 ?SetInformation_Basic@?$CBaseAppId@VCRefAppIdTraits@@@@QAEJKPBU_REFERENCE_APPID_DATA@Rtl@Isolation@Windows@@K@Z
00362849 003628E9 ?AreEqual@?$CBaseAppId@VCRefAppIdTraits@@@@QAEJKABV1@AAE@Z
003628E9 003629B9 ?Hash@?$CBaseAppId@VCRefAppIdTraits@@@@QAEJKAA_K@Z
003629B9 003629CE @RtlDuplicateReferenceAppIdHandle@12
003629CE 00362A59 ?Close@?$CTsObjectTraits@U_REFERENCE_APPID@Rtl@Isolation@Windows@@VCRefAppId@@VCRefAppIdCD@@VCRefAppIdTraits@@@Rtl@Provider@TypeSafeHandle@Windows@@SGXU_REFERENCE_APPID@2Isolation@5@@Z
00362A59 00362A7A ??_GCRefAppId@@QAEPAXI@Z
00362A7A 00362A8D ?Discard@?$CReferenceWithCloserTraitsPointerDestruction@VCRefAppId@@@BCL@@SGXPAVCRefAppId@@@Z
00362A8D 00362C66 ??$appid_FormatAppId@U_REFERENCE_APPID@Rtl@Isolation@Windows@@V?$CTypeSafeHandlePointer@VCRefAppIdTraits@@@2Provider@TypeSafeHandle@4@U_LUNICODE_STRING@@VCLUNICODE_STRING@24@@@YGJKU_REFERENCE_APPID@Rtl@Isolation@Windows@@PAU_LUNICODE_STRING@@@Z
00362C66 00362D28 ??$appid_SetInformationAppId@U_REFERENCE_APPID@Rtl@Isolation@Windows@@V?$CTypeSafeHandlePointer@VCRefAppIdTraits@@@2Provider@TypeSafeHandle@4@U_REFERENCE_APPID_DATA@234@@@YGJKU_REFERENCE_APPID@Rtl@Isolation@Windows@@PBXKKK@Z
00362D28 00362E31 ??$appid_AreEqual@U_REFERENCE_APPID@Rtl@Isolation@Windows@@V?$CTypeSafeHandlePointer@VCRefAppIdTraits@@@2Provider@TypeSafeHandle@4@@@YGJKU_REFERENCE_APPID@Rtl@Isolation@Windows@@0PAE@Z
00362E31 00362EF5 ??$appid_Hash@U_REFERENCE_APPID@Rtl@Isolation@Windows@@V?$CTypeSafeHandlePointer@VCRefAppIdTraits@@@2Provider@TypeSafeHandle@4@@@YGJKU_REFERENCE_APPID@Rtl@Isolation@Windows@@PA_K@Z
00362EF5 00362F85 ?QueryInformation_Data@?$CBaseAppId@VCRefAppIdTraits@@@@QAEJPAU_REFERENCE_APPID_BASIC_INFORMATION@Rtl@Isolation@Windows@@K@Z
00362F85 00362F99 @RtlCloseReferenceAppIdHandle@8
00362F99 00362FAF @RtlFormatReferenceAppId@16
00362FAF 00362FCE @RtlSetInformationReferenceAppId@28
00362FCE 00362FEA @RtlAreReferenceAppIdsEqual@24
00362FEA 00363000 @RtlHashReferenceAppId@16
00363000 00363051 ?Destructor@?$CTsObject@VCRefAppIdTraits@@@Rtl@Provider@TypeSafeHandle@Windows@@SIXPAXK0@Z
00363051 00363110 ??$appid_QueryInformationAppId@U_REFERENCE_APPID@Rtl@Isolation@Windows@@V?$CTypeSafeHandlePointer@VCRefAppIdTraits@@@2Provider@TypeSafeHandle@4@U_REFERENCE_APPID_BASIC_INFORMATION@234@@@YGJKU_REFERENCE_APPID@Rtl@Isolation@Windows@@PAXKK@Z
00363110 0036312C @RtlQueryInformationReferenceAppId@24
0036312C 00363449 ??$appid_GenerateUnicodeKeyForm@U_REFERENCE_APPID@Rtl@Isolation@Windows@@V?$CTypeSafeHandlePointer@VCRefAppIdTraits@@@2Provider@TypeSafeHandle@4@@@YGJKU_REFERENCE_APPID@Rtl@Isolation@Windows@@PAU_LUNICODE_STRING@@@Z
00363449 00363478 ??$?0VCRefAppIdCD@@@?$CConstructingAndDestroyingPointerReference@VCRefAppId@@@BCL@@QAE@PAVCRefAppId@@PAVCRefAppIdCD@@@Z
00363478 00363493 ?QueryInformation@Rtl@Isolation@Windows@@YIJU_REFERENCE_APPID@123@AAU_REFERENCE_APPID_BASIC_INFORMATION@123@@Z
00363493 003634A9 @RtlGenerateReferenceAppIdUnicodeKeyForm@16
003634A9 003635D1 ??$appid_ValidateContent@U_REFERENCE_APPID@Rtl@Isolation@Windows@@U_REFERENCE_APPID_BASIC_INFORMATION@234@@@YGJKU_REFERENCE_APPID@Rtl@Isolation@Windows@@PAE@Z
003635D1 003635E7 @RtlValidateReferenceAppIdContent@16
003635E7 0036368B ?Constructor@?$CTsObject@VCRefAppIdTraits@@@Rtl@Provider@TypeSafeHandle@Windows@@SIEPAXK000@Z
0036368B 00363740 ?StaticInitialize@?$CTsObjectTraits@U_REFERENCE_APPID@Rtl@Isolation@Windows@@VCRefAppId@@VCRefAppIdCD@@VCRefAppIdTraits@@@Rtl@Provider@TypeSafeHandle@Windows@@SGJXZ
00363740 003637B5 ?Allocate@?$CTsObjectTraits@U_REFERENCE_APPID@Rtl@Isolation@Windows@@VCRefAppId@@VCRefAppIdCD@@VCRefAppIdTraits@@@Rtl@Provider@TypeSafeHandle@Windows@@SGJAAVCRefAppIdCD@@AAU_REFERENCE_APPID@2Isolation@5@@Z
003637B5 003638D4 ??$appid_CreateAppId@U_REFERENCE_APPID@Rtl@Isolation@Windows@@VCRefAppIdCD@@U_REFERENCE_APPID_DATA@234@@@YGJPBU_REFERENCE_APPID_DATA@Rtl@Isolation@Windows@@PAU_REFERENCE_APPID@123@@Z
003638D4 0036399D ??$appid_ParseAppId@U_REFERENCE_APPID@Rtl@Isolation@Windows@@VCRefAppIdCD@@U_REFERENCE_APPID_DATA@234@U_LUNICODE_STRING@@@@YGJKPBU_LUNICODE_STRING@@PAU_REFERENCE_APPID@Rtl@Isolation@Windows@@@Z
0036399D 003639A7 @RtlCreateReferenceAppId@8
003639A7 003639BA @RtlParseReferenceAppId@12
