000025A7 000025D0 KeQuerySystemTime
000FA9D5 000FAA2D IoSetDeviceInterfaceState
000FAFD2 000FB03F IoDeleteSymbolicLink
000FB044 000FB0A6 IoInitializeTimer
000FB0D5 000FB15A RtlGetVersion
000FB855 000FBA16 IoGetDeviceInterfaceAlias
000FC900 000FC9B4 FsRtlRegisterUncProvider
000FCB7B 000FCBF3 SeRegisterLogonSessionTerminatedRoutine
000FE4AC 000FE573 NtDeleteFile
000FF8DC 000FF951 MmPageEntireDriver
000FF986 000FF999 RtlSubAuthoritySid
000FF9AF 000FFA82 MmResetDriverPaging
000FFDD4 000FFE42 IoRegisterDeviceInterface
00100084 0010010F FsRtlOplockFsctrl
00100313 001003CE RtlValidSecurityDescriptor
0010044D 00100496 RtlDecompressFragment
00101419 00101424 LdrAccessResource
00101431 001014C0 RtlFindMessage
00101781 001018C2 NtAllocateUuids
00102737 0010274E RtlLengthSid
00102C44 00102C73 SeSetSecurityDescriptorInfo
00102CAC 00102D57 NtSetSecurityObject
00102D5C 00102D9E ObSetSecurityObjectByPointer
00102DA3 00102DE8 RtlSetOwnerSecurityDescriptor
00102EAB 00102F60 NtQuerySecurityObject
00103B3F 00103C00 MmLockPagableSectionByHandle
00105C8B 00105CAA NtDeleteAtom
00105F78 00105F7B nullsub_3
00106058 001061B3 NtLockFile
001061B8 001062EA NtUnlockFile
001062EF 00106479 NtNotifyChangeDirectoryFile
0010647E 00106612 FsRtlNotifyFilterChangeDirectory
00106A43 00106A64 SeDeassignSecurity
00106AFA 00106B8B ObCheckCreateObjectAccess
00106EE1 00106F0E RtlInitializeSid
00106FFF 0010712E RtlGenerate8dot3Name
001079C5 00107A71 FsRtlAddToTunnelCache
00107A76 00107AE6 ObQueryObjectAuditingByHandle
00107B87 00107C0E RtlHashUnicodeString
00107C95 00107DDA RtlUnicodeToOemN
00107E1F 00107F0B FsRtlIsFatDbcsLegal
00107F10 00107FA0 RtlUnicodeStringToCountedOemString
00107FA5 001080D5 SeValidSecurityDescriptor
0010815F 001081E3 FsRtlFindInTunnelCache
001088E8 00108948 NtAllocateLocallyUniqueId
001089CF 00108A8B PsDisableImpersonation
00108AA4 00108AD2 PsRestoreImpersonation
00108AD7 00108B2D RtlSetDaclSecurityDescriptor
00108D43 00108D61 RtlAddAccessAllowedAce
00109787 0010995C NtAdjustPrivilegesToken
0010A000 0010A10D RtlOemToUnicodeN
0010A112 0010A18F RtlOemStringToUnicodeString
0010A3B7 0010A3CB ExSystemExceptionFilter
0010A444 0010A4F7 FsRtlNotifyCleanup
0010A555 0010A5CF RtlUnicodeStringToOemString
0010A939 0010AAC6 NtOpenThread
0010ABAF 0010ABCE FsRtlNotifyUninitializeSync
0010AF18 0010AF9C IoGetDeviceObjectPointer
0010B6F2 0010B870 NtFindAtom
0010D4FC 0010DAE4 RtlUpcaseUnicodeToOemN
0010DB29 0010DBCE RtlUpcaseUnicodeStringToOemString
0010DBD3 0010DBED RtlFreeOemString
0010E0C3 0010E174 FsRtlDeleteKeyFromTunnelCache
0010E5FF 0010E616 PsSetProcessSecurityPort
0010E65D 0010E6B4 SeCreateClientSecurityFromSubjectContext
0010EAE8 0010ECD7 CcZeroData
0010EDE8 0010EF94 RtlPrefixUnicodeString
0010FA62 0010FAD2 ObMakeTemporaryObject
0011004C 0011010E NtMakePermanentObject
00110313 00110400 MmLockPagableImageSection
00110A4E 00110AC5 ExEnumHandleTable
00110B09 00110B63 ObFindHandleForObject
00111F5E 00111F90 MmUnmapViewInSessionSpace
00112215 0011224D MmMapViewInSessionSpace
001124D0 00112715 NtRequestPort
001128F7 0011291D RtlUnicodeToMultiByteSize
00112AD3 00112AF6 RtlMultiByteToUnicodeSize
00112C11 00112CA2 ExUuidCreate
00114233 0011426F IoCheckFunctionAccess
00114282 001142A4 LsaFreeReturnBuffer
00144B21 00144CEC CcMdlRead
00144DD4 00144E0E CcMdlReadComplete
00144E19 00144E56 CcMdlWriteComplete
00144E6F 00144F17 CmUnRegisterCallback
00144F2B 00145033 CmRegisterCallback
00145161 00145349 FsRtlMdlReadDev
00145355 001453D1 FsRtlMdlRead
001453DF 001457D3 FsRtlPrepareMdlWriteDev
001457DF 0014585B FsRtlPrepareMdlWrite
00145867 0014588B FsRtlMdlWriteCompleteDev
001458B9 001458C6 FsRtlIncrementCcFastReadNotPossible
001458D5 00145BCD FsRtlCopyRead
00145BDB 001462F1 FsRtlCopyWrite
001462FF 00146369 FsRtlMdlWriteComplete
00146383 0014638E FsRtlInitializeMcb
00146398 001463A3 FsRtlUninitializeMcb
001463AD 001463C5 FsRtlAllocateResource
001463EF 001463F4 FsRtlSyncVolumes
0014664F 001466D9 FsRtlDeregisterUncProvider
001466E4 00146782 FsRtlDissectDbcs
0014678D 001467F3 FsRtlDoesDbcsContainWildCards
001467FF 00146C51 FsRtlIsDbcsInExpression
00146C60 00146D98 FsRtlIsHpfsDbcsLegal
00146DE7 00146E11 FsRtlNotifyChangeDirectory
00146E1F 00146E4D FsRtlNotifyFullChangeDirectory
00146E5B 00146E89 FsRtlNotifyReportChange
00146E97 00146EC2 FsRtlNotifyFullReportChange
001471C3 00147429 IoSetPartitionInformation
00147437 001477CB IoWritePartitionTable
00148672 0014877A IoWritePartitionTableEx
0014878C 001487EB IoVerifyPartitionTable
0014897F 001489CC IoCreateDisk
001489D6 00148A5D IoSetPartitionInformationEx
00148C2B 00148C58 IoCheckDesiredAccess
00148C6C 00148CE7 IoCheckQuotaBufferValidity
00148F60 00148F98 IoEnqueueIrp
00148FA3 0014908B IoFastQueryNetworkAttributes
001490A8 00149441 IoIsValidNameGraftingBuffer
001495DB 00149622 IoRegisterLastChanceShutdownNotification
00149637 001498D6 IoSetInformation
001498EC 0014994C IoUnregisterFsRegistrationChange
0014995C 00149A90 IoVerifyVolume
00149AA1 00149BA5 IoCancelFileOpen
00149BB3 00149C1F IoQueryFileDosDeviceName
00149C29 00149CA7 IoEnumerateRegisteredFiltersList
00149DA7 00149E39 IoAttachDevice
0014A2F8 0014A831 NtQueryEaFile
0014A83F 0014AB69 NtSetEaFile
0014AB87 0014ABA3 NtSetQuotaInformationFile
0014ABAF 0014B06A NtQueryQuotaInformationFile
0014B0C5 0014B46A NtSetVolumeInformationFile
0014D795 0014D7DC IoReleaseRemoveLockAndWaitEx
0014D7EB 0014D99A IoAssignResources
0014E2DE 0014E3A9 IoPnPDeliverServicePowerNotification
0014E3CB 0014E4CC IoReportTargetDeviceChange
00153046 001530A9 KeRemoveSystemServiceTable
001530B3 001530BA KeSetTimeUpdateNotifyRoutine
00154671 00154689 MmMarkPhysicalMemoryAsBad
00154697 001546AD MmRemovePhysicalMemory
001547BE 0015494D MmAddVerifierThunks
001555A7 00155642 MmFreeMappingAddress
00155659 00155851 MmSetBankedSection
00155958 00155A7E MmAllocateNonCachedMemory
00155A89 00155ADA MmFreeNonCachedMemory
00155AE4 00155B6A MmProbeAndLockProcessPages
0015634F 0015636B MmMapViewInSystemSpace
0015637C 00156392 MmUnmapViewInSystemSpace
0015BB47 0015BBA3 PoShutdownBugCheck
0015E0C3 0015E0D8 PsDereferenceImpersonationToken
0015E157 0015E221 PsSetCreateProcessNotifyRoutine
0015E22D 0015E28C PsSetCreateThreadNotifyRoutine
0015E296 0015E30F PsRemoveCreateThreadNotifyRoutine
0015E349 0015E3AF PsSetLoadImageNotifyRoutine
0015E3BB 0015E434 PsRemoveLoadImageNotifyRoutine
0015E4AF 0015E4D3 PsCreateSystemProcess
0015E4EB 0015E707 PsGetContextThread
0015E783 0015E92B PsSetContextThread
0015E9AB 0015E9C1 PsIsProcessBeingDebugged
0015E9CF 0015E9E6 PsGetProcessExitProcessCalled
0015E9F5 0015EA0A PsSetJobUIRestrictionsClass
0015EA14 0015EA29 PsSetProcessPriorityClass
0015EA48 0015EA5F PsIsThreadImpersonating
001617BC 00161A01 LdrEnumResources
00161A52 00161BF3 RtlCustomCPToUnicodeN
00161C3D 00161DA7 RtlUnicodeToCustomCPN
00161DF3 00162622 RtlUpcaseUnicodeToCustomCPN
0016268C 001626A5 PfxInitialize
001626AF 0016272E PfxRemovePrefix
00162910 00162990 RtlNextUnicodePrefix
001629AB 00162A89 PfxInsertPrefix
00162A97 00162B33 PfxFindPrefix
00162B51 00162BCB RtlSelfRelativeToAbsoluteSD2
00162D4F 00162E07 RtlDestroyAtomTable
00162E11 00162EC6 RtlEmptyAtomTable
0016301C 001630FD RtlMergeRangeLists
0016310C 00163239 RtlDeleteRange
0016324C 001632E3 RtlInvertRangeList
001632ED 00163402 RtlZeroHeap
001634C7 0016357A RtlDestroyHeap
001635AA 001635DE RtlSizeHeap
00164489 00164557 RtlDowncaseUnicodeString
001645DF 001645FF RtlxUnicodeStringToOemSize
0016460B 0016462D RtlxOemStringToUnicodeSize
00164979 00164A23 RtlUpcaseUnicodeStringToAnsiString
00164A41 00164AF7 RtlOemStringToCountedUnicodeString
00164B08 00164BD7 RtlUpcaseUnicodeStringToCountedOemString
00164CA5 00164D37 RtlCompareString
00164D59 00164DAF RtlAppendAsciizToString
00164DDC 00164DE9 RtlSubAuthorityCountSid
00164E09 00164E2D RtlEqualLuid
001655B3 001656DF RtlCharToInteger
00165ABF 00165B2A RtlInt64ToUnicodeString
00165CC1 00165DD5 RtlSetTimeZoneInformation
00165DDF 00165E25 RtlDecompressBuffer
00165E5B 00165E9E RtlDescribeChunk
00165ECA 00165F0D RtlReserveChunk
00165F3A 001660F8 RtlDecompressChunks
00166103 001661F3 RtlCompressChunks
00166600 001667BA RtlCreateSystemVolumeInformationFolder
00166818 00166946 RtlIsValidOemCharacter
0016695C 00166AD8 RtlIsNameLegalDOS8Dot3
00166AE4 00166BBD RtlLockBootStatusData
00166C02 00166C43 RtlUnlockBootStatusData
00166C4D 00166D40 RtlGetSetBootStatusData
00166D5B 00166DBD RtlTimeToElapsedTimeFields
0016887C 0016892E SeFilterToken
00168D22 00168D5A SeAssignSecurityEx
00169669 00169846 SeAuditHardLinkCreation
0016A724 0016A764 SeCloseObjectAuditAlarm
0016A76F 0016A7A9 SeDeleteObjectAuditAlarm
0016AC86 0016AD00 SeAuditingFileOrGlobalEvents
0016AD0B 0016AD54 SeAuditingFileEvents
0016AD63 0016ADC2 SeAuditingHardLinkEvents
0016ADCC 0016AE1D SeAuditingHardLinkEventsWithContext
0016B02D 0016B2C2 SeOpenObjectForDeleteAuditAlarm
0016B5E6 0016B5F1 SeImpersonateClient
0016B980 0016BA3D SeUnregisterLogonSessionTerminatedRoutine
0016BA47 0016BADB SeMarkLogonSessionForTerminationNotification
0016BD4F 0016BD83 SeSetSecurityDescriptorInfoEx
0016BD9F 0016BDB7 SeTokenIsAdmin
0016EB76 0016EB79 nullsub_4
0016EB83 0016EBA3 WmiQueryTrace
0016EBAF 0016EDC2 WmiStopTrace
0016EDCC 0016F445 WmiUpdateTrace
0016F44F 0016F4D2 WmiFlushTrace
0016F4DC 0016F941 WmiQueryTraceInformation
0016F96B 0016F9F1 WmiStartTrace
0016FA02 0016FAE3 IoWMIAllocateInstanceIds
0016FAE9 0016FD20 IoWMISuggestInstanceName
0016FD3A 0016FDAD IoWMIQueryAllDataMultiple
0016FDBC 0016FE34 IoWMIQuerySingleInstanceMultiple
0016FE3F 0016FF0B IoWMISetSingleInstance
0016FF17 0016FFEB IoWMISetSingleItem
0016FFF7 0017011F IoWMIExecuteMethod
001711F8 00171303 NotifyRoutine
0017557F 00175583 ExInitializeRundownProtection
0017558F 00175594 ExReInitializeRundownProtection
001755AA 001755D4 ExAcquireRundownProtectionEx
001755E7 0017562A ExReleaseRundownProtectionEx
001775A7 001775DD NtShutdownSystem
0017784B 001778F0 ExSetTimerResolution
00178170 0017817A ExRaiseAccessViolation
00178185 0017818F ExRaiseDatatypeMisalignment
0017A6E9 0017A877 LsaRegisterLogonProcess
0017A882 0017A925 LsaLookupAuthenticationPackage
0017A932 0017AA22 LsaLogonUser
0017AA2C 0017AAC5 LsaCallAuthenticationPackage
0017AACF 0017AB3A LsaDeregisterLogonProcess
0018E146 0018E189 RtlGetCompressionWorkSpaceSize
0018E347 0018E3A5 IoUnregisterShutdownNotification
0018E86D 0018EC8B MmAllocatePagesForMdl
0018F4DA 0018F561 KeI386SetGdtSelector
00191283 00191286 nullsub_5
00191290 00191293 nullsub_6
00192B6D 00192CEB MmMarkPhysicalMemoryAsGood
00192CF7 00192DB8 MmGetPhysicalMemoryRanges
00193C0B 00193C21 MmAddPhysicalMemory
00193C3B 00193C5B MmAdjustWorkingSetSize
001940FF 0019421C MmFreePagesFromMdl
00194226 001943C5 MmMapUserAddressesToPage
00196F9A 00197098 PoSetHiberRange
0019A217 0019A26C RtlCompressBuffer
001A7EC3 001A7EC6 nullsub_7
001DD8FB 001DDA43 IoReportHalResourceUsage
001DDD76 001DDD87 KeSetProfileIrql
001DDDD9 001DDDFC KeFindConfigurationEntry
001E3287 001E330D KeFindConfigurationNextEntry
001EAABF 001EADB7 DriverEntry
001EECBA 001EEE02 CalloutRoutine
