000068F0 0000691A _MapPredefinedHandle@8
0004C883 0004C8A5 _LsarQuerySecurityObject@12
0004C8AA 0004C8CC _LsarSetSecurityObject@12
0004C8D1 0004C8F3 _LsarOpenPolicyRPC@16
0004C8F8 0004C91A _LsarSetInformationPolicy@12
0004C91F 0004C941 _LsarClearAuditLog@4
0004C946 0004C968 _LsarCreateAccount@16
0004C96D 0004C98F _LsarEnumerateAccounts@16
0004C994 0004C9B6 _LsarCreateTrustedDomain@16
0004C9BB 0004C9DD _LsarEnumerateTrustedDomains@16
0004C9E2 0004CA04 _LsarLookupNames@28
0004CA09 0004CA2B _LsarLookupSids@24
0004CA30 0004CA52 _LsarCreateSecret@16
0004CA57 0004CA79 _LsarOpenAccount@16
0004CA7E 0004CAA0 _LsarEnumeratePrivilegesAccount@8
0004CAA5 0004CAC7 _LsarAddPrivilegesToAccount@8
0004CACC 0004CAEE _LsarRemovePrivilegesFromAccount@12
0004CAF3 0004CB15 _LsarGetQuotasForAccount@8
0004CB1A 0004CB3C _LsarSetQuotasForAccount@8
0004CB41 0004CB63 _LsarGetSystemAccessAccount@8
0004CB68 0004CB8A _LsarSetSystemAccessAccount@8
0004CB8F 0004CBB1 _LsarOpenTrustedDomain@16
0004CBB6 0004CBD8 _LsarQueryInfoTrustedDomain@12
0004CBDD 0004CBFF _LsarSetInformationTrustedDomain@12
0004CC04 0004CC26 _LsarOpenSecret@16
0004CC2B 0004CC4D _LsarSetSecret@12
0004CC52 0004CC74 _LsarQuerySecret@20
0004CC79 0004CC9B _LsarLookupPrivilegeName@12
0004CCA0 0004CCC2 _LsarLookupPrivilegeDisplayName@24
0004CCC7 0004CCE9 _LsarDeleteObject@4
0004CCEE 0004CD10 _LsarEnumerateAccountsWithUserRight@12
0004CD15 0004CD37 _LsarAddAccountRights@12
0004CD3C 0004CD5E _LsarRemoveAccountRights@16
0004CD63 0004CD85 _LsarQueryTrustedDomainInfo@16
0004CD8A 0004CDAC _LsarSetTrustedDomainInfo@16
0004CDB1 0004CDD3 _LsarDeleteTrustedDomain@8
0004CDD8 0004CDFA _LsarSetInformationPolicy2@12
0004CDFF 0004CE21 _LsarQueryTrustedDomainInfoByName@16
0004CE26 0004CE48 _LsarSetTrustedDomainInfoByName@16
0004CE4D 0004CE6F _LsarEnumerateTrustedDomainsEx@16
0004CE74 0004CE96 _LsarCreateTrustedDomainEx@20
0004CE9B 0004CEBD _LsarQueryDomainInformationPolicy@12
0004CEC2 0004CEE4 _LsarSetDomainInformationPolicy@12
0004CEE9 0004CF0B _LsarOpenTrustedDomainByName@16
0004CF10 0004CF32 _LsarLookupNames2@36
0004CF37 0004CF59 _LsarCreateTrustedDomainEx2@20
0004CF5E 0004CF80 _CredrWrite@12
0004CF85 0004CFA7 _CredrRead@20
0004CFAC 0004CFCE _CredrEnumerate@16
0004CFD3 0004CFF5 _CredrWriteDomainCredentials@16
0004CFFA 0004D01C _CredrReadDomainCredentials@16
0004D021 0004D043 _CredrDelete@16
0004D048 0004D06A _CredrGetTargetInfo@16
0004D06F 0004D091 _CredrGetSessionTypes@12
0004D096 0004D0B8 _LsarQueryForestTrustInformation@16
0004D0BD 0004D0DF _LsarSetForestTrustInformation@24
0004D0E4 0004D106 _CredrRename@20
0004D10B 0004D12D _LsarLookupSids3@32
0004D132 0004D154 _LsarLookupNames4@36
0004D159 0004D17B _LsarOpenPolicySce@16
0004D1A2 0004D1DF ?StringDuplicate@@YGPAGPAG@Z
0004D1E4 0004D207 _UninstallApplication@8
0004D20C 0004D22D ??_GCLoadMsi@@QAEPAXI@Z
0004D232 0004D437 _GetLocalManagedApplications@12
0004D463 0004D66A _GetLocalManagedApplicationData@12
0004D687 0004D6ED _GetManagedApplications@20
0004D73F 0004D78A _GetManagedApplicationCategories@8
0004D78F 0004DDA0 _InstallApplication@4
0004DDE5 0004DE07 _InstallBegin@20
0004DE0C 0004DE2E _InstallManageApp@16
0004DE33 0004DE55 _InstallUnmanageApp@12
0004DE5A 0004DE7C _InstallEnd@8
0004DE81 0004DEA3 _ARPRemoveApp@12
0004DEA8 0004DECA _GetManagedApps@20
0004DECF 0004DEF1 _RsopReportInstallFailure@12
0004DEF6 0004DF18 _GetManagedAppCategories@8
0004DF1D 0004E02E ?Bind@@YGKXZ
0004E045 0004E07C ?FreeApplicationInfo@@YGXPAU__MIDL_appmgmt_0004@@@Z
0004E081 0004E140 ?AppmgmtGetUserSid@@YGPAXPAX@Z
0004E145 0004E19C ?DwordToString@@YGXKPAG@Z
0004E1A1 0004E1E7 ?LoadLoadString@@YGHXZ
0004E1F9 0004E266 ?ReadStringValue@@YGKPAUHKEY__@@PAGPAPAG@Z
0004E26B 0004E279 ??1CLoadMsi@@QAE@XZ
0004E27E 0004E425 ?Report@CEventsBase@@QAAXKHGZZ
0004E4CB 0004E53D ?Install@CEventsBase@@QAEXKPAG0@Z
0004E542 0004E5B4 ?Uninstall@CEventsBase@@QAEXKPAG0@Z
0004E5B9 0004E627 ?ZAPInstall@CEvents@@QAEXKPAG00@Z
0004E62C 0004E655 ?DebugLevelOn@@YGHK@Z
0004E65A 0004E896 ?_DebugMsg@@YAXKKZZ
0004E90B 0004E998 _CodeAuthzCreateLevelHandle@20
0004E99D 0004EA20 _SaferCreateLevel@20
0004EA25 0004EABA _IsSystemProcessOrService@4
0004EABF 0004EC3B _CodeAuthzpModifyTokenPermissions@20
0004EC40 0004EC71 _CodeAuthzpModifyTokenOwner@8
0004EC76 0004EE0B _IsTokenUntrusted@4
0004EE10 0004EED0 _CodeAuthzpInvertPrivs@20
0004EED5 0004EF15 ___CodeAuthzpCountIdentsForLevel@8
0004EF1A 0004EF98 ___CodeAuthzpFetchIdentsForLevel@20
0004EF9D 0004F046 ___CodeAuthzpOpenIdentifierKey@20
0004F04B 0004F107 ___CodeAuthzpQueryIdentityRegValue@24
0004F10C 0004F332 ___CodeAuthzpQuerySingleIdentification@16
0004F353 0004F3B3 _CodeAuthzpSetInformationCodeAuthzPolicy@16
0004F3B8 0004F3E3 _SaferSetPolicyInformation@20
0004F3E8 0004F479 _CodeAuthzpComputeImageHash@20
0004F47E 0004F4C2 _SaferpEnterCriticalPolicySection@8
0004F4C7 0004F518 _SaferpGrabGroupPolicyLocks@8
0004F5C1 0004F5FA _SaferpReleaseGroupPolicyLocks@8
0004F5FF 0004F723 _SaferpRecordEventLogEntryHelper@16
0004F765 0004F878 _SaferRecordEventLogEntry@12
0004F89D 0004F997 _SaferpDeleteSingleIdentificationGuid@8
0004F99C 0004FBCF _SaferpSetSingleIdentificationPath@16
0004FBF5 0004FEDE _SaferpSetSingleIdentificationHash@12
0004FF1D 0005007D _SaferpSetSingleIdentificationZone@12
0005009D 000500F8 _SaferpSetExistingSingleIdentification@8
000500FD 00050264 _SaferpCreateNewSingleIdentification@12
00050269 00050520 _CodeAuthzpSetAuthzLevelInfo@16
00050525 0005058C _SaferSetLevelInformation@16
00050591 000506F6 _CodeAuthzpDeleteKeyRecursively@8
000506FB 00050760 _CodeAuthzpFormatLevelKeyPath@8
00050781 0005085B _CodeAuthzpFormatIdentityKeyPath@16
00050860 0005094D _CodeAuthzReloadCacheTables@12
0005095D 00050984 _SaferiChangeRegistryScope@8
00050989 00050E14 _SaferpBuildRestrictedToken@24
00050E6F 0005100C _CodeAuthzpConvertWildcardStringSidToSidW@8
00051011 00051049 _CodeAuthzIdentsLookupByGuid@8
0005104E 00051153 _CodeAuthzPol_GetInfoCached_LevelListRaw@16
00051158 00051174 _CodeAuthzPol_GetInfoCached_DefaultLevel@16
00051179 000512A6 _CodeAuthzPol_SetInfoDual_DefaultLevel@12
000512AB 0005142B _SaferpPol_GetInfoCommon_HonorUserIdentities@20
00051430 0005144C _CodeAuthzPol_GetInfoCached_HonorUserIdentities@16
00051451 00051581 _CodeAuthzPol_SetInfoDual_HonorUserIdentities@12
00051586 0005163C _CodeAuthzPol_SetInfoRegistry_TransparentEnabled@12
00051641 00051779 _CodeAuthzPol_GetInfoRegistry_ScopeFlags@16
0005177E 00051834 _CodeAuthzPol_SetInfoRegistry_ScopeFlags@12
000518BC 00051903 _GetNamedSecurityInfoA@32
00051908 0005194C _SetNamedSecurityInfoA@28
00051951 00051B0A _SetEntriesInAclA@16
00051B0F 00051B6A _GetEffectiveRightsFromAclW@12
00051B6F 00051BB6 _GetEffectiveRightsFromAclA@12
00051BBB 00051BD4 _GetExplicitEntriesFromAclW@12
00051BD9 00051BE1 _GetExplicitEntriesFromAclA@12
00051BE6 00051C32 _GetAuditedPermissionsFromAclW@16
00051C37 00051C78 _GetAuditedPermissionsFromAclA@16
00051C7D 00051EB3 _BuildSecurityDescriptorW@36
00051EB8 00051FA4 _BuildSecurityDescriptorA@36
00051FA9 00052153 _LookupSecurityDescriptorPartsW@28
00052158 00052347 _LookupSecurityDescriptorPartsA@28
0005234C 00052377 _BuildExplicitAccessWithNameA@20
0005237C 000523B2 _BuildImpersonateExplicitAccessWithNameA@24
000523B7 00052434 _TreeResetNamedSecurityInfoW@44
00052439 0005243F _TreeResetNamedSecurityInfoA@44
00052444 0005247A _GetInheritanceSourceW@40
0005247F 00052485 _GetInheritanceSourceA@40
0005248A 000524A9 _FreeInheritedFromArray@12
000524AE 000524D1 _BuildTrusteeWithNameA@8
000524D6 000524EE _BuildImpersonateTrusteeA@8
000524F3 00052512 _BuildTrusteeWithSidW@8
00052517 000525AD _BuildTrusteeWithObjectsAndSidW@20
000525B2 00052602 _BuildTrusteeWithObjectsAndNameA@24
00052607 00052616 _GetTrusteeNameA@4
0005261B 00052632 _GetTrusteeTypeW@4
00052637 0005264F _GetTrusteeFormW@4
00052654 0005266B _GetMultipleTrusteeOperationW@4
00052670 00052686 _GetMultipleTrusteeW@4
0005268B 00052843 _GetNamedSecurityInfoExW@36
00052859 00052A02 _GetNamedSecurityInfoExA@36
00052A07 00052BC3 _GetSecurityInfoExW@36
00052BD9 00052C05 ??1CSList@@QAE@XZ
00052C0A 00052D98 _GetSecurityInfoExA@36
00052D9D 00052DD4 _ConvertAccessToSecurityDescriptorW@20
00052DD9 00052EC5 _ConvertAccessToSecurityDescriptorA@20
00052ECA 00052F18 ?ConvertSDToAccessW@@YGKW4_SE_OBJECT_TYPE@@PAXPAPAU_ACTRL_ALISTW@@2PAPAG3@Z
00052F1D 0005308D ?ConvertSDToAccessA@@YGKW4_SE_OBJECT_TYPE@@PAXPAPAU_ACTRL_ALISTA@@2PAPAD3@Z
00053092 000530B2 _ConvertSecurityDescriptorToAccessW@28
000530B7 000530D7 _ConvertSecurityDescriptorToAccessNamedA@28
000530DC 00053137 ?SetEntriesInAListW@@YGKKPAU_ACTRL_ACCESS_ENTRYW@@W4_ACCESS_MODE@@KPBGPAU_ACTRL_ALISTW@@PAPAU3@@Z
0005313C 0005326E ?SetEntriesInAListA@@YGKKPAU_ACTRL_ACCESS_ENTRYA@@W4_ACCESS_MODE@@KPBDPAU_ACTRL_ALISTA@@PAPAU3@@Z
00053273 000532A7 _SetEntriesInAccessListW@24
000532AC 000532E0 _SetEntriesInAccessListA@24
000532E5 00053307 _SetEntriesInAuditListW@24
0005330C 0005332E _SetEntriesInAuditListA@24
00053333 000533FD _TrusteeAccessToObjectW@24
00053411 000535B2 _TrusteeAccessToObjectA@24
000535C9 000536C9 _GetOverlappedAccessResults@16
000536E1 00053741 _CancelOverlappedAccess@4
00053759 0005382A _GetAccessPermissionsForObjectW@36
00053841 00053971 _GetAccessPermissionsForObjectA@36
00053976 00053B5B _SetNamedSecurityInfoExW@36
00053B71 00053E15 _SetNamedSecurityInfoExA@36
00053E29 0005401B _SetSecurityInfoExW@36
00054031 000542C9 _SetSecurityInfoExA@36
000542E1 0005433E ?ConvertStringWToStringA@@YGKPAGPAPAD@Z
00054343 000543AE ?ConvertStringAToStringW@@YGKPADPAPAG@Z
000543B3 00054408 ?GetTrusteeWForSid@@YGKPAXPAU_TRUSTEE_W@@@Z
0005440D 0005446A ?ConvertTrusteeAToTrusteeW@@YGKPAU_TRUSTEE_A@@PAU_TRUSTEE_W@@H@Z
0005446F 00054483 ?CompStringNode@@YGHPAX0@Z
00054488 000544CA ?CleanupConvertNode@@YGXPAX@Z
000544CF 00054510 ?Insert@CSList@@QAEKPAX@Z
00054515 0005453A ?FindNode@CSList@@IAEPAU_CSLIST_NODE@@PAXP6GH00@Z@Z
0005453F 00054594 ?TrusteeAllocationSizeAToW@@YGKPAU_TRUSTEE_A@@@Z
00054599 00054633 ?ConvertExplicitAccessAToExplicitAccessW@@YGKKPAU_EXPLICIT_ACCESS_A@@PAPAU_EXPLICIT_ACCESS_W@@@Z
00054638 00054667 ?ConvertAccessRightToAccessMask@@YGXKPAK@Z
0005466C 0005474A ?ConvertTrusteeWToTrusteeA@@YGKPAU_TRUSTEE_W@@PAPAU_TRUSTEE_A@@@Z
0005474F 000547CF ?AllocAndInsertCNode@@YGKAAVCSList@@PAPAGPAG2PAKKK3KK@Z
000547D4 000548DF ?ConvertAListToNamedBasedW@@YGKPAU_ACTRL_ALISTW@@AAVCSList@@@Z
000548E4 00054AE4 ?ConvertAListAToNamedBasedW@@YGKPAU_ACTRL_ALISTA@@AAVCSList@@HPAPAU_ACTRL_ALISTW@@@Z
00054AE9 00054B17 ?InsertIfUnique@CSList@@QAEKPAXP6GH00@Z@Z
00054B1C 00054C39 ?ConvertAListWToAlistAInplace@@YGKPAU_ACTRL_ALISTW@@@Z
00054C3E 00054DF0 _AccProvpLoadDllEntryPoints@4
0005503E 00055119 _AccProvpGetStringFromRegistry@12
0005511E 0005514B _AccProvpAllocateProviderList@4
00055150 000551EF _AccProvpGetProviderCapabilities@4
00055219 000552B0 _AccProvpLoadProviderDef@12
000552CF 000553BA _AccProvpProbeProviderForObject@20
000553D1 00055458 _AccProvpGetProviderForPath@20
0005545D 000554EF _AccProvpGetProviderForHandle@20
000554F4 00055664 _AccProvpInitProviders@4
00055727 0005573D _WmipGetSystemTime@0
00055742 000557AB _WmipInsertBuffer@8
000557B0 000557C9 _WmipRemoveBuffer@4
000557CE 0005595F _WmipGetCurrentBuffer@8
00055964 00055A90 _WmipAllocateTraceHandle@0
00055A95 00055AE9 _WmipLookupTraceHandle@8
00055AEE 00055BBE _WmipFreeTraceHandle@8
00055BC3 00055E9D _WmipCreateGuidMapping@0
00055FB5 00056020 _WmipGuidMapHandleToGuid@12
00056025 000560A1 _WmipAddGuidHandleToGuidMapList@16
000560A6 000560F4 _WmipCleanupGuidMapList@4
000560F9 00056128 _WmipGroupTypeToGuid@4
0005612D 00056187 _WmipGetCallbackRoutine@4
0005618C 000562F7 _SetTraceCallback@8
00056309 000563FC _RemoveTraceCallback@4
00056411 000565F7 _WmipCalculateCurrentTime@12
0005660D 00056A6C _WmipCopyCurrentEvent@20
00056A71 00056B30 _WmipGetNextEventOffsetType@12
00056B35 00056B7A _WmipGetBuffersWrittenFromQuery@4
00056B7F 00056BC5 _WmipCopyLogHeader@24
00056BCA 00056C52 _WmipDoEventCallbacks@8
00056CA5 00056DA3 _WmipCopyLogfileInfo@12
00056DA8 00056DE2 _CloseTrace@8
00056DE7 00056E1D _WmipGuidMapCallback@8
00056E22 00056EAF _WmiGetFirstTraceOffset@4
00056EB4 00056EFB _WmipConvertEnumToTraceType@4
00056F28 00056F85 _WmipConvertTraceTypeToEnum@4
00056F8A 00056FF6 _WmiGetTraceHeader@12
00057009 000570B7 _WmipParseTraceEvent@24
000570C9 000571BD _WmipAllocTraceBuffer@8
000571C2 0005721B _WmipFreeTraceBuffer@8
00057220 00057288 _WmipRealTimeCallback@8
0005728D 000574F4 _WmipSetupRealTimeContext@12
000574F9 00057712 _WmipLookforRealTimeBuffers@4
00057729 000577A7 _WmipCheckForRealTimeLoggers@12
000577AC 00057844 _WmipFreeRealTimeContext@4
00057849 00057891 _WmiCloseTraceWithCursor@4
00057896 000578B3 _WmiConvertTimestamp@12
000578B8 00057A3C _WmiGetNextEvent@4
00057A41 00057B33 _WmipReadGuidMapRecords@12
00057B38 00057D43 _WmipProcessGuidMaps@12
00057D48 00058132 _WmipProcessLogHeader@20
00058137 0005837D _WmipAdvanceToNewEvent@8
00058391 0005850D _WmipBuildEventTable@4
00058512 00058615 _OpenTraceA@4
00058629 0005872D _OpenTraceW@4
00058741 000587EB _WmipCleanupTraceLog@4
000587F0 0005880F _WmiParseTraceEvent@20
00058814 000589CB _WmipProcessRealTimeTraces@32
000589D0 00058C45 _WmiOpenTraceWithCursor@4
00058C59 00058E57 _WmipProcessTraceLog@32
00058E5C 0005929D _ProcessTrace@16
000592BD 0005930B _WmipFixupLoggerStrings@4
00059310 000594CE _WmipCheckForEnoughFreeSpace@16
000594D3 00059A24 _StartTraceA@12
00059A39 00059FEF _StartTraceW@12
0005A001 0005A58E _ControlTraceA@20
0005A5AD 0005A84F _EnableTrace@24
0005A86D 0005A8D4 _WmipTraceEvent@12
0005A8D9 0005A9C7 _TraceEvent@12
0005A9D9 0005AAFC _TraceEventInstance@20
0005AB11 0005AC4E _QueryAllTracesA@12
0005AC61 0005AD02 _GetTraceLoggerHandle@4
0005AD19 0005AD59 _GetTraceEnableLevel@8
0005AD5E 0005AD9E _GetTraceEnableFlags@8
0005ADA3 0005AE46 _CreateTraceInstanceId@8
0005AE59 0005AFAF _EnumerateTraceGuids@12
0005AFCD 0005AFE9 _QueryTraceA@16
0005AFEE 0005B00A _QueryTraceW@16
0005B00F 0005B02B _StopTraceA@16
0005B030 0005B04C _StopTraceW@16
0005B051 0005B06D _UpdateTraceA@16
0005B072 0005B08E _UpdateTraceW@16
0005B093 0005B0AF _FlushTraceA@16
0005B0B4 0005B0D0 _FlushTraceW@16
0005B0D5 0005B30C _WmipTraceMessage@24
0005B32D 0005B3A9 _TraceMessage
0005B3C1 0005B43B _TraceMessageVa@24
0005B451 0005B472 _WmipUpdateServiceStatus@4
0005B477 0005B4AD _WmiServiceCtrlHandler@4
0005B4B2 0005B527 _WdmWmiServiceMain@8
0005B535 0005B6BB _WmiQueryAllDataMultipleW@16
0005B6DD 0005B926 _WmiQuerySingleInstanceW@16
0005B95D 0005BB03 _WmiQuerySingleInstanceMultipleW@20
0005BB25 0005BC4A _WmiQuerySingleInstanceMultipleA@20
0005BC4F 0005BDCA _WmiSetSingleInstanceW@20
0005BDED 0005BF6B _WmiSetSingleItemW@24
0005BF8D 0005C255 _WmiExecuteMethodW@28
0005C2A5 0005C2C8 _WmiNotificationRegistrationA@20
0005C2CD 0005C48E _WmiFileHandleToInstanceNameW@16
0005C4A1 0005C629 _WmiEnumerateGuids@8
0005C659 0005C70C _WmiDevInstToInstanceNameA@16
0005C715 0005C7A8 _WmiDevInstToInstanceNameW@16
0005C7AD 0005C846 _WmiQueryGuidInformation@8
0005C859 0005C87B _WmiReceiveNotificationsA@16
0005C880 0005C8A3 _WmiQueryAllDataA@12
0005C8A8 0005C8E3 _WmiQueryAllDataMultipleA@16
0005C8E8 0005C96A _WmiQuerySingleInstanceA@16
0005C96F 0005C9CE _WmiSetSingleInstanceA@20
0005C9D3 0005CA35 _WmiSetSingleItemA@24
0005CA3A 0005CAA9 _WmiExecuteMethodA@28
0005CAAE 0005CC61 _WmiFileHandleToInstanceNameA@16
0005CC91 0005CCCF _WmipProcessLanguageAddRemoveEvent@16
0005CCD4 0005CE52 _WmiMofEnumerateResourcesA@12
0005CE69 0005CEB8 _WmipDeinitializeDll@0
0005CEBD 0005CF30 _WmipMemReserve@4
0005CF41 0005CFB1 _WmipMemCommit@8
0005CFC9 0005D086 _WmipMemFree@4
0005D099 0005D1AA _WmipCreateFile@20
0005D1AF 0005D240 _WmipSynchReadFile@20
0005D245 0005D400 _WmipGetTraceBuffer@16
0005D405 0005D481 _WmipCopyPropertiesToInfo@8
0005D486 0005D502 _WmipCopyInfoToProperties@8
0005D507 0005D5AC _WmipThreadRunDown@16
0005D5B1 0005D62E _WmipLogImageLoadEvent@16
0005D633 0005D706 _WmipSysModuleRunDown@8
0005D70B 0005D795 _WmipProcessModuleRunDown@12
0005D79A 0005DAA7 _WmipProcessRunDown@12
0005DAAC 0005DB57 _WmipGenericTraceEnable@12
0005DB5C 0005DCDF _WmipRelogHeaderToLogFile@8
0005DCE4 0005DD02 _WmipDumpGuidMaps@12
0005DD19 0005DD8A _WmipFlushLogger@4
0005DD8F 0005E55D _WmipFinalizeLogFileHeader@4
0005E562 0005E646 _WmipStopLogger@4
0005E64B 0005F189 _WmipAddLogHeaderToLogFile@12
0005F1AD 0005F661 _WmipStartLogger@4
0005F679 0005F6D8 _AnsiSizeForUnicodeString@8
0005F6E9 0005F7E9 _UnicodeToAnsi@12
0005F80D 0005F83D _WmipCheckGuidAccess@8
0005F842 0005F8BF _WmipConvertWADToAnsi@4
0005F8D1 0005F8EE _WmipProcessExternalEvent@20
0005F8F3 0005F924 _WmipConvertEventToAnsi@4
0005F929 0005F97F _WmipAllocDontFail@8
0005F984 0005F9D8 _WmipEventPumpFromKernel@4
0005F9DD 0005FB3F _WmipDeliverAllEvents@8
0005FB44 0005FBCA _WmipProcessEventBuffer@28
0005FBCF 0005FBF1 @WmipIsPrivateLoggerOn@0
0005FBF6 0005FCF6 _WmipAddInstanceIdToNames@8
0005FD09 0005FEEF _WmipQueryUmLogger@16
0005FEF4 000600F7 _WmipUpdateUmLogger@16
000600FC 00060161 _WmipStopLoggerInstance@0
00060166 0006021E _WmipDisableTraceProvider@4
00060231 000603D8 _WmipInitLoggerContext@4
000603DD 0006047A @WmipGetFreeBuffer@4
0006047F 000605F4 _WmipAllocateTraceBuffers@4
000605F9 0006076B _WmipFlushBuffer@8
00060770 00060802 @WmipSwitchBuffer@12
00060807 000608EB _WmipFreeLoggerContext@4
000608F0 000609C3 _WmipFlushAllBuffers@4
000609C8 000609FF @WmipReleaseTraceBuffer@4
00060A04 00060B33 _WmipReceiveReply@20
00060B38 00060C6B _WmipFlushUmLogger@16
00060C70 00060D22 _WmipStopUmLogger@16
00060D27 00060EC9 _WmipLogger@4
00060ECE 00060FFF @WmipReserveTraceBuffer@8
00061004 000610A3 @WmipRelogEvent@4
000610A8 00061305 @WmiTraceUmEvent@4
0006130A 0006150C _WmipTraceUmMessage@28
00061521 000618DF _WmipStartUmLogger@16
000618F1 00061A4C _WmipProcessUMRequest@12
00061A51 00061AB0 _WmipFindCookieByGuid@8
00061AB5 00061B09 _GuidToWString@8
00061B7B 00061BA8 _WmipFindGuid@4
00061BAD 00061C3C _WmipGetDevInstProperty@28
00061C41 00061D1A _WmipGetDevInstInfo@24
00061D1F 00061D8F _WmipCountedToSzAndTrim@16
00061D94 00061E9C _WmipQuerySingleInstanceInfo@24
00061EA1 00061ECF _WmipComputeInstanceCount@12
00061ED4 000622A9 _WmipQueryAllInstanceInfo@24
000622AE 00062350 _WmipQueryInstanceInfo@20
000623A7 0006245C _WmipEnumRegGuids@4
00062461 0006261F _WmipEnumerateGuids@16
00062624 00062678 _WmipInternalProvider@20
0006267D 00062726 _WmipCountedUnicodeToCountedAnsi@8
0006272B 0006277F _WmipRegOpenKey@8
00062784 00062850 _WmipRegQueryValueKey@20
00062855 0006291A _WmipGetCpuSpeed@8
000629BB 00062CDC _WmipGetCpuConfig@4
00062DAF 00063243 _GetIoFixedDrive@8
0006326B 0006395B _WmipGetDiskInfo@4
00063AA9 00063F64 _WmipGetVideoAdapters@4
0006431B 0006469E _WmipGetNetworkAdapters@4
000646C9 0006499E _WmipGetServiceInfo@4
000649C3 00064A52 _WmipGetPowerInfo@4
00064A57 00064AB2 _WmipDumpHardwareConfig@4
00064AB7 00064B23 _ShutdownCallback@12
00064B39 00064BA8 _ShutdownCallbackEx@12
00064BB9 00064C11 _AbortShutdownCallback@12
00064C29 00064CB8 _InitiateSystemShutdownW@20
00064CBD 00064D52 _InitiateSystemShutdownExW@24
00064D57 00064DED _InitiateSystemShutdownA@20
00064DF2 00064E8B _InitiateSystemShutdownExA@24
00064E90 00064EE7 _AbortSystemShutdownA@4
00064EEC 00064F50 _RegOverridePredefKey@8
00064F55 00064F64 _RegDisablePredefinedCacheEx@0
00064F69 00065038 _Rpc_OpenPredefHandle@12
0006503D 000650FD _BaseBindToMachine@16
00065102 00065156 _RegConnectRegistryA@12
0006515B 00065298 _RegLoadKeyA@12
0006529D 00065339 _RegUnLoadKeyA@8
0006533E 000653CA _RegUnLoadKeyW@8
000653CF 00065593 _RegReplaceKeyA@16
00065598 00065662 _RegReplaceKeyW@16
00065667 000659C4 _RegQueryMultipleValuesA@20
000659C9 00065C20 _RegQueryMultipleValuesW@20
00065C25 00065CD1 _RegRestoreKeyA@12
00065CD6 00065D65 _RegRestoreKeyW@12
00065D6A 00065E57 _RegSaveKeyA@12
00065E5C 00065F24 _RegSaveKeyW@12
00065F29 00066019 _RegSaveKeyExA@16
0006601E 000660E9 _RegSaveKeyExW@16
000660EE 000661AC _RegSetValueW@20
000661B1 000661D3 _OpenClassesRoot@12
000661D8 000661FA _OpenCurrentUser@12
000661FF 00066221 _OpenLocalMachine@12
00066226 00066248 _OpenPerformanceData@12
0006624D 0006626F _OpenUsers@12
00066274 00066296 _BaseRegCloseKey@4
0006629B 000662BD _BaseRegCreateKey@32
000662C2 000662E4 _BaseRegDeleteKey@8
000662E9 0006630B _BaseRegDeleteValue@8
00066310 00066332 _BaseRegEnumKey@20
00066337 00066359 _BaseRegEnumValue@28
0006635E 00066380 _BaseRegFlushKey@4
00066385 000663A7 _BaseRegGetKeySecurity@12
000663AC 000663CE _BaseRegLoadKey@12
000663D3 000663F5 _BaseRegOpenKey@20
000663FA 0006641C _BaseRegQueryInfoKey@40
00066421 00066443 _BaseRegQueryValue@24
00066448 0006646A _BaseRegReplaceKey@16
0006646F 00066491 _BaseRegRestoreKey@12
00066496 000664B8 _BaseRegSaveKey@12
000664BD 000664DF _BaseRegSetKeySecurity@12
000664E4 00066506 _BaseRegSetValue@20
0006650B 0006652D _BaseRegUnLoadKey@8
00066532 00066554 _BaseInitiateSystemShutdown@20
00066559 0006657B _BaseAbortSystemShutdown@4
00066580 000665A2 _BaseRegGetVersion@8
000665A7 000665C9 _BaseRegQueryMultipleValues@20
000665CE 000665F0 _BaseInitiateSystemShutdownEx@24
000665F5 00066617 _BaseRegSaveKeyEx@16
0006661C 0006663E _OpenPerformanceText@12
00066643 00066665 _OpenPerformanceNlsText@12
000666E2 000667D0 _RemapPredefinedHandle@8
000667D5 0006682E _CleanupPredefinedHandles@0
00066833 000668AE _OpenPredefinedKeyForSpecialAccess@12
000668B3 000668F7 _DisablePredefinedHandleTableForIndex@4
000668FC 00066902 ?I_ScGetCurrentGroupStateW@@YGKPAUSC_HANDLE__@@PAGPAK@Z
00066907 00066927 ?ScConvertOffsetsExA@@YGXPAU_ENUM_SERVICE_STATUS_PROCESSA@@K@Z
0006692C 0006698B ?ScMapRpcError@@YGKKK@Z
00066990 00066A4C _EnumServicesStatusExW@40
00066A61 00066B30 _EnumServiceGroupW@36
00066B41 00066BBF _I_ScSetServiceBitsA@20
00066BD1 00066C02 _SetServiceBits@16
00066C07 00066CC3 _EnumServicesStatusExA@40
00066CD9 00066D48 _QueryServiceObjectSecurity@20
00066D59 00066E2B _SetServiceObjectSecurity@12
00066E41 00066FC2 _ChangeServiceConfigA@44
00066FD9 000670C1 _ChangeServiceConfigW@44
000670D9 0006714E _ChangeServiceConfig2A@12
00067161 000671D6 _ChangeServiceConfig2W@12
000671E9 00067370 _CreateServiceA@52
00067381 00067476 _CreateServiceW@52
00067489 000674EC _DeleteService@4
00067501 000675A6 _EnumDependentServicesA@24
000675B9 0006765E _EnumDependentServicesW@24
00067671 000676FC _GetServiceDisplayNameA@16
00067711 0006779D _GetServiceDisplayNameW@16
000677B1 0006783C _GetServiceKeyNameA@16
